Open, Close, High, Low, Volume
71.37,69.89,71.77,69.455,7992648
70.9,71.13,72.41,70.43,6123379
71.45,68.96,72,68.32,7463923
68.73,67.45,69.57,66.53,11332031
73.29,72.37,74.29,71.25,24585652
71.4,68.19,71.93,68.08,7823937
68.7,72.97,72.99,68.65,8481318
72.18,73.65,73.73,70.99,7229294
73.97,73.36,74.46,72.57,5504192
73.98,73.62,74.46,73.515,4357457
72.79,73.97,74.64,72.19,5585903
73.25,72.845,73.32,71.21,7016231
73.45,74.63,75.12,73.12,6324132
74.74,75.87,76.365,74.3,5471297
76.83,76.64,77.4,76.2,6459806
76.97,76.4585,77.15,76.14,7701267
75.64,76.37,77.34,75.46,9007491
76.34,75.94,76.89,75.8,9224793
75.46,76.11,76.81,75.46,4132938
76.19,77.8801,77.98,76.13,5594704
78,77.675,78.85,77.5863,4495748
77.54,79.08,79.4,77.31,5282242
79.95,80.45,80.97,79.74,8671196
80.33,80.5,81.3129,80.2,6952881
81.19,80.4389,81.4,80.22,4776603
80.6,80.45,80.87,79.55,3958215
81.25,80.54,81.3319,80.43,3390644
79.8,80.305,80.505,79.74,4562634
80.36,80.13,80.83,79.84,3535128
80.4,81.255,81.27,80.0601,4317644
81.18,81.88,81.9,80.71,4960034
81.83,81.44,81.9,81.13,3605980
81.22,81.965,82,80.83,3142784
81.98,82.7634,83.19,81.93,4998177
82.51,82.685,82.7,81.64,2816960
82.15,82.33,82.845,81.71,3697863
82.25,82.18,82.72,81.94,2994459
82.95,83.72,83.83,82.8704,4205553
83.97,84.6399,84.84,83.62,4767292
84.76,85.42,85.59,84.76,4311022
84.61,84.68,85.14,83.7,3983665
85.49,85.22,85.78,85.1,4753891
84.58,84.575,85.05,84.46,4046571
84.63,84.86,84.95,84.35,3159421
83.57,83.95,84.152,83.35,6912965
84.2,84.76,85.02,84.0301,3585664
85.39,85.16,85.73,84.96,5141620
85.31,85.82,86.08,85.2,4719331
85.53,86.16,86.22,85.06,3728359
86.08,85.76,86.4,85.68,3953539
86.93,87.19,87.99,86.24,5519839
87.32,85.67,87.99,85.11,6412772
85.88,85.44,86.25,85.44,3391477
85.6,85.13,85.99,85.04,2751515
84.97,85.26,85.41,84.66,3429145
84.58,84.8,84.88,84.02,3126931
85.39,85.83,85.94,85.05,3306132
85.78,85.44,86.08,85.02,3456897
85.7,85.94,86.655,85.6,4234144
86.15,86.87,86.88,85.7,4435854
86.2,86.8,87.16,85.955,4510612
87.3,87.8,87.84,87,5552813
87.73,87.74,88.2201,87.29,4022234
87.5,86.6903,87.58,86.09,5212956
87.24,88.06,88.12,86.83,7231241
85.2,82.195,85.9,82.15,20024588
81.48,82.32,83.22,80.89,14435279
83.63,83.36,84.09,82.91,8695522
83.69,83.08,83.8,82.04,5684846
83.93,84.03,84.72,83.7,5157263
84.6,84.21,84.85,83.86,4625963
85.04,85.22,85.32,84.7,3649061
85,84.37,85.26,84.16,3888010
84.9,84.46,84.99,84.25,3523873
84.49,85.29,85.38,84.36,3279167
86,85.38,86.16,85.05,4281668
85.01,84.74,85.29,84.57,3392335
84.22,84.3,84.6,83.97,3341669
84.64,84.89,85.01,84.56,3234745
84.9,85,85.05,84.2837,2765211
85.3,86.24,86.49,85.29,4878831
86.89,86.82,87.2428,86.4388,4514665
87,87.78,87.95,87,4195340
87.95,88.75,88.97,84.73,4989618
88.76,89.2,90,88.7,5735327
88.35,87.35,88.64,87.3,4171368
87.57,87.41,87.67,87.0092,6543957
87.67,88.4,88.8241,87.43,6874942
88.4,87.54,88.54,87.49,6023573
87.95,88.31,88.94,87.33,5483511
88.18,88.21,88.505,88.13,4098867
88.29,87.83,88.4,87.26,5915782
87.73,85.87,87.95,85.87,5912256
86.21,85.27,86.28,84.985,6176506
85.9,85.7,86.3,85.695,5941608
83.77,83.5742,83.87,82.86,11787453
83.02,82.54,83.63,81.83,8081682
82.43,82.77,83.99,82.14,8067377
82.21,82.96,83.01,81.5355,5606551
82.78,83.96,84.27,82.19,4994262
81.65,82.51,82.63,81.32,5519177
82.78,83.67,84,82.06,5921257
83.17,84.01,84.49,82.94,3618099
84.51,84.3,85.4,84.2,4748925
83.51,84.55,85.515,83.5,4870161
83.8,82.84,83.8,82.735,6371644
83.36,83.65,83.8,82.51,5140063
82.99,83.1933,83.34,82.76,4589039
82.5,82.63,83.06,81.99,5903970
82.2,82.18,83.17,82.09,4976369
82.85,81.18,83.19,81.13,4924454
80.71,78.85,80.86,77.7,9291108
