Open, Close, High, Low, Volume
23.84,24.2,24.49,23.73,5391334
24.21,24,24.31,23.86,5234304
24,24.35,24.41,23.89,4610793
24.36,24.84,24.895,23.37,7067355
24.56,24.37,24.62,24.085,3726543
24.38,24.2,24.56,24.11,2965130
24.15,24.56,24.57,24.12,2406663
24.46,24.52,24.64,24.26,4201443
24.66,24.83,24.855,24.46,3456534
24.85,24.56,24.8995,24.41,2442293
24.54,24.7,24.8,24.48,1826302
24.61,24.58,24.78,24.5,1792084
24.51,24.565,24.71,24.49,1700287
24.47,24.515,24.68,24.38,2142723
24.56,24.91,24.92,24.5,2311627
24.89,25,25,24.85,2309804
25,24.915,25,24.745,2841040
24.87,24.92,24.94,24.7,1200212
24.77,24.99,25.23,24.75,5685015
24.61,24.95,25.06,24.56,5344624
25.06,25.39,25.43,24.52,7748116
25.4,25.49,25.65,25.27,4031472
25.56,25.46,25.6299,25.435,3491683
25.3,25.415,25.47,25.3,7058026
26,26.28,26.63,25.95,14427262
26.29,26.37,26.53,25.99,10665296
26.17,26.175,26.71,26.16,9799550
26.13,25.99,26.18,25.99,4628016
26.09,25.97,26.2,25.77,3897334
26.7,25.91,26.7,25.86,6247739
25.78,25.99,26.19,25.75,5607784
25.89,26,26.12,25.78,3244168
26.2,25.51,26.2,25.48,8491083
25.58,25.73,25.79,25.48,3674004
25.72,25.69,25.86,25.64,1387296
25.66,25.45,25.7,25.43,1323134
25.53,25.59,25.67,25.41,1289775
25.6,25.48,25.71,25.31,1966269
25.47,25.52,25.64,25.375,1837063
25.61,26.03,26.03,25.52,4694647
25.73,25.83,25.97,25.6,2198427
25.98,26.39,26.77,25.92,8959635
26.39,26.75,26.77,26.19,6010701
26.75,26.61,26.89,26.45,7012862
26.73,26.69,26.81,26.37,3307263
27.39,26.49,27.46,26.05,17732900
26.75,26.59,26.82,26.21,19424583
26.61,26.79,27.05,26.6,14182918
26.84,27.5,27.51,26.79,12447868
27.63,27.89,27.94,27.52,11905477
27.92,28.13,28.22,27.845,16333812
28,28.075,28.6,27.95,40973468
28.1,28.21,28.62,28.04,25009554
28.2,28.41,28.7,27.97,11627814
28.34,28.06,28.37,27.8125,8288267
27.72,27.46,27.85,27.335,5388206
27.48,27.69,27.72,27.35,4445003
27.91,27.69,27.99,27.64,1425934
27.5,28.29,28.38,27.41,4607604
28.3,28.42,28.6,28.01,7556287
16.7,17.13,17.62,16.6403,19627378
17.33,17.53,17.54,16.96,13107569
17.64,17.65,17.87,17.57,6607928
17.75,17.62,18,17.55,8599784
19.04,19.71,20.77,18.96,22501699
19.94,20.2,20.448,19.85,8763583
20.36,20.61,21.02,20.2,7809175
20.72,20.61,20.79,20.355,8040439
20.52,20.76,21.095,20.52,10101269
20.72,20.65,20.86,20.585,5584860
20.45,20.53,20.66,20.33,4942390
20.52,20.69,20.89,20.46,4990751
20.65,20.785,20.87,20.4332,6736238
20.65,20.465,20.79,20.26,4936705
20.1,19.91,20.315,19.78,6483601
20.03,19.12,20.28,19.02,7043785
19.45,19.3,19.9,19.25,5487036
18.46,18.92,19.24,18.45,9702762
18.4,19.02,19.03,17.97,11647710
19.04,19.94,19.95,18.88,6914695
19.83,19.29,20.36,19.04,8178301
19.52,19.72,19.93,19.455,9516217
19.32,19.37,19.58,19.06,6893425
18.92,18.665,19.33,18.325,7217842
17.35,17.17,17.965,15.91,6391938
17.74,17.9,18.03,17.01,7645492
17.5,17.86,18.03,17.35,21430192
