Open, Close, High, Low, Volume
25.72,25.71,26.24,25.53,2139439
25.73,25.31,25.895,25.14,2022207
25.4,24.71,25.72,24.58,2953198
24.7,24.31,25.53,24.07,4436667
24.13,23.61,24.35,23.425,5398333
23.62,22.99,24.09,22.85,4965919
22.77,22.13,22.94,22.1,1597205
22.25,23.54,23.57,22.04,3491457
23.23,23.19,23.39,22.64,4379939
23.32,23.24,23.585,23.07,2707243
23.32,23.215,23.57,23.05,2133482
22.87,23.445,23.87,22.83,2852795
23.5,23.375,23.7,23.11,2684470
23.71,24.44,24.48,23.67,2891325
24.62,25.02,25.17,24.37,2029456
25.31,25.41,25.54,25.09,2072792
25.51,25.685,25.95,25.48,1732059
25.55,25.62,25.77,25.45,1941989
25.5,25.655,25.73,25.3,3618520
25.4,25.38,25.74,25.21,2650406
25.45,25.065,25.6,25.045,4966185
25.02,25.175,25.52,25.02,2621811
25.01,25.29,25.32,24.995,2186859
25.37,26.13,26.13,25.29,3017812
26,24.76,26.05,24.74,3979126
24.91,25.5101,25.54,24.82,2543641
25.8,25.265,25.8,24.98,3285764
25.76,25.635,26.045,25.6,2788275
25.43,25.82,25.855,25.39,1330752
25.76,25.485,25.93,25.455,1903605
25.54,25.57,25.755,25.13,1958721
25.59,25.67,25.92,25.49,2116724
25.725,25.58,25.81,25.46,1598931
25.62,25.74,25.81,25.62,2566156
25.7,25.765,25.84,25.655,1332557
25.74,25.72,25.89,25.67,1874906
25.45,25.55,25.64,25.26,2871728
25.75,26.25,26.65,25.58,5139408
26.34,26.129,26.39,26.09,2412259
26.12,25.985,26.25,25.955,4207812
26.08,26.1101,26.255,25.96,3038790
25.96,26.1,26.28,25.815,2392158
26.2,26.275,26.355,26.095,2755241
26,25.88,26.05,25.76,2730609
25.9,25.87,26,25.775,2527496
26.02,26.09,26.13,25.9,2550603
26.27,25.67,26.33,25.63,3074139
25.69,25.48,25.85,25.42,2791391
25.5,25.33,25.61,25.2,3297279
25.3,26.2,26.72,25.04,5818747
26.29,26.99,27.43,26.2,7778293
27.22,27.19,27.49,26.8412,5144063
27.21,26.725,27.21,26.34,3383368
26.44,26.26,26.49,26.17,3332363
26.16,26.15,26.32,25.89,2203020
25.82,26.03,26.03,25.68,1498389
26.08,26.66,26.74,26,1913885
26.79,26.93,27,26.605,2326577
26.98,27.06,27.25,26.87,2923182
27.08,27.32,27.35,27.02,2978800
27,26.95,27.11,26.8,2109678
27.02,27.26,27.31,26.95,1585644
27.45,27.1025,27.57,27.04,1680347
27.16,26.91,27.23,26.75,1801518
26.71,27.43,27.5,26.55,1696161
27.3,26.85,27.36,26.72,1775432
26.81,26.54,26.88,26.44,2260960
26.9,27.05,27.07,26.825,1363675
27.15,26.63,27.33,26.45,5579941
24.49,23.66,24.6,23.6,17940688
23.88,23.67,24.09,23.5,9256134
23.83,24.29,24.375,23.72,2399647
24.29,24.25,24.65,24.25,2790898
