Open, Close, High, Low, Volume
26.44,26.44,26.74,26.24,5508128
26.51,26.22,27.15,25.88,5097140
25.73,25.65,26.3,25.1,7157501
25.58,25.23,26.34,25,8771013
25.05,24.46,25.41,24.44,2747982
24.5,26.03,26.04,24.27,4903300
25.59,26.08,26.08,24.995,5170231
26.24,25.725,26.69,25.6,3090286
25.9,25.57,26,25.03,3088466
25.27,25.84,26.36,25.11,3293943
26,25.71,26.22,25.22,3014214
26.25,26.725,26.78,25.9,3269163
26.76,27.73,27.93,26.52,4292761
28.19,27.955,28.22,27.52,2708219
28.44,28.37,28.7,28.08,2514522
28.11,28.75,28.85,27.89,2953334
28.39,29.075,29.26,28.3,3784568
28.61,29.2,29.7,28.51,5060339
29.49,29.28,29.77,28.92,3450222
29.28,29.36,29.66,29.09,2806528
29.08,29.77,29.935,28.88,1973423
30.27,30.415,30.435,29.65,3460534
30.02,29.49,30.02,29.43,3577956
29.68,28.705,29.75,28.61,2663062
28.67,29.365,29.77,28.67,2673889
29.7,30.3799,30.47,29.7,2967314
29.86,29.91,30.25,29.6,3065637
30.24,29.75,30.27,29.735,2103453
30,29.87,30.0339,29.24,3769453
30.08,29.49,30.08,29.175,2818833
29.66,29.88,30.65,29.51,8122503
29.75,30.18,30.285,29.51,2462658
30.07,30.16,30.39,29.9133,2287018
30.02,30.61,30.63,29.9,2792568
32.56,28.63,32.63,28.37,8650399
28.4,28.33,28.5,27.735,5746709
28.06,28.84,28.89,28.03,2586748
29.16,28.8,29.54,28.79,2652006
28.9,29.485,30.09,28.84,4247843
29.26,29.065,29.43,29.04,2784155
29.47,29.82,29.905,29.3,2637598
29.56,29.235,29.64,29.09,2811013
29.22,29.81,29.98,29.2,1897228
29.56,28.76,29.61,28.56,3078681
29.04,28.48,29.185,28.425,2435118
28.4,28.55,28.915,28.4,2357834
28.62,28.5,28.95,28.495,1725118
28.62,28.72,29.31,28.43,3168101
28.76,28.15,28.76,27.58,3772552
28.25,28.79,29,28.25,2878088
29.05,28.37,29.16,28.155,2576273
28.41,28.17,28.5,27.75,2673940
28.03,27.3,28.05,27.21,3703363
27.31,26.58,27.35,26.435,4223214
26.04,25.88,26.18,25.62,2764246
26.02,26.5,26.61,25.95,3464984
26.66,26.93,26.975,26.55,2060938
27.18,27.085,27.61,26.74,3731817
27.22,27.04,27.45,26.92,2054293
26.93,26.48,26.975,26.42,2235483
26.66,28.13,28.39,26.66,4118945
28.2,28.1602,28.47,28.07,4385174
28.12,28.37,28.58,27.811,5103447
28.26,27.91,28.33,27.685,2544701
27.55,26.63,27.78,26.61,2283210
26.44,26.63,26.65,26.09,1747484
27,26.78,27.25,26.54,1806659
26.72,26.32,26.94,26.215,1941934
26.16,26.51,26.6,26,1888754
26.89,26.65,27.02,26.32,2288467
26.8,27.23,27.26,26.695,1268741
27.3,27.15,27.625,27.01,2279494
27.35,27.26,27.56,26.935,3397591
27.15,27.38,27.45,26.73,2790340
27.53,28.18,28.21,27.4233,2690707
28.24,28.31,28.65,28.07,2571822
28.23,28.04,28.28,27.775,1901482
27.94,28.68,28.81,27.82,2566065
28.72,29.33,29.37,28.49,4595107
28.29,26.87,28.69,26.805,9125324
26.7,27.53,28.31,26.66,5846377
27.67,27.18,27.73,26.59,3275557
27.31,27.24,27.63,27.14,2092536
27.34,26.97,27.76,26.63,2672139
27.38,27.75,27.8,27.01,2549529
27.84,27.9,28.155,27.725,2199597
27.71,26.49,27.88,26.47,2174288
26.36,26.44,26.635,26.075,4533087
25.94,27.4,28.62,25.44,9005501
27.35,27.75,28.07,27.08,3060441
27.92,26.13,27.92,25.88,6176785
26.05,24.9,26.23,24.88,4134581
24.75,24.94,25.03,24.04,6859173
25.25,25.41,25.62,25.13,3647460
25.09,25.71,25.84,24.93,8174690
25.39,25.36,25.57,25.18,3686985
25.35,24.84,25.36,24.355,4295893
24.54,25.1,25.145,24.45,3989467
25.03,24.91,25.085,24.71,4779481
24.65,23.73,24.65,23.42,4453542
23.98,24.38,24.71,23.89,2053014
24.05,24.71,24.77,23.85,2983669
24.88,24.75,25.02,24.61,1809758
24.4,23.95,24.6023,23.89,1892322
23.85,24.11,24.13,23.7,2367781
24.2,24.1,24.42,23.98,3322370
23.79,23.12,23.87,22.625,4052513
22.46,22.12,22.46,21.665,12525919
22.34,22.39,22.51,22.12,4503362
22.51,21.9,22.51,21.825,2779039
21.5,21.65,21.74,21.215,2761675
21.57,21.07,21.73,20.86,4222033
20.6,20.85,21.08,20.38,3469929
21.01,21.2,21.5,20.78,3092515
21.61,21.31,21.62,21.11,2662791
21.23,20.58,21.26,20.14,4189928
20.59,20.77,20.84,20.33,6624936
20.89,20.84,21.11,20.53,2895157
20.99,20.98,21.18,20.81,5013954
21.23,21.3,21.72,21.16,3067988
20.98,20.55,21.18,20.49,4736657
20.89,20.72,21.19,20.61,4517560
20.67,19.99,20.85,19.57,5692938
19.84,20.32,20.57,19.62,3691964
20.34,20.62,20.81,20.26,3690919
20.72,20.81,21.09,20.51,3052880
21.32,21.73,21.93,21.32,4464502
21.74,21.32,21.98,21.24,4026132
21.26,21.28,21.48,21.16,3428782
21.18,21.24,21.38,20.93,3913265
21.56,21.59,22.04,21.41,3232546
21.61,21.43,21.69,21.3,2867106
21.62,22.22,22.23,21.5256,3900013
22.75,22.24,23.06,22.12,5548218
22.23,21.78,22.23,21.625,3074624
21.85,21.78,21.93,21.42,1123653
21.66,21.95,22.05,21.62,1300121
21.86,21.83,22.1,21.61,1987664
21.62,21.525,21.745,21.425,2776208
21.72,22.09,22.16,21.64,2502126
22.15,22.025,22.5,21.985,3653127
22.15,21.91,22.35,21.9,3721062
21.79,21.5,21.85,21.35,4742159
21.44,21.33,21.93,21.23,4680296
21.29,20.785,21.29,20.715,2966590
20.6,20.75,20.76,20.335,2254498
20.74,20.99,21.21,20.52,3575439
21.16,21.25,21.59,20.93,3874158
21.33,21.84,21.9,21.12,5520791
21.84,22.03,22.23,21.83,3191423
22.15,21.46,22.23,21.22,4207029
21.45,21.72,21.81,21.36,3900726
21.66,20.69,21.66,20.63,5014296
20.96,23.01,23.19,19.7,14641449
23.94,23.82,24.89,23.495,9693599
23.48,22.435,23.48,22.08,5925882
22.54,22.09,22.73,21.605,5791458
21.52,21.74,21.84,21.12,3654340
21.79,21.31,22.05,20.825,2860523
20.77,20.58,20.88,20.07,4008704
20.64,20.85,20.87,20.16,3119127
20.88,20.08,20.96,20.01,3742597
20.2,20.195,20.43,19.8939,3043428
20.07,20.38,20.89,19.93,2681474
19.76,18.74,19.8,18.69,4241654
18.5,18.28,18.61,18.05,4368937
18.37,18.64,18.79,18.24,3121211
19,19.31,19.43,18.85,3220502
19.13,18.87,19.17,18.66,2709877
19.04,19.09,19.38,19.01,2232016
19.25,19.32,19.62,19.17,3062575
18.9,18.72,19.345,18.615,4711294
19.05,18.69,19.16,18.59,2338439
18.91,18.47,18.98,18.4238,2672533
