Open, Close, High, Low, Volume
121.66,123.38,123.51,121.599,1181933
123.87,126.17,126.21,123.6201,1496548
125.96,129.51,129.52,125.8683,1210246
130.59,130.69,131.11,130.17,1839686
130.04,129.95,130.66,128.71,1509469
130.19,129,130.51,128.11,1210077
129.18,128.97,129.735,128.51,1395016
128.75,129.19,129.33,127.84,845923
128.96,129.33,129.91,128.225,528129
129.54,130.25,130.88,129.05,602783
130.8,130.705,130.9,129.64,747345
130.54,130.41,131.26,130.17,487132
131,131.75,132.35,130.14,971480
132,132.86,133.25,131.74,913787
133.88,133.86,135.09,133.78,928193
134.95,135,135.13,133.9,808419
135.05,135.31,136.09,134.87,984646
135.65,135.39,136.4,134.62,809121
134.96,136.23,136.41,134.3625,1431840
136.59,137.62,137.78,136.24,770810
137.64,138.25,139.06,137.08,665447
141.32,139.78,141.66,139.21,2025514
140.83,140.8,140.93,139,1440541
140.75,141.1,141.48,140.1291,831467
141.23,142.31,142.52,141.02,747698
142.33,143.9,144.08,141.755,1139883
144.59,144.44,144.99,143.56,994527
144.42,145.48,146.67,144.37,1035924
146.89,145.551,146.9,145.42,870072
147.16,149.72,149.82,146.38,1210058
149.59,147.06,150.85,146.83,2022855
146.07,146.58,147.44,145.63,1888813
148.68,149.11,150.1,147.76,2254840
151.5,152.87,156.545,151.33,3451512
150.51,149.74,151.94,147.33,2068213
147.29,147.4,157,145.43,3020831
144.91,149.02,149.379,143.49,2216476
148.62,153.25,154.03,148.07,1949466
153,140.155,153.5,140.1122,2994312
142.14,145.14,146.765,137.6,2110482
146.97,147.26,148.625,145.235,1187532
146.04,147.59,148.32,145.57,1054072
147.27,147.74,149,146.3,1456804
148.95,152.54,152.79,147.8,1468174
151.93,154.07,156.19,151.18,1393066
152.9,156.83,158.13,152.03,1367091
156.36,157.59,160.73,156.36,1501856
157.78,156.07,159.31,155.693,901166
156.86,160.41,160.63,156.86,791836
160.8,160.59,162.64,159.66,915629
161.27,163.37,164.235,160.75,1386465
163.27,161.03,165.68,160.865,1218496
162.62,159.54,164.26,157.875,1613688
158.65,166.78,167.1,157.525,1840164
164.76,168.34,169.1875,163.81,1496588
169.4,171.07,171.91,168.41,2152950
169.45,173.07,174.19,169.38,1270788
174.68,172.99,175.65,172.4,1315469
174.34,173.05,174.99,172.46,1872599
172.76,174.43,175.9,171.56,1608875
175.99,173.96,175.99,172.17,1323727
175.37,175.34,176.56,173.49,1102724
175.96,173.83,176,170.91,961275
174.82,169.98,175,169.07,1350701
169.8,169.84,172.7799,167.42,1436609
169.87,172.12,173.3702,169.23,1269389
171.99,173.21,176.195,171.5,1245156
171.34,168.76,172.83,168,1205721
168.98,164.63,170.63,164.52,1049766
168.55,171.45,172.04,167.815,1341205
173.21,162.73,173.38,161.36,1370083
163,159.73,164.015,157.16,2487521
161.6,165.4,167.46,160.27,1471705
164.44,161.49,165.845,159.24,1507980
166.6,161.82,167.97,160.07,1404291
156.5,164.69,164.99,156,1634022
166.78,165.77,168.16,164.621,1282030
163.96,162.93,166.88,161.24,828637
164.56,162.88,166.345,162.65,812278
166.25,166.58,167.43,162.13,1230067
165.08,166.44,168.24,164.47,1050722
166.73,168.57,170.17,166.54,1121781
170.08,166.88,171.3,164.7889,1039969
168.51,169.45,170.72,167.27,881342
171,174.53,175.03,171,1275982
175.39,174.28,175.5399,171.21,1302615
173.29,172.98,174.36,170.885,880157
171.69,168.9,172.55,167.93,1490532
169.92,167.53,170.23,166.62,1459744
169.19,160.66,169.6123,158.171,2484609
162.45,158,162.79,157.25,3284356
160,165.13,167.61,156.18,2972354
166.78,163.17,167.1,160.37,1613846
163.18,166.2,166.91,163.18,1217117
165.36,165.42,166.74,163.27,1051902
164.56,165.51,167.91,164.19,938720
165.79,168.77,169.54,164.92,1409724
168.7,171.23,173.09,167.46,1451525
172.09,176.02,176.89,171.84,1649895
172.61,176.05,176.13,170.7318,2439398
177.27,180,180.98,175.83,1713351
181.13,178.97,182.585,178.54,1899588
179.22,178.87,180.04,177.31,1160378
178.86,173.72,179.5,173.49,1360126
171.98,173.42,174.545,168.79,957751
173.01,171.15,174,170.02,1034642
171.13,171.69,171.989,169.25,986957
171.76,173.94,174.56,171.5,858296
175.27,171.39,177.37,170.58,799647
172.21,170.25,172.84,168.08,885483
168.7,173.96,174.07,168.7,925850
174.07,175.4707,176.72,172.92,1097575
175.19,176.72,177.49,174.7087,950490
176,176.29,177.38,174.61,987778
177.32,178.5,179.85,176.01,1643111
178.11,177.63,181.41,177.2,1067888
179.06,181.5,181.57,177.3,871240
182.57,183.53,184.47,181.21,1000471
184.19,186.11,186.95,184.025,1084773
186.56,186.42,187.389,185.36,909584
187,177.35,187,174.32,1870641
177.7,178.08,180.02,176.22,1411584
178.46,180.1,180.5,177.05,867358
180.56,181.85,182.55,179.81,1058238
183.23,181.23,183.95,179.45,921434
182.59,185.34,187.23,182.51,2111409
184.97,186.29,186.59,181.25,1013503
185.36,186.41,186.71,183,894471
183.58,183.63,184.25,179.31,1059451
185,184.76,188.59,184.47,966215
185,180.27,186.5699,179.941,994286
178.58,176.53,178.58,172.51,1515515
174.43,171.44,175,169.46,1347947
172.09,170.91,174.14,170.07,1124087
172.21,167.9,175.74,167.3572,1429189
167.84,172.41,173.8,167.5,1112064
174,172.48,175.25,171.56,674808
171.61,177.31,177.69,170.3937,1239848
178.03,177.3,179.35,176.57,573915
178.19,179.38,180.45,177.83,852189
179.4,182.16,183.284,178.64,520072
183.23,184.85,185.26,181.1,860639
185.23,185.58,186.48,183.39,852644
183.37,187.17,188.18,183.37,1035433
188.83,194.55,194.81,188.74,1714255
192.88,191.06,193.98,189.24,1336345
191.96,189.03,192,188.3,824571
186.95,191.18,191.67,184.225,1009302
192,192.02,194.02,190.1105,1132594
191.53,189.98,192.7336,189.48,718021
191.01,191.02,193.56,190.5,1178247
190.18,190.43,191.35,186.58,1193394
191.93,184.9,192.18,183.4378,2222905
184.57,183.81,187.326,183.36,2932208
181.5,192.31,194.67,181.5,3050270
192.03,183.95,192.3,178.35,2577623
184,178.81,184.95,178.56,1813726
179.25,175.96,179.99,174.3458,2326584
176.59,177.93,180.62,176,1552383
177,182.85,183.0606,176.79,1372797
183.59,180.89,183.645,178.75,909472
181.12,184.63,184.94,181.12,876184
185,185.67,187.03,184.2,769487
185.3,186.13,187.22,182.36,567975
186.81,188.365,190.63,186.2,880689
