Open, Close, High, Low, Volume
139.88,141.11,141.62,138.505,1488345
142.45,143.67,143.92,141.03,1389208
144.35,143.73,144.63,142.55,879792
144.43,144.84,145.43,143.6975,1472250
145.54,144.31,145.54,142.89,746491
144.61,144.53,144.79,143.5,332907
144.48,144.6,145.46,144.05,269627
144.99,145.91,146.33,144.3,455853
146,145.32,146.32,144.37,403736
145.52,145.03,146.07,144.9,382438
145.96,146.95,146.97,144.83,687080
146.86,146.95,147.54,145.89,673826
147.73,147.37,148.59,146.91,712265
148.44,150.27,151.85,148.44,1052949
150,152.55,152.84,149.99,936955
152.97,153.63,154.61,152.72,954174
153.16,151.63,154.1,151.405,787617
152.09,154.02,154.64,151.65,1214583
155.28,154.34,156.0833,154.23,1353581
154.88,152.99,157.1499,152.95,1830317
152.77,154.01,154.34,151.7895,1461683
154.3,153.41,154.71,152.9,1208076
153.66,151.4,153.85,151.34,2420822
151.44,151.49,152.01,149.82,1699770
151.13,151.65,152.27,149.045,1720145
150.75,149.94,152,147.17,2378264
149.7,148.23,151.342,147.81,1233513
148.79,150.97,151.37,148.43,1388924
150.97,151.4,152.4,150.66,1158840
150.67,150.07,151.405,149.7,1123688
150.27,150.91,151.67,149.74,1117476
149.28,148.47,150.35,147.9,1108086
147.15,144.99,147.85,144.61,1248097
144.74,138.59,146.73,138.18,1792635
136.99,143.02,143.445,134.55,1826204
142.09,142.68,144.45,141.371,1047357
142.62,136.93,143.27,136.87,1650865
138.06,138.22,139.49,131.81,1810856
139.25,139.9,140.93,137.47,1313459
138.95,140.3,140.95,137.3638,1072304
139.63,142.25,142.435,138,1293818
143.01,142.42,143.26,140.435,1000311
142,142.65,144.07,141.761,931867
141.71,139.92,141.98,139.07,1423795
140.15,138.82,142.89,138.8,1357718
139.83,141.48,142.91,138.9,1285820
142.34,142.61,143.405,141.12,1049842
143.25,145.55,146.02,142.66,1164773
145.98,142.79,147.61,142.79,1108754
142.62,139.05,143.45,139.05,1077685
139.45,138.68,141.19,136.63,1582300
137.54,138.64,139.4099,136.11,894401
137.84,140.83,141.13,136.49,928411
141.35,141.1,141.64,139.51,720299
139.34,140.72,141.84,139.054,860980
141.46,140.46,142.28,139.25,1154113
141.69,145.5,145.97,141.43,1255746
145.38,142.53,145.99,142.26,1016971
143.41,142.38,144.675,142.12,716214
143.38,136.62,143.38,135.9,1879376
136.75,137.63,138.35,135.932,1566142
137.84,138.57,139.52,137.84,1148394
137.99,139.17,139.49,136.83,1456297
139.74,139.32,139.87,138.41,996524
139.61,139.46,141.87,138.7603,884388
137.69,134.19,138.476,134.1,2595982
134.43,132.17,136.04,131.85,1354189
133.95,136.18,136.4,131.81,1293945
136.5,133.57,137.77,132.79,1557089
133.84,133.97,135.76,132.22,1281202
134.89,135.78,137.5,134.49,1108708
135.57,132.82,136.53,131.02,1334517
133.31,133.38,134.04,131.93,1690195
131.9,131.95,132.32,130.891,2005017
132.67,133.7,134.16,131.7988,1998803
132.62,129.35,133.58,127.79,1620496
130.16,128.92,131.09,128.74,806999
130.4,129.98,131.59,129.33,1287171
129.21,131.05,131.96,129,1292166
131.64,133.14,133.905,131.5,783427
133.78,133.52,134.49,132.93,1047285
134.74,136.48,136.93,134.74,1105992
137.23,135.54,137.23,134.8,997182
137.11,138.625,140.32,137.11,1696345
137.81,138.84,139.25,136.37,1237747
138.66,136.74,139.45,136.09,960769
136.7,137.75,138.08,135.96,1078301
138.3,134.93,139.47,133.47,1973406
140.77,145.96,146.41,139.53,4209711
144.58,144.69,147.84,142.31,2669192
144.69,146.62,146.96,143.32,1093266
147,143.48,147.74,143.13,1523456
143.18,142.47,144.1,140.63,1317330
142.11,142.4,144.83,141.22,1089735
141.46,140.94,141.82,138.34,1356222
140.32,143.9,144.91,140.19,1007857
144.37,145.42,145.82,144.04,1048704
144.91,146.09,147.735,144.48,954483
146.85,150.92,152.2,146.3567,1761863
151.13,151.735,151.98,150.16,1049713
152,152.39,153.73,151.31,926728
152.66,150.46,153.43,150.14,878837
149.58,150.74,150.9,149.16,1049096
150.92,150.88,151.61,149.8,1106334
151.01,152.5,153.73,151.01,964986
152.18,152.51,153.19,151.28,782247
153.26,152.52,154.65,152.32,996315
152.45,151.81,154.19,151.75,1018526
151.2,150.48,151.49,148.99,1342867
150.6,153.01,154.02,150.37,1606441
152.99,152.98,153.46,152.12,957205
151.5,151.67,152.73,150.145,935453
152.69,154.85,155.525,152.095,1291466
154.63,151.7,155.2,151.45,1063395
152.99,155.26,156,152.54,1102370
155.67,151.8,156.17,151.36,1081946
151.71,150.93,152.59,150.16,1196274
151.01,152.05,152.1,148.6,1203283
152.71,152.17,153.28,150.92,848057
152.19,154.23,154.25,151.6,747611
153.73,156.13,157.28,153.6,1281677
156.61,156.29,158.58,155.53,947249
156.34,154.13,157.01,153.5,950202
154.85,153.5,154.91,153.02,1052857
153.4,154.66,154.92,151.855,1462228
153.29,153.78,154.84,152.49,664220
151.82,150.91,152.23,149.598,1028477
151.76,151.11,152.265,150.36,784293
150.84,149.98,151.25,149.11,616514
151.38,151.83,153.07,151.15,1160825
154.2,152.26,154.21,150.81,1381052
152.54,151.07,152.54,150.33,1654595
151.42,150.05,153.68,150.05,1133515
149.13,149.72,150.76,147.22,1329880
149.9,150.89,152.94,149.87,876945
150.37,152.16,152.79,149.8917,472005
152.79,151.03,153.77,150.63,424526
151.71,153.14,153.22,151.53,774809
153.38,154.51,155.28,152.33,783998
155.62,157.18,157.37,154.63,786580
157.1,158.71,159.04,156.69,1935012
157.36,155.78,158.71,154.61,1280620
157.38,157.51,158.33,156.23,1136544
157.21,159.45,160.36,157.04,1352530
160.31,155.26,160.31,154,1597519
155.2,154.97,155.76,153.22,1528659
158.45,159.94,161,158.14,1607838
157.85,160.51,160.84,156.85,1432245
159.46,161.85,162.67,159.42,1247688
161.89,163,163.95,160.9,1239487
163.89,160.48,164.45,159.69,2155054
156.75,168.36,168.76,155.35,2951247
170.5,169.58,172.81,168.19,1745689
169.58,168.25,169.74,166.78,1403708
168.32,168.49,170.94,168.27,901787
169.23,169.05,171.37,168.89,990707
169.04,167.96,169.74,167.455,1109864
167.16,169.32,169.72,166.755,922922
169.54,171.55,171.71,168.86,1185008
171.47,172.69,173.5,170.87,1152111
173.06,173.18,174.43,172.87,773106
172.85,172.84,173.49,171.965,561448
172.52,171.69,173.18,171.68,697209
171,171.94,172.62,170.19,838501
172.86,171.12,173.23,170.95,851763
171.66,172.2,173.75,171.66,998590
172.5,171.89,172.98,170.65,1570222
172.74,173.46,174.17,171.7608,896143
173.79,174.07,175,173.74,781221
174.42,174.85,176.12,174.09,667952
175.33,176.09,176.6873,175.06,801724
175.89,174.11,176.24,174.11,651971
174.12,173.64,174.82,173.12,910401
174.24,174.86,175.86,173.71,828300
176.01,175.57,177,175.48,1256639
176.57,175.17,176.79,174.93,1071284
175.71,174.72,177.075,174.57,854194
174.19,174.2,175.61,173.85,1066946
173.72,173.75,174.37,173.05,1063641
