Open, Close, High, Low, Volume
57.27,57.27,57.88,57.26,1977907
57.76,57.73,58.13,57.43,1404656
57.71,57.91,58.125,57.47,2440039
58.42,57.05,58.44,56.88,1490674
57.09,56.22,57.17,56.13,1634808
56.19,56.3,56.49,56.16,749722
56.22,55.85,56.25,55.64,679760
55.9,56.15,56.19,55.76,586353
56.25,55.8,56.45,55.39,660772
55.8,55.33,55.94,55.26,899884
55.5,55.58,56.08,55.41,1028487
55.56,57.0699,57.32,55.45,1911880
56.91,57.8,58.07,56.86,1940997
57.99,58.88,58.99,57.66,1594379
58.67,59.66,59.735,58.21,1955294
59.75,59.69,60.57,59.4,2471382
59.49,60.65,60.66,59.08,1687739
60.74,61.81,61.86,60.23,2662348
61.97,62.77,62.8,61.69,1697017
62.94,62.27,63.44,61.71,2149976
62.74,63.58,63.97,62.68,1416168
63.5,63.29,63.85,62.78,2797669
63.35,63.1,63.73,62.99,2327828
63.01,63.53,63.53,62.78,2045852
63.61,63.83,63.93,63.061,1843734
63.76,62.93,64.0599,62.15,2284197
63.56,62.49,63.69,62.42,1624778
62.96,63.33,63.41,62.72,3059387
63.26,62.81,63.49,62.68,1432450
62.31,62.32,62.7,61.375,1355387
62.69,61.51,63.22,61.14,1976788
61.37,62.16,62.37,61.14,3611485
61.53,60.23,62,60.17,1166135
59.48,56.8,60.16,56.75,2304847
55.79,58.15,58.43,53.86,2156758
57.68,57.64,58.72,57.22,1547859
57.85,55.86,57.89,55.85,1747709
56.51,56.17,56.85,54.12,2789327
57.03,57.73,58.34,56.63,3582826
59.59,58.75,60.14,58.45,2792401
58.31,60.62,60.99,58.25,4456388
54.56,57.67,57.74,52,15081647
57.55,56.5099,59,56.36,4727853
56.08,58.08,58.85,55.73,2904283
58.2,58.54,59.88,58.18,2780093
58.63,58.59,59.52,58.51,2460963
59.12,59.62,59.63,58.145,2721125
60,60.4,60.63,59.5,3560261
60.05,60.41,60.99,60.0057,2149287
60.54,60.53,61.55,60.03,4122309
60.63,60.6,61.57,59.91,1954149
60.37,60.77,60.9,59.51,1925884
60.36,62.2,62.6199,60.11,1766500
63.15,63.81,64.43,62.91,4019155
63.13,63.36,63.75,62.86,2025973
63.62,63.88,63.91,63.141,1350505
64.29,65.26,65.32,63.88,1706678
65.36,64.53,65.44,64.52,1660699
64.53,64.84,65.52,64.5,1980122
65.25,64.55,65.58,64.47,1505493
