Open, Close, High, Low, Volume
60.27,60.1,60.389,59.23,3304290
60.12,62.02,62.07,60.12,2574730
61.93,62.43,62.78,61.71,2225500
64.15,63.85,64.43,63.27,2684542
64.37,64.52,64.729,63.9,2005739
64.52,64.57,64.6,63.58,1839996
64.6,64.73,64.8599,64.34,690478
64.74,64.61,64.74,64.14,865892
64.24,64.33,64.47,63.93,825083
64.75,63.59,64.75,63.57,1032048
64.21,66.525,66.55,64.1,2712033
66.79,67.41,67.73,66.44,2656951
67.53,67.22,67.65,66.6,1948411
67.37,67.85,67.91,66.69,2039357
67.8,68.26,68.33,67.52,2437588
68.23,67.81,68.23,67.7,2420854
67.77,68.94,69.06,67.31,1588285
69.35,70.16,70.18,68.9,1455735
70.15,69.01,70.48,68.8,2021720
69.07,68.98,70.2,68.27,2335328
69.39,69.26,69.55,68.59,1251805
69.04,68.83,69.43,68.5,2209161
69.19,68.72,69.23,68.21,2337087
68.87,69.01,69.1,68.18,1522303
68.69,68.99,69.68,67.7,2174243
69.47,69.03,69.91,68.86,1420441
69.71,68.26,69.76,67.99,2663372
68.4,69.53,69.55,68.09,2177173
69.5,69.01,69.98,68.97,1678028
69.605,66.83,70.03,66,3460496
67.93,66.97,67.93,66.34,2912847
66.65,66.4,67.1,65.9,2049165
65.8,64.22,65.87,64.08,2727914
63.6,62.55,64.81,61.85,3376642
61.04,63.61,63.83,60.31,3956131
63.41,62.92,64.1891,62.92,2212538
63.04,60.38,63.075,60.38,2442006
61.68,61.77,62.27,59.5,2582808
62.25,63.42,64.03,61.94,2127585
63.21,64.08,64.53,62.72,2362536
63.33,65.2,65.38,63.33,2537069
65.86,65.59,66,64.59,1296191
65.38,68.53,69.5,64.9,4289595
68.1,67.55,69.1183,67.09,2416748
67.56,66.86,68.2128,66.86,1068718
67.38,66.93,67.92,66.8,822394
67.23,66.95,67.43,66.14,986869
68.04,67.89,68.445,66.95,1170369
67.62,67.27,68.45,67.27,1220116
67.63,65.4,67.7699,65.39,1518395
66.49,67.53,68.27,66,4312261
67.18,67.9,68.15,65.96,2820599
67.31,67.87,69.12,67.25,2476280
