Open, Close, High, Low, Volume
147.21,146.42,150.59,145.5,11037155
145.24,143.5,148.15,141.24,15463107
145.35,146.93,150.33,144.25,13552372
145.58,138.49,147.7445,136.43,17831918
138.17,135.18,141.8,132.688,17610995
136.17,129.57,137.5,128.46,18599607
126.49,127.065,129.9799,124.5,10832263
128.94,133.13,133.14,124.46,16359079
130.99,131.23,132.38,125.18,14526130
131.99,133.456,137.39,130.31,14975672
135.4,132.5385,136.71,132.26,9822585
130.64,136,138.48,130.05,10849501
133.79,128.37,135.16,127.6932,15496092
130.94,135.85,137.73,129.7,13378304
138.5,143.61,144.89,136.43,16318300
146.69,139.6,146.78,136.9,18128834
141.9,142.59,144.49,139.86,14177005
141.8,145.3,145.58,139.36,12170896
144.33,148.91,149.75,143.21,20422272
146.72,150.745,151.46,145.77,17220809
151.76,149.5,153.35,149.13,14502817
150.97,148.72,152.3,148.615,10705774
147.51,151.73,153.33,146.41,11476816
153.73,156.91,157.98,151.65,15317697
155.71,148.2887,156.18,147.5507,14970113
151,149.15,154.58,148.03,13153571
152.7,157.75,158.55,152.51,15793077
155.44,159.91,160.88,151.3,28673681
136.55,137.88,141.64,131,58162731
136.15,131.555,138.1,131.01,26113336
134.67,137.16,137.97,131.46,19858426
137.06,143.64,145.19,136.3832,19651776
144.5,144.665,146.79,142.58,13922774
145.37,149.01,150.68,144.48,12236632
149.66,149.8,151.43,148.3,12627154
151.16,152.89,155.6,151.07,16140176
151.128,147.19,151.22,145.69,14512767
144.71,147.84,148.6,144.13,10660171
146.3,146.2564,148.58,144.5,11091307
148,150.97,151.8,147.42,13141848
152.36,152.83,155.83,151.81,14245955
152.84,154.41,155.665,151.1,14705840
162.95,157.321,163.87,156.42,35382303
156.91,156.57,159.89,156.14,12589192
157.82,158.57,161.26,157.37,12295953
159.06,155.81,160.05,155.18,10001513
157.86,159.22,159.95,157.31,9065192
162.56,158.69,165.28,158.34,14556056
158.55,157.14,160.76,155.75,11625133
156.6,155.4,157.59,153.11,11068770
155,154.29,155.9,153.36,7290316
156.27,156.44,158.1489,153.92,7968440
158,156.8,158.92,154.5,9610154
156.15,156.51,158.0571,153.96,7948464
156.16,152.04,156.5,151.94,8905437
151.1,149.25,151.49,147.4001,10531043
145.66,150.67,151.07,144.8,8921590
151.59,161.13,162.06,149.69,19618198
162.26,162.51,164.39,159.19,13583987
163.81,168.62,169.8,163.73,17991361
168.99,165.56,169.47,165.25,11514650
167.3,169.82,171.53,167.16,14579716
171.08,168.97,173.25,167.8577,11443204
172.76,175.74,177.5,172.08,20201970
176.88,174.4,179.03,173,16735219
175.33,183.9,185,175.13,18408727
182.84,177.5,184.7997,176.94,17701920
175.86,173.78,178.45,171.11,12200336
179.47,176.95,181.75,174.5969,16604415
177.95,176.59,179.77,173.7,11150812
