Open, Close, High, Low, Volume
16.45,16.425,16.65,16.4,653443
16.5,16.35,16.5,16.3,725917
16.5,16.625,16.7,16.4,373876
16.65,16.6,16.8,16.5,448280
16.75,16.575,16.75,16.55,253371
16.65,16.675,16.825,16.45,313919
16.7,16.8,16.8,16.65,354240
16.75,16.6,16.8,16.6,134968
16.65,16.65,16.75,16.5151,176592
16.7,16.7,16.7,16.5,201109
16.7,16.65,16.775,16.55,285222
16.65,16.825,16.85,16.6,403453
16.8,16.875,16.9,16.75,348065
16.9,16.925,17.075,16.8,793429
17.2,17.2,17.4,16.9,389990
17.15,17.2,17.25,17,338240
17.25,17.3,17.35,17.15,321578
17.2,17.2,17.25,17.1,262915
17.2,17.45,17.6,17.2,529844
17.45,17.525,17.55,17.3,223013
17.6,17.35,17.6,17.3,230460
17.4,17.6,17.7,17.35,369759
17.55,17.35,17.6,17.35,205451
17.5,17.6,17.6,17.3,329327
17.55,17.55,17.55,17.3,191780
17.45,17.4,17.5,17.3,277475
17.35,17.4,17.55,17.25,326618
17.4,17.3,17.45,17,116854
17.4,17.5,17.5,17.225,93213
17.45,17.375,17.55,17.325,91898
17.3,17.3,17.475,17.2,254456
17.2,17.45,17.45,17,304893
17.3,17.125,17.35,17,504547
17.1,16.65,17.1,16.65,236567
16.75,16.1,16.9,16.1,282136
15.8,16.475,16.525,15.5,580432
16.35,16.35,16.55,16.15,393501
16.15,15.8,16.35,15.8,450295
16,16,16.5,15.6,818251
16.1,16.15,16.5,16,907702
16.15,16.6,16.625,16.1,562513
16.5,16.7,16.75,16.4,286337
16.7,16.6,16.85,16.5,320967
16.55,16.45,16.7,16.4,531155
16.45,16.125,16.45,16.05,364131
16.15,16.175,16.45,16.15,474581
16.3,16.55,16.65,16.3,422255
16.6,16.775,16.8,16.425,123812
16.8,16.95,16.975,16.75,210743
16.85,16.7,16.95,16.625,209425
16.75,16.425,16.75,16.4,214990
16.3,16.05,16.45,16,312681
15.95,16.1,16.15,15.9,203475
16.1,16.4,16.45,16.05,217515
16.4,16.65,16.65,16.3,205414
16.5,16.575,16.6,16.35,148692
16.6,16.35,16.65,16.35,398555
16.55,16.8,16.8,16.45,346352
16.85,16.825,17,16.725,324053
16.9,16.65,16.95,16.55,134583
16.75,16.65,16.8,16.55,271078
16.75,16.75,16.8,16.65,223016
16.85,16.95,17.025,16.8,429960
16.95,16.75,17.1,16.7,1147182
16.75,16.7,16.8,16.625,270812
16.8,16.875,16.95,16.75,757909
16.85,16.7,16.95,16.65,979541
16.7,15.95,16.75,15.95,1078846
16.15,16.15,16.2,15.7,863106
16.1,15.9,16.25,15.9,298717
15.95,15.8,16.025,15.75,298179
15.8,16.1,16.25,15.8,358095
16.1,15.65,16.1,15.5,425185
15.7,16,16,15.55,444336
15.8,16,16.05,15.65,234714
15.95,15.975,16.15,15.85,279692
15.95,15.75,16,15.6,210531
15.85,15.85,16.15,15.7,240747
16,16.15,16.4,15.95,365203
16.05,16.05,16.15,15.925,259992
16.05,16.075,16.175,15.9,119481
16.1,15.9,16.15,15.9,120317
16.1,16.15,16.25,15.95,137794
16.25,16.25,16.35,16.1,155810
16.35,16.25,16.4,16.2,142232
16.25,16.375,16.45,16.25,131620
16.4,16.35,16.4,16.25,159834
16.3,16.4,16.45,16.25,122328
16.45,16.15,16.5,16.05,288385
16.15,16.125,16.25,15.975,165373
16.15,16.25,16.3,16.1,124304
16.2,16.25,16.25,16.075,96363
16.35,16.25,16.425,16.15,232064
16.2,16.175,16.2,16,338785
16.15,15.85,16.225,15.85,192253
15.95,16.15,16.25,15.8,575325
16.15,16.4,16.4,16.1,222986
16.35,16.625,16.65,16.35,289839
16.65,16.575,16.75,16.5,252321
16.75,16.6,16.75,16.5,841125
16.75,16.7,16.8,16.575,984294
16.75,15.475,16.75,15.35,876236
15.75,16.25,16.35,15.75,1305330
16.25,16.25,16.325,15.95,489235
16.2,16.3,16.4,16.1123,497951
16.25,16.2,16.35,16.1,933689
16.15,16.05,16.2,16,788725
16.1,16.225,16.3,16.1,408953
16.2,16.075,16.3,16,860499
16.1,16,16.1,15.85,431153
16.1,16.05,16.1,15.85,641681
15.95,16.1,16.1,15.95,116922
16,15.55,16.1,15.5,448755
15.75,15.85,15.95,15.675,242868
15.85,15.5,15.9,15.4,346815
15.5,15.65,15.75,15.5,245299
15.75,15.65,15.8,15.6,198584
15.65,16,16.05,15.65,161798
16,16.1,16.2,15.95,201068
16.1,16.075,16.2,16,131641
16.1,16.15,16.3,16.05,281162
16,16.25,16.35,16,205677
16.25,16.4,16.45,16.25,172203
