Open, Close, High, Low, Volume
56.86,56.98,57.18,56.6,1474170
57.22,57.4,57.57,57.0732,2043203
57.5,57.81,58.23,57.5,1318395
57.63,56.38,57.76,56.27,1078301
56.42,55.62,56.5999,55.605,1104215
55.89,55.26,55.91,55.165,770129
55.41,55.85,55.9,55.3,655894
55.93,56.22,56.49,55.74,710791
56.38,56.71,56.98,56.12,858857
56.74,57.115,57.15,56.51,866428
56.93,57.04,57.17,56.69,1044364
57.02,56.62,57.06,56.42,1184107
56.7,56.47,56.83,56.32,1191384
56.25,55.26,56.33,55.25,1338549
55.3,55.2,55.37,54.91,1035603
55.25,55.28,55.39,55.02,796166
55.21,54.25,55.2642,54.19,1551486
54,53.06,54.04,52.8,3113524
53.25,53.28,53.75,53.15,1645854
53.2,52.73,53.215,52.63,1489814
53,52.94,53.51,52.92,1349249
53.2,53.24,53.5,52.95,1164465
53.05,52.75,53.19,52.62,1417814
52.88,53.13,53.15,52.6,1491423
53.17,53.85,53.8998,53.17,1282833
53.95,54.53,54.56,53.95,1158380
54.42,54.02,54.58,53.86,1207954
54.01,54.43,54.46,53.93,1298684
54.5,54.2,54.53,53.98,1217721
54,53.055,54.17,52.65,1610093
52.95,52.47,53,52.281,1637094
52.33,53.18,53.45,52.21,1748791
53.09,51.58,53.21,51.41,2522787
51.1,51.24,51.45,50.42,2029750
50.89,50.1,51.785,50.05,2415133
49.76,50.06,50.66,49.01,2837860
50.1,48.9252,50.95,48.89,5115223
48.84,47.56,49.3257,47.54,3464209
47.87,48.91,49.28,47.42,2575485
49.06,48.66,49.16,47.25,3243597
48.65,49,49.18,47.96,2193092
48.55,48.11,48.65,47.78,2129006
48.27,49.27,49.37,48.14,2520245
49.33,49.95,50.0346,49.31,2177395
49.9,49.39,50.25,49.39,2328496
49.28,48.4,49.57,48.34,2886254
48.56,49.28,49.75,48.26,2301612
49.46,50.23,50.24,49.34,1940429
50.38,50.58,50.78,50.16,2277513
50.68,49.35,50.84,49.35,2707181
49.5,49.16,49.8,49.15,2297201
49.17,49.6,49.85,48.84,2030003
49.45,49.72,49.78,49.15,1574478
49.58,50.31,50.64,49.58,1295744
50.15,50.52,50.57,49.91,1264519
50.4,50.83,50.9,50.13,895625
50.88,50.58,51.15,50.33,1131440
50.59,50.86,50.87,50.0968,1087355
50.9,51.26,51.38,50.7,1099694
51.45,51.44,52.01,51.33,1147901
51.45,51.38,51.79,51.285,1215070
51.55,51.14,51.65,50.91,1030480
51.14,51.47,51.7162,50.86,1315116
51.45,50.91,51.545,50.58,1330230
50.95,50.47,51.2799,50.21,1235360
50.55,49.89,50.6442,49.58,1923850
49.82,49.85,50.685,49.82,1370584
49.93,49.33,50.09,49.12,1304863
49.66,49.94,49.99,49.35,1253849
49.97,50.31,50.94,49.4271,1143425
50.68,51.76,52.1,50.56,1557104
51.99,51.73,52.14,51.45,1597186
51.62,51.18,51.94,50.86,1566003
51.24,51.73,51.92,50.64,1230699
51.51,52.45,52.7,51.23,1217277
52.35,52.39,52.44,51.87,688279
52.5,52.08,53.18,51.99,1090833
52.09,51.9,52.469,51.72,960649
52.13,51.72,52.14,51.675,859806
51.72,51.82,52.32,51.6481,611629
51.84,50.68,51.92,50.57,988438
50.72,50.81,50.86,50.38,982446
50.94,51.07,51.23,50.51,876399
51.14,51.62,51.89,50.86,828500
51.65,51.4375,51.92,51.4,696626
51.17,50.17,51.23,50.055,1282479
50.27,49.53,50.4493,49.32,1599633
49.53,49.14,49.61,48.85,1090801
49.32,49.48,49.6675,48.8,1527198
49.37,49.61,49.63,49.01,1139059
49.81,50.39,50.68,49.62,858804
