Open, Close, High, Low, Volume
75.45,74.37,75.82,73.84,1781159
74.22,73.87,75.5,73.67,2228061
73.24,72.2,73.335,71.33,1827051
72.21,70.27,73.74,70.19,2505143
69.76,69.06,70.31,69.05,1040568
69.25,71.58,71.59,68.58,1696432
70.92,72.12,72.15,69.99,1724791
72.65,72.31,73.0165,71.94,1093322
72.6,73.01,73.22,72.31,1007621
72.59,72.54,73.45,72.14,1801701
72.54,71.695,72.84,71.6,2580699
72.4,73.365,73.74,71.96,1396083
73.25,73.87,74.19,73.02,1626424
74.57,74.99,75.53,74.3,1900068
74.94,75.55,75.62,74.69,1463248
75.26,75.99,76.46,74.97,1738559
75.95,76.48,76.68,75.625,1530950
75.83,75.805,76.6,75.57,974070
75.82,76.05,76.36,75.71,809066
75.98,74.61,76.02,74.29,2312867
74.38,74.31,74.68,73.75,1597457
74.94,75.95,76.12,74.62,1467326
75.67,74.15,75.8,73.94,927131
74.68,75.26,75.28,74.29,924238
75.19,76.765,76.81,75.19,1291619
77,76.48,77.43,76.11,1073844
76.03,76.295,76.8,75.7448,1112434
75.95,77.54,77.62,75.66,1520615
77.65,77.41,77.87,76.14,1033230
77.44,77.905,77.94,77.29,841170
78.1,77.495,78.3,77.25,994589
77.24,77.805,78.125,76.71,952819
77.75,78.37,78.75,77.3977,934449
78.1,74.495,78.33,74.15,2956330
73.84,74.59,74.63,72.71,4049339
74.38,74.54,74.68,73.72,1657904
74.65,73.82,75.25,73.8,3264676
76,74.1,76.03,71.75,5071724
74.42,73.525,75.7,73.1,2959442
73.5,74.3,75.01,72.64,2382739
74.91,74.96,75.245,74.41,2028909
74.25,75.01,75.33,74.25,1441119
75,75.07,75.33,74.65,1234054
75.05,74.91,75.85,74.66,1108875
75.27,75.64,75.98,75.15,1390375
75.92,75.34,76.25,75.26,931892
75.42,75.53,76,74.8,1513065
75.32,75.35,75.8,74.725,1088324
75.56,75.7,75.77,74.92,1126613
76.71,76.72,77.53,76.19,1920931
77.07,76.44,77.13,75.749,1270348
76.5,76.39,76.87,76.12,1040500
76.54,75.2,76.82,74.91,1967950
75.23,74.46,75.55,74.34,1338474
73.42,73.97,73.99,73.32,1397771
