Open, Close, High, Low, Volume
352.65,354.65,355.5,350.43,563705
352.98,348.16,356.4,347.81,585737
346.94,340.92,347.51,338.81,563658
342,344.1,347.34,341.2,454267
343.16,340.35,348.915,338.01,572439
340.05,332.8,340.87,327.33,680154
330.77,330.6,339.97,329.37,997657
330.23,327.22,333,326.71,304997
329.26,344.5,344.5,329.26,434609
340.57,343.04,343.04,331.025,508019
345.31,341.96,346.48,338.58,453256
345,342.54,346.1021,340.06,430094
335.82,340.92,346.71,335.01,791004
338.95,346.53,348.96,335.38,886164
348.46,341.79,351.88,338.83,695596
341.57,339.83,344.72,336.025,763137
342.08,335.02,342.41,329.86,808395
336.87,343.415,346.5,336.87,632418
337,343.39,343.48,337,369999
341.68,338.6,343.952,337.07,476178
336.62,341.46,343.45,335.31,466601
341.25,343.96,346.906,340,495580
344.73,344.08,344.73,340,381358
344.31,347.92,350.28,341.635,409175
350.73,351.185,353.735,345.89,493416
349.16,344.55,352.63,343.2582,434690
345,347.34,349.18,342.51,338641
348.81,339.93,348.82,339.49,517967
341.67,337.39,342.8092,331.34,672320
336.16,335.44,340.34,333.11,566184
334.73,338.93,339.89,333.44,461489
339.42,345.38,346.16,337.26,514238
346.91,344.71,347.72,340,517839
346.08,346.945,348.685,342.7725,709437
348.22,355.92,356.48,345.5,650508
356.19,358.32,359.77,354.35,598355
356.58,353.975,359,352.31,721914
361.6,365.975,366.02,353.7,1578628
362.53,359.86,365.39,357.76,935472
359.99,366.89,368.725,358.89,739745
369.27,378.1575,378.64,369.06,942321
379.39,377.66,379.91,375.125,660879
376.31,382.785,383.68,372.865,497164
386.11,387.91,388.51,382.07,614840
388.27,384.305,394.42,382.08,549715
383.58,383.49,386.13,379,412518
382.39,380.44,383.15,378.57,400283
382.41,383.86,385.9,380.8617,419020
384.38,375.17,384.9999,372.91,619727
381,377.9,383.8,376.115,737215
378.28,367.97,379.25,366.95,590975
364.28,372.02,372.7,363.6,682613
373.1,370.99,374.805,366.96,510480
371.46,370.56,376,366.79,573906
371.98,374.67,377.69,367.24,421140
376.02,372.34,376.73,371.2244,430294
371.585,369.41,372.63,368.18,303964
368,364.1,368.03,362.21,378841
365,366.27,367.7073,362.555,417065
367.35,365.66,368.36,361.54,437989
366.95,367.27,369.6,365.01,404732
366.03,368.14,368.48,362.785,512802
368.86,370.04,371.06,363.27,871058
369.26,375.81,378.33,368.8,548281
375.82,374.3,379.39,373.02,354891
372.97,375.47,378.02,371.26,366473
375.19,384.61,385,373.25,442053
385,376.22,385.805,375.98,391399
381.5,385.89,387.11,377.36,421996
387.11,384.63,387.8009,382.64,372893
385.38,386.86,388.23,381.98,370636
388.77,388.48,390.36,384.08,393871
389.64,388.67,391.78,387.6343,652603
391.4,391.75,394.42,388.85,362991
393,394.34,395.05,390.54,433858
396.37,396.42,398.0743,394.16,441242
397,398.09,398.41,394,282282
399.63,401,403.79,398.17,416864
400.76,402.01,404.16,397.4515,364569
400.67,399.89,401.46,397.5512,318274
401.46,405.01,405.14,398.88,383951
406.26,407.98,409.33,403.19,448490
407.85,406.19,408.91,404.11,433990
405.34,408.735,409.71,404.2,405901
410.08,408.5,414.63,406.29,525456
407.42,404.27,408.2,403.12,457141
401,399.35,402.61,397.23,733418
397.43,393.215,398.6,392.06,593035
393.12,395.78,398.9195,392.465,844233
396.75,396.75,400.93,394.46,699268
380.43,379.89,382.2,367.1208,2146148
380.63,380,381.01,374.03,996876
380.95,375,383.77,373.35,647230
373.72,378.57,378.88,370.5,708289
377.69,373.46,381.8,373.28,579101
373,381.03,381.605,372.2,664467
382.37,375.78,383.11,375.48,616470
372.49,375.76,377.06,370.5,544987
373.12,369.03,375.7102,366.61,496108
368.28,367.88,370.35,364.65,606542
364.38,367.39,367.83,361.66,638479
365.55,364.65,368.62,358.54,641940
360.66,354.59,361.46,353.91,657410
355.03,353.79,355.42,349.71,670219
352.78,353.33,356.1,351.97,730353
353.8,352.69,356.66,351.17,563213
351.44,352.91,357.895,350.3625,553119
350.58,354.15,355.76,349.84,477066
356.31,362.64,363.795,356.31,802945
360.97,368.47,369.82,360.1,842954
365.18,365.99,367.9,362.12,588201
368.49,366.85,372.33,362.24,624914
368.67,369.3,376.28,368.58,581778
368.2,367.13,370.49,363.44,499528
368.57,372.38,373.14,366.44,389017
368.85,371.34,372.16,366.29,447621
377.97,374.6,380.59,372.95,594080
375.34,380.1,381.5089,374.17,390383
