Open, Close, High, Low, Volume
43.75,47.11,49.3,41.8,25683868
47,45.87,47.85,44.7,17470496
45.15,44.17,46.99,42.93,23703238
42.21,44.08,45.2,41.26,41721044
44.05,49.61,50.25,44,32658528
48.55,46.09,48.67,45.72,16534700
45.91,45.89,46.3,43.97,18342884
44.19,44.55,44.85,42.8,15140668
44.08,45.575,46.4067,43.55,14645086
47,46.12,48.56,45.92,14990192
45,45.39,46.98,44.9,9800284
44.5,45.89,47.2,44.5,11767896
47.31,46.96,49.55,46.56,10771374
47.44,47.425,48.04,46.48,9648672
48.02,47.91,48.5,46.31,10187430
48.08,48.29,48.6,47.61,10818018
49.07,49.88,50.95,48.65,10006948
50.77,51.15,51.73,49.71,8113973
50.85,50.89,51.6,50.5,6933512
50.33,49.71,50.53,48.31,5223648
48.85,49.56,49.67,47.51,5574069
49.53,48.05,50.64,47.96,7731955
48.61,48.26,49,47.89,4924661
49.02,51.77,53.29,48.99,9042083
52.12,52.95,54.17,52.11,7987336
52,51.83,52.4,51.06,5668736
52.19,49.71,52.29,49.69,5671297
49.1,48.18,50.3,47.885,7541357
47.61,48,48.4,47.2304,8472444
47.32,48.89,49.22,47.2,5235401
50.12,52.11,52.34,50.12,6988167
51.68,52.31,52.9275,51.055,3602554
52.55,53.12,54.7,52.475,8785974
52.36,52.04,53.55,51.87,6302599
52.46,51.7,52.72,50.9201,3897315
53.03,50.89,53.99,50.7,10382406
51.59,52.35,52.65,50.77,8581518
52.87,50.95,52.95,50.93,7526680
50.44,52.56,52.62,50.18,9726379
52.45,54.07,54.44,52.11,5305545
54.16,54.14,54.75,53.29,4264252
55,55.47,55.58,54.55,5101072
55.3,55.37,56.66,54.69,5697307
57.83,58.485,58.7094,56,7755728
58.68,61.22,61.29,58.36,8614570
60.4,60.69,61.46,59.24,6395456
60.61,59.03,60.96,59.03,4322952
56,56.31,58.07,55.7048,5100704
57.73,56.935,58.98,56.83,1239664
54.51,57.73,57.8,53.83,5703894
59.5,57.86,59.8,57.375,5904992
58.12,56.72,58.19,56.46,4114772
56.44,57.48,57.68,56.24,3643558
58.96,56.99,58.96,55.95,6875972
56.88,57.07,58.18,56.64,1732842
57.69,56.8,57.87,56.59,2002576
56.15,55.58,56.97,55.25,2788737
55.05,56.19,56.5,54.76,2259905
56.23,55.76,56.48,54.442,2282846
55.89,56.61,56.8,55.33,2080582
55.97,56.8,57.1,55.51,2034282
57,55.78,57,55.75,2118981
56.43,56.47,57.24,55.77,2593998
57.38,56.86,57.58,56.43,1756842
56.43,56.83,57.31,56.12,2224117
57.03,56.93,57.15,56.27,3701753
56.86,56.11,57.94,56.07,2287528
56.23,57,57.31,56.04,1833510
56.56,56.87,57.94,56.465,1546589
56.22,57.37,57.45,56.03,2060988
58.01,58.2,59,57.86,2159953
58,58.43,58.56,57.658,1657075
58.73,58.55,59.03,58.15,2080114
58.42,58.55,59.65,57.99,2154195
58.38,58.44,58.94,58.1,2123364
57.96,58.48,58.93,57.68,1830794
58.5,59.04,59.4675,58.34,1474950
59.18,58.12,59.195,57.63,2391416
57.86,58.35,58.44,57.6,2448463
59.82,60.28,61.83,59.7,6551153
60.96,64.3,64.36,60.96,8997340
63.44,63.4,64.52,63.15,4063238
62.93,62.75,63.19,62.18,3498804
63.02,63.23,63.68,62.74,2825120
62.58,62.61,62.9,61.97,2807524
62.74,63.09,63.65,62.34,4255778
62.89,63.48,63.52,62.865,2814621
63.16,64.43,64.47,63.16,2153358
64.61,65.23,65.3,64.565,2125003
65.52,64.39,65.95,64.33,4887273
64.97,64.87,65.47,64.22,2681707
64.96,64,64.96,63.83,927125
63.71,64.07,64.51,63.6,984041
64.46,64.01,64.53,63.71,3261316
63.85,63.43,64.4,63.375,2761599
63.48,62.92,63.59,62.59,2570206
62.16,62.98,63.25,61.81,2247382
63.03,63.63,63.74,62.59,3368414
63.61,63.82,64.23,63.04,2732340
64.41,64.3,64.81,63.905,2828368
64.28,64.18,64.79,63.7477,1956900
64.47,63.25,64.905,63.17,2337605
63.27,63.56,63.63,62.65,1835608
63.665,62.87,63.84,62.84,2434392
62.52,64.06,64.28,62.325,4272456
63.73,65.3,65.56,63.65,3213118
64.88,61.86,65.45,61.06,5677994
62.5,61.49,62.6,60.43,4545934
61.43,60.69,61.75,60.46,3713050
61.03,62.09,62.53,61,2860820
61.08,59.89,61.37,59.73,6172420
60.26,60.13,60.71,59.775,3838220
60.57,59.99,60.57,59.0667,3608202
60.03,60.3,61.62,60.03,1463535
60.635,59.81,61.01,59.4,1881054
58.73,61.05,61.09,58.04,1581667
61.16,60.88,62.64,60.39,2764737
60,59.41,60.22,58.67,1946907
58.94,60.99,61.12,58.87,1476715
60.745,60.42,61.77,60.2,1348896
60.85,62.08,62.75,60.46,2093888
61.61,61.55,62.35,61.19,1347779
62.27,62.52,62.88,61.9,1034150
62.42,62.39,62.76,61.88,2092360
62.71,62.38,63.6,61.95,3473466
62.87,62.37,64.22,61.76,4003923
61.62,63.16,63.44,61.51,2385402
63.74,64.53,64.63,63.235,2429747
64.43,63.83,65,63.485,3339046
64.63,65.03,65.62,64.375,2198360
64.79,64.75,65.51,64.48,1900898
65.02,65.13,65.67,64.3,1166838
