Open, Close, High, Low, Volume
79.85,79.57,80.48,79.47,213981
79.77,81.33,81.52,78.92,397750
82.45,82.76,83.81,81.62,391395
82.56,82.51,83.84,82.23,390770
82.86,82.33,83.06,81.285,329945
82.38,81.67,82.62,81.331,171735
81.64,80.77,81.64,80.431,206377
80.26,80.73,81.05,79.51,155456
80.85,81.28,81.84,80.52,204377
81.22,80.75,81.22,80.41,167214
80.75,80.34,81.029,80.02,209853
80.47,80.44,80.51,79.18,422171
80.51,81.04,82.25,80.51,229667
81.61,83.13,83.49,81.6,368711
84,83.83,84.55,83.23,275590
83.9,84.66,84.96,83.251,282230
85,84.72,85.26,84.33,308633
84.25,84.37,85.04,83.75,293676
84.52,84.5,85.39,83.75,759221
85.16,88.75,89.37,85.07,1051296
90,86.92,90.915,86.63,719361
87.94,88.34,88.71,87.08,374968
88.53,89.13,89.9,87.55,499164
89.37,91.18,91.786,89.04,609217
91.33,92.28,92.81,90.57,881921
93.21,91.99,93.6076,91.96,766388
92.44,90.52,92.765,90.25,746428
91.04,89.89,91.27,89.55,397015
90.76,92.92,93.0899,90.15,547104
92.97,92.6301,93.36,91.51,418369
91.3,91.4,93,90.63,410342
92.01,91.65,93.2,90.85,400969
91.24,90.2,92.12,89.94,440663
89.59,88.55,89.99,88.1,688218
87.3,84.12,88.86,83.48,966554
82.01,86.6,87.44,80.68,1211379
86.88,84.42,88,81.6,1774832
85.42,82.9,85.71,82.7,899564
84.01,83.35,84.725,80.391,1096498
84.13,84.51,85.16,83.4,810158
85.35,88.88,89.23,84.76,866950
88.48,92.07,92.6,88.225,1148629
92.85,95.02,95.65,91.53,766454
94.99,94.89,96.59,94.51,790804
94.25,95.76,97.11,93,585540
96.01,95.62,97.56,95.59,493164
95.84,96.11,96.97,95.28,289345
96.86,98.42,98.43,96.025,329600
99,99.48,99.95,98.56,445033
99.5,99.67,101.19,99.2,569357
99.61,98.98,101.432,98.88,317721
99.26,98.76,99.85,96.66,489143
97.56,102.5,102.71,96.921,545211
102.29,104.3395,105.05,101.81,619388
104.91,105.9,106.4,103.7842,479764
105.1,107.52,108.17,104.77,486551
108.43,109.3,109.73,107.68,369380
110,109.98,110.25,108.21,523211
110,110.21,111.34,108.92,370664
110.99,109.57,111.42,108.74,393794
110.36,111.27,112.205,109.331,287411
111.3,109.85,111.41,108.6179,388103
109.8,110,110.375,108.35,623884
109.22,108.09,109.91,106.16,472129
108.25,111.0989,111.6725,107.77,300487
111.1,113.03,113.93,110.5,507397
111.63,110.87,112.8199,109.85,502982
108.83,106.78,111.53,106.62,1029835
108.58,113.87,114.1365,108.58,868572
114.77,107.63,115.0899,106.76,783354
