Open, Close, High, Low, Volume
66.01,64.92,66.575,64.53,2748863
65.25,64.34,65.77,63.95,2474307
64.76,64.77,66.64,63.63,3382546
64.52,64.96,65.71,63.53,3868759
65.63,63.85,66.86,63.67,3948825
63.48,61.64,63.7,61.62,1392171
62.04,64.31,64.37,61.32,1954906
63.44,65.2,65.2,62.86,1324418
65.41,64.63,65.8327,64.44,1494833
65.18,64.82,65.41,64.51,1137107
64.08,64.9799,65.28,63.3314,1479351
64.39,64.06,65.07,63.98,1514362
65.14,66.19,66.42,64.86,1434935
66,65.89,66.57,65.64,1166933
66.71,66.33,66.85,65.49,1370813
66.34,66.28,66.67,65.9359,1366588
66.2,67.365,67.41,66.01,1216194
67.15,67.235,67.45,66.6,1199793
66.86,67.26,67.41,66.71,846956
67.5,68.11,68.37,67.3,1177162
68.26,68.48,68.69,67.97,1532203
68.3,68.74,69.05,68.25,1318352
69.52,69.79,70.07,68.89,1948055
69.38,69.2,69.8,68.82,1094006
69.64,69.77,69.9,68.98,1143414
69.94,69.64,69.99,69.38,1423683
70.28,70.37,70.51,69.75,1482268
69.86,69.955,70.17,69.64,1473357
70.16,69.7,70.22,69.4,1102932
70,71.15,71.17,69.8,2131082
70.58,70.865,70.96,70.13,2347147
71.01,71.86,71.87,70.94,1542353
72.01,72.37,72.57,71.33,3032339
72.85,73.76,73.76,72.47,2500747
73.59,73.72,73.8039,73.26,1906146
72.96,73.675,73.68,72.85,1835088
73.25,74.13,74.155,72.94,1035958
74.41,74.06,74.5,73.865,1842239
74.99,74.84,75.015,74.47,2159888
75.06,75.235,75.29,74.84,1758023
74.9,75.24,75.49,74.66,1310135
75.73,75.87,76.01,75.57,2149055
75.55,75.145,75.67,75.135,1442104
74.89,75.33,75.33,74.5974,1265198
75.2,75.35,75.595,74.79,1383188
75.63,75.87,76.07,75.28,1463921
76.41,75.835,76.4946,75.62,1184272
75.74,76.07,76.31,75.7,981930
75.8,76.54,76.54,75.59,995656
76.41,77.04,77.05,76.3,1305156
77.36,77.42,77.57,77.04,1612040
77.77,76.51,78,75.67,2100786
76.63,77,77.24,76.45,1429584
77.11,76.83,77.21,76.58,1146213
76.71,76.2,76.925,76.02,2017251
75.83,76.34,76.395,75.1,1286864
76.61,77.52,77.58,76.52,1411858
77.79,77.75,78.36,77.57,1525934
78.07,78.28,78.87,77.94,1366460
78.44,78.98,79,78.128,1228492
79.18,79.24,79.54,79.015,889148
79.28,79.32,79.56,78.66,1069720
79.66,79.12,79.67,78.72,1194008
78.94,78.4,79.15,78.15,1404761
78.17,79.52,79.79,78.08,1296352
79.29,78.45,79.51,78.4,2182815
78.14,78.75,78.81,77.89,1395806
79.3,80.11,80.17,79.15,2316144
79.27,79.25,80.74,77.72,4037014
79.41,79.05,79.7764,78.6,1982867
79.65,80.22,80.37,79.16,2123244
80.75,80.93,81.03,80.0772,852093
80.89,81.01,81.06,80.39,1723639
81.49,81.09,81.59,80.62,2402628
81.26,80.39,81.29,80.05,1597103
80.67,80.73,80.94,80.32,1446258
80.73,80.81,80.93,79.97,1115831
80.53,80.75,81.045,80.1,1098248
80.68,81.13,81.29,80.67,816615
81.39,81.36,81.49,81,928265
81.64,82.16,82.205,81.26,804322
82.17,82.37,82.48,81.93,753079
82.64,81.59,82.64,81.365,1051999
81.79,81.56,82.02,81.51,1040124
82.12,81.59,82.12,81.1,937237
81.32,81.62,81.6905,81.19,878245
81.41,83.59,83.61,81.33,1360404
83.65,83.46,84.02,83.3,1001389
83.44,83.22,83.5,82.49,1324819
83.56,83.78,83.83,82.98,844909
83.73,83.6,84.09,83.5,855970
83.71,84.31,84.39,82.84,1532156
84.5,81.969,84.5,81.92,1996784
81.98,82.78,83.11,81.83,2088448
83.23,84.61,84.815,83.0745,1416441
83.12,84.68,84.85,82.6853,1159258
83.75,83.48,84.45,82.86,2010553
83.4,84.21,84.485,83.15,1029743
83.37,84.31,84.44,83.25,1865219
84.04,85.07,85.17,83.064,1357832
83.33,83.51,84.19,83.08,1939375
82.98,84.2,84.83,82.94,1833590
83.76,85.03,85.1797,83.74,1232439
85.16,86.65,86.98,85.05,1317877
86.12,86.27,86.85,85.78,1390404
85.64,86.18,86.64,84.91,957342
86.7,87.13,87.27,86.16,1038575
86.96,87.16,87.74,86.88,936237
86.37,86.06,86.59,85.57,1516107
86.49,86.19,86.96,85.95,1169608
86.52,86.15,87.15,85.971,1171683
85.79,85.67,85.99,85.07,1302753
85.65,86.23,86.39,85.15,1453371
85.81,85.77,86.0646,85.1639,1246305
85.95,84.42,86.47,83.97,1830827
85.31,85.37,85.46,84.52,2249210
86.12,86.44,86.52,85.68,2153660
86.66,87.08,87.16,85.7,1210834
87.52,87.59,88.29,87.39,1197111
87.87,87.79,88.38,87.65,826280
87.78,87.01,88.43,86.72,930028
87.1,87.27,87.44,86.99,985152
87.65,86.92,87.79,86.69,2383197
86.95,86.66,87.05,86.55,1726354
87.52,86.26,87.52,86.22,1068039
86.98,86.87,87.47,86.59,1554558
87.03,87.1,87.39,86.01,1320196
87.74,87.55,88.15,87.26,1470487
87.52,86.5,87.73,86.42,2114905
86.67,86.18,86.88,86.15,1143079
86.01,84.8,86.12,84.74,2107678
84.02,81.78,84.27,81.27,5200849
81.92,82.12,82.29,81.42,2960994
82.11,82.29,82.34,81.6,3049125
83.31,83.5,83.66,82.37,3391523
83,83.63,85.03,81.7,3775055
83.65,84.59,84.74,83.64,1267566
84.05,85.325,85.42,83.5585,1789806
85.03,84.86,85.32,84.69,1386855
84.57,85.21,85.32,83.85,1498056
85.64,85.46,85.96,85.3,1218412
85.57,85.34,85.67,84.9342,1190415
85.66,85.705,85.79,84.995,1312741
85.91,85.72,85.9875,85.365,770104
85.72,85.66,86.05,85.31,927303
85.84,85.2,85.95,85.2,921631
85.07,85.59,85.7,84.49,1161638
85.9,84.57,86.15,84.53,1381628
84.65,84.09,85.05,84.06,1451385
84.44,84.63,84.96,83.65,1606080
84.5,85.05,85.08,83.75,1417832
85.1,85.42,85.58,84.56,1325382
85.81,86.58,86.65,85.59,932300
86.6,86.23,86.684,86.18,1079696
85.83,86.15,86.74,85.75,1938820
86.01,83.08,86.29,82.3,2505561
83.12,83.88,84.47,82.8,1984979
83.36,83.94,84.47,83,1470862
82.73,80.87,83.06,80.36,2071629
81.05,82.25,82.6,80.64,1924832
81.23,82.25,82.59,80.66,1991146
82.61,84.41,84.41,81.0107,1075946
84.21,83.55,84.28,82.71,923426
83.41,82.78,83.586,82.34,872182
82.9,83.74,83.88,82.58,1066896
82.68,81.08,82.95,80.97,1352590
79.78,80.09,80.86,79.65,1866071
80.82,81.47,81.665,80.6,1474300
82.46,82.29,82.52,81.887,885164
82.34,81.94,82.67,81.79,616162
82.37,82.52,82.78,82.2,823113
82.92,82.24,82.92,81.25,870252
82.1,79.73,82.43,79.37,1346609
80.51,80.46,80.75,79.655,1143699
80.92,80.65,81.22,80.46,677959
80.27,81.04,81.14,79.95,739001
81.96,81.85,82.31,81.61,652653
82.38,81.73,82.405,81.28,834054
81.09,80.99,82.05,80.7,1253755
81.75,82.4,82.49,81.62,1148790
83.21,83.79,83.905,82.9,1360381
83.88,84.06,84.49,83.85,648890
84.3,81.82,84.47,81.13,1148910
81.21,80.75,81.5,78.81,2303141
80.74,81.25,81.4374,80.1,1489764
81.72,81.7,82.72,81.54,1356256
81.7,81.63,82.58,81.27,987463
81.41,81.06,81.99,80.87,1038625
81.51,82.55,82.57,81.5,952676
82.29,82.78,82.87,81.575,868657
82.85,82.5,83.63,82.372,950715
82.58,82.54,83.49,82.46,2100034
82.66,82.22,82.86,82.07,849037
82.45,81.68,83.26,81.45,1098723
81.605,82.27,82.47,80.66,1072464
82.32,82.57,82.87,81.985,777571
83,81.53,83.5,80.95,1139509
81.95,82.77,82.89,81.55,1188275
83.15,81.9,83.6,81.65,1537232
82.8,83.43,83.9,81.33,3462610
83.14,82.57,83.35,80,1992697
83.01,84.32,84.49,82.68,2997977
83.84,82.92,84.08,82.89,2294460
82.62,82.08,83.0822,81.785,2268885
82.17,83.08,83.43,82.17,2458419
82.99,83.93,84.22,82.8139,1760985
84.89,84.6,85.42,84.56,2363614
84.56,84.7,85,84.51,1733065
84.72,84.87,85,84.32,1722992
84.28,84.75,84.85,84,1649270
84.85,84.72,85.41,84.51,1588507
84.99,84.24,85.4,84,2927422
84.4,84.66,84.81,83.83,846107
84.81,83.25,85.26,83.175,956425
83.17,84.07,84.09,83.07,1309070
84.09,84.69,84.81,83.6865,899306
84.29,84.52,84.97,84.09,709210
85.03,84.42,85.08,84.05,721817
84.61,84.55,85.12,84.375,918843
84.63,84.63,84.75,83.5,985834
84,83.64,84.29,83.29,860450
84.16,83.88,84.54,83.47,816195
84.38,83.46,84.48,83.2382,859998
83.38,82.58,83.97,81.89,1173856
82.86,82.66,83.23,82.1,1143325
83.2,82.875,83.45,82.54,1139561
82.99,83.24,83.28,82.42,972936
82.97,82.83,83.4829,82.56,922618
82.8,83.05,83.29,82.64,1010973
82.86,83.48,83.68,82.785,1392510
83.27,84.48,84.53,83.21,921484
84.81,84.69,84.83,84.14,1047783
84.7,85.05,85.34,84.555,820828
85.39,85.79,86.13,85.01,822225
85.55,85.74,86.07,85.275,863388
85.98,84.955,85.98,84.59,764221
85.04,84.63,85.47,84.21,797637
84.97,84.87,85.3,84.49,719454
85.04,86.14,86.155,85,1185174
86.43,86.49,86.49,85.74,1035377
86.45,86.18,86.77,85.93,417071
86.02,84.71,86.02,84.31,1021016
84.21,84.49,84.51,83.75,902800
84.44,84.52,85.08,84.14,929357
84.62,84.42,84.7925,84.18,970226
84.99,85.13,85.3974,84.76,724154
85.22,84.7,85.22,84.43,758414
84.56,84.52,84.94,84.3,766662
84.57,84.26,84.78,83.61,1028392
84.15,84.73,85.08,83.75,879943
84.67,85.08,85.23,84.08,955462
85.43,84.92,85.86,84.88,1312553
85.38,85.25,85.68,84.82,1748058
87.12,84.78,87.84,83.71,2610220
84.96,85.02,85.27,83.93,1639623
85.54,85.54,85.94,84.77,2353786
85.59,84.9,85.8322,84.73,1371642
84.93,84.65,85.0642,84.57,372566
84.61,84.71,85.04,84.42,533167
84.87,85.12,85.18,84.42,596424
85.05,84.9,85.065,84.31,782429
84.5,85.03,85.19,84.39,687209
85.5,85.11,85.6348,84.71,1014057
84.71,84.83,85.04,84.4,751083
84.48,84.79,84.85,84.365,820959
84.49,84.33,84.622,84.11,1130544
84.43,85.16,85.49,84.28,1100256
85.39,85.75,86.2,85.195,1014587
86.19,85.28,86.3035,85.17,869673
85.62,86.26,86.37,85.51,858773
86.72,86.62,87.46,86.21,1225480
86.79,87.38,87.83,86.79,1243656
88.09,87.98,88.2321,87.41,966793
88.2,88.23,88.28,87.88,1101299
87.37,88.6206,88.92,87.37,1996887
89.21,89.61,89.945,88.94,2363702
89.68,89.65,89.78,89.07,1298500
89.95,88.91,89.96,88.5236,1600808
88.02,87.72,88.57,87.5935,1154143
87.77,88.66,89.06,87.77,728056
88.34,87.4,88.96,87.31,1188522
86.72,87.97,88.04,86.38,1129232
87.19,85.79,87.31,85.4,1383070
86.45,86.56,87.42,86.415,1155863
87.53,88.29,88.845,87.26,1057462
88.82,88.04,88.92,87.775,1073871
88.6,88.45,88.86,88.01,703187
87.99,88.02,88.29,87.51,625411
87.85,88.51,88.59,87.84,656905
88.75,87.81,88.75,87.705,705059
88.24,87.97,88.38,87.33,841302
87.7,88.61,88.8766,87.6,626057
88.51,89.2,89.22,88.4,702993
89.35,89.38,89.7,89.08,868735
89.72,90.12,90.35,89.5,1073432
90.29,90.22,90.535,89.05,1796902
89.95,89.05,90.04,88.72,1402826
87.15,87.24,88.7,86.525,1418897
87.5,83.61,87.86,83.47,1703044
84.56,82.27,85.32,82.23,1755544
81.1,78.9,82.57,78.87,2099181
76.45,77.54,78.12,75.35,3383725
77.61,82.08,82.23,76.88,2915511
81.27,79.04,82.8,78.5672,2288422
80.54,82.37,82.62,79.7,1341857
80.31,79.32,80.82,78.52,2598984
76.44,77.49,77.92,75.215,2159366
72.36,72.45,75.13,69.52,2903086
74.71,76.71,76.72,72.39,2267247
74.15,74.69,75.98,73.05,6891020
69.655,66.49,71.58,64.61,5047599
69.73,71.555,71.56,65.11,4086875
63.61,57.625,64.43,57.62,10077512
58.47,60.92,61.27,54.48,6607892
55.93,63.3,63.88,47.8727,4608112
62.16,57.97,62.5047,54.47,10623754
58.28,52.51,58.43,51.37,5329059
52.02,50.39,52.5,48.5,4718940
52.78,59.42,61.87,52.76,4516406
59,60.08,65.67,54.3367,5286936
60.17,65.67,66.14,60.0154,2925054
62.55,60.17,63.9851,59.68,3371436
60.68,64.41,64.95,60.28,6787796
63.9,62.99,64.85,61.41,4730903
59.42,60.6,62.15,59.12,5076162
59.92,61.04,61.63,59.79,3371680
60.91,59.55,61.51,58.85,5791738
62.7,65.29,65.73,62.18,5453530
68.25,64.88,68.792,64.64,7500736
65.33,65.04,66.41,63.9398,2823795
66.23,66.53,67.69,65.74,2508087
65.56,64.13,65.745,63.49,3701995
65.33,66.15,66.25,64.38,5771552
64.79,64.92,65.14,63.9428,5741911
65.01,63.77,65.225,63.31,6949052
65.98,67.55,67.55,65.7,6476901
66.11,66.47,67.67,65.85,6215786
64.97,64.02,65.55,63.77,9102478
65.54,67.03,67.32,65.29,4899668
67.23,66.92,68.19,66.56,8848776
67.63,68.09,68.68,66.74,7294398
68.7,68.53,68.99,67.97,2848282
69.6,68.66,70.6899,68.47,1360986
70.27,69.87,70.86,68.16,1988725
69.63,68.52,69.69,67.5,4090398
67.14,66.66,67.7,65.95,1795121
65.93,67.17,67.3,65.17,2703980
68.02,67.69,68.84,67.51,1231965
68.3,67.11,68.42,66.95,1974062
68.13,68.07,68.43,67.5349,3762652
68.66,67.105,68.81,66.9,1921407
66.32,66.32,66.8,65.71,3826100
66.43,64.04,66.88,63.89,1967207
63.94,61.91,64.36,61.34,5482724
61.08,63.11,63.17,60.15,5383596
60.3469,63.44,63.47,60.0026,5645002
65.2903,66.32,66.62,64.98,2861243
65.9,65.6,68.34,65.27,3214962
66.62,67.8,67.91,65.99,3290338
67.4,67.41,67.83,66.77,1625671
67.21,67.58,67.74,66.74,1200592
69.27,69.33,69.62,68.39,2408705
69.98,71.06,71.09,69.16,1845528
71.75,72.16,73,71.27,4578236
71.87,72.4,72.6,70.73,2168727
72.09,71.96,72.85,71.82,1430635
72.13,73.19,73.23,71.66,2445804
73.68,74.78,75,73.26,1321987
74.26,74.225,74.5,73.36,3228026
76.37,80.09,80.6412,76.37,5759392
