Open, Close, High, Low, Volume
15.2,15.18,15.47,15.11,5184548
15.23,14.89,15.35,14.8,3911902
15.19,14.34,15.19,14.3,4984393
14.29,14.33,14.495,14.2,3976175
14.34,14.08,14.6,14.05,4494163
14.03,13.8,14.13,13.78,2220897
13.89,14.38,14.39,13.66,3571443
14.15,14.25,14.25,13.8,3203153
14.29,14.285,14.5,14.225,2952195
14.29,14.365,14.43,14.16,2625065
14.31,14.665,14.71,14.25,4141650
14.6,14.63,14.86,14.56,3123948
14.76,15.04,15.13,14.62,3212296
14.96,15.125,15.3199,14.8,2817389
15.2,15.17,15.2,14.83,3511319
15.19,15.065,15.29,15.02,3972991
15.3,15.115,15.3,14.92,3490667
15.12,15.21,15.24,14.98,3327950
15.12,15.39,15.39,15.05,3441032
15.38,15.53,15.54,15.16,4221093
15.63,15.71,15.795,15.54,2735029
15.65,15.955,15.9699,15.65,4373217
16.41,16.325,16.49,15.87,4828869
16.32,16.29,16.47,16.21,2719068
16.41,16.355,16.45,16.27,6211815
16.3,16.395,16.495,16.21,3065640
16.53,16.755,16.79,16.41,4629265
16.67,16.77,16.84,16.62,3196640
16.78,16.855,16.95,16.72,4149141
17,16.7,17,16.69,4688738
16.52,16.38,16.55,16.045,5293132
16.39,16.59,16.59,16.35,3433081
16.56,16.7,16.7,16.435,2109278
16.72,16.715,16.74,16.555,2979714
16.63,16.725,16.81,16.62,3054884
16.79,16.975,17.06,16.77,3461360
16.9,16.785,16.98,16.66,2384725
16.81,16.96,16.99,16.79,1703488
17.1,17.14,17.215,17.01,2376514
17.2,17.1,17.22,17.06,2165136
16.94,16.95,17.03,16.8599,2264550
17.1,17.33,17.35,17.02,3194800
17.31,17.55,17.57,17.25,3086042
17.48,17.71,17.72,17.43,1829838
17.67,17.64,17.71,17.545,2638437
17.58,17.7,17.715,17.575,1941262
17.83,17.7,17.885,17.66,1871791
17.66,17.59,17.76,17.55,1640116
17.58,17.76,17.78,17.53,1393665
17.78,17.77,17.85,17.74,1662720
17.88,17.89,17.94,17.69,2960232
17.87,17.73,18.03,17.65,3715150
17.71,17.71,17.765,17.435,3186041
17.68,17.4,17.74,17.3744,2948620
17.32,17.11,17.39,17.025,2775983
17.02,17.16,17.2,16.97,1881126
17.21,17.37,17.4,17.16,2119379
17.4,17.3,17.47,17.26,2029925
17.39,17.38,17.445,17.29,2104441
17.41,17.47,17.49,17.34,1885204
17.43,17.36,17.55,17.335,1711840
17.42,17.6,17.6158,17.41,1734668
17.65,17.17,17.68,17.12,2566097
17.15,16.73,17.205,16.7,2592323
16.47,16.48,16.7,16.39,5055044
16.39,15.89,16.41,15.78,3907684
15.9,15.84,16.03,15.73,2756769
15.92,16.3,16.31,15.92,2513005
16.26,16.35,16.425,16.17,2044693
16.33,16.57,16.59,16.33,2654181
16.68,16.435,16.76,16.37,4057070
16.5,16.73,16.75,16.47,1475492
16.73,16.7,16.85,16.63,2958783
16.83,16.685,16.93,16.61,3065797
16.67,16.83,16.9,16.62,2408746
16.85,16.93,17.03,16.735,3398624
16.91,16.9,16.985,16.83,2687230
16.83,16.71,16.93,16.66,2556550
16.71,16.81,16.81,16.57,2087745
16.89,16.91,17,16.77,1760472
17,17.2,17.25,16.88,2598469
17.24,16.97,17.25,16.89,1824439
17.01,17.38,17.38,16.98,2434123
17.46,17.33,17.46,17.07,2420755
17.33,17.13,17.33,17.03,3191627
17.07,16.65,17.08,16.52,3718827
16.67,17.17,17.19,16.67,3435128
17.18,17.23,17.27,17.005,1916893
17.18,17.11,17.3,17.035,2012176
17.15,17.26,17.305,17.05,2246307
17.28,17.54,17.6,17.28,2484076
17.26,17.29,17.465,17.23,1861535
17.32,17.16,17.43,17.07,2452838
17.24,17.41,17.44,17.19,1770307
17.49,17.59,17.62,17.4,1573615
17.34,17.6,17.66,17.3,1693400
17.47,17.2,17.48,17.175,3120752
17.12,17.03,17.2,17.015,1791799
16.93,17.03,17.105,16.79,2055571
17.01,17.16,17.18,16.84,2027055
16.91,16.44,16.98,16.41,2796575
16.5,16.56,16.67,16.42,2109079
16.43,16.18,16.44,16.13,4441702
16.29,16.26,16.435,16.18,3471407
16.2,16.19,16.395,16.07,1884295
16.14,16.255,16.36,16.14,1824095
16.39,16.39,16.44,16.3,2244148
16.33,16.22,16.39,16.18,1228378
16.11,15.89,16.19,15.8,1792687
16,16.04,16.09,15.95,1961734
16.03,15.785,16.06,15.78,1991294
15.74,15.84,15.885,15.57,3849716
15.85,15.56,15.96,15.45,2952678
15.43,15.37,15.48,15.24,2762051
15.78,16.08,16.09,15.735,1819347
16.08,16.12,16.175,15.88,1502129
16.025,16.07,16.17,15.87,1234373
16.04,15.98,16.05,15.91,1193564
16.12,16.06,16.225,15.98,2673544
16.19,16.23,16.37,16.11,2229582
16.29,16.17,16.38,16.08,1611467
16.24,16.25,16.31,16.14,3111682
16.25,16.34,16.37,16.11,3318359
16.38,16.22,16.45,16.19,1935313
16.24,16.54,16.56,16.21,1935619
16.63,16.39,16.715,16.32,3540717
16.47,16.37,16.525,16.12,2090407
16.37,16.43,16.5,16.3,3569032
16.45,16.32,16.54,16.295,1592873
16.36,16.36,16.42,16.16,1497759
16.42,16.42,16.535,16.3838,1989526
16.5,16.59,16.655,16.5,1957660
16.78,16.78,16.91,16.64,2127853
16.96,16.83,17.01,16.58,3647222
16.79,16.62,16.855,16.5,1483841
16.59,16.86,16.86,16.59,1122182
16.95,17.01,17.1,16.91,1698348
16.89,16.85,17,16.77,1341582
16.74,16.79,16.86,16.64,1867290
16.81,16.6,16.87,16.54,1874737
16.65,16.73,16.79,16.5,1930569
16.8,16.85,16.87,16.6757,2742841
16.86,16.61,16.86,16.55,1756860
16.39,16.36,16.48,16.245,12878183
16.31,16.26,16.325,16.04,5305904
16.3,16.47,16.53,16.1197,3356797
16.42,16.33,16.56,16.145,4648790
16.3,16.24,16.31,16.11,2397255
16.24,16.33,16.34,16.17,2210547
16.29,16.66,16.69,16.28,2586366
16.7,16.55,16.82,16.485,3300602
16.57,16.77,16.77,16.465,2694841
16.72,16.54,16.835,16.52,2440398
16.44,16.64,16.65,16.41,1946859
16.47,16.43,16.55,16.32,3610278
16.35,15.56,16.4,15.5003,4208327
15.56,15.41,15.61,15.29,3258166
15.18,15.06,15.22,14.92,4729753
15.13,15.16,15.21,14.78,4286068
14.89,15.01,15.115,14.74,3128653
15.1,15.31,15.34,15.03,2174481
