Open, Close, High, Low, Volume
34.75,34.42,34.82,33.85,7096833
34.4,34.54,34.81,34.22,5461801
34.18,33.63,34.24,33.38,3669293
33.59,33.67,33.83,33.38,3648232
33.59,33.41,33.87,33.41,2390614
33.4,33.25,33.95,33.23,3373277
33.48,33.92,34.11,33.39,2951959
34.15,33.99,34.15,33.76,2321193
33.96,34.44,34.55,33.82,4146361
34.41,34.74,35.039,34.4,2742719
34.81,34.99,35.16,34.59,2913507
34.95,35.09,35.36,34.67,3171308
34.94,34.34,34.99,34.34,2650299
34.47,34.395,34.66,34.125,2875926
34.3,34.41,34.79,34.27,3521063
34.51,34.86,34.91,34.38,3820184
34.86,35.11,35.13,34.7,1745115
35.1,34.9,35.37,34.88,1317878
34.63,33.83,34.63,33.76,2590121
33.89,34.38,34.59,33.89,2556191
34.17,34.41,34.52,34.11,3073009
34.25,34.53,34.54,34.12,2389883
34.48,34.35,34.67,34.28,1789584
34.36,34.2,34.44,34.15,1809704
34.23,33.66,34.23,33.6173,2466151
33.64,33.18,33.77,32.78,2930722
33.12,32.31,33.285,32.23,3045843
32.22,32.25,32.515,31.9,5815134
32.28,32.44,32.5,31.86,2900782
32.5,32.02,32.54,31.93,3823351
31.98,32.45,32.52,31.98,2303527
32.37,32.88,32.92,32.32,2488038
33.27,33.66,33.82,33.12,5228095
33.71,33.44,33.87,33.34,1767719
33.34,33.53,33.65,33.305,347573
33.5,33.7,33.73,33.44,981791
33.96,33.97,34.01,33.74,939915
33.84,34.07,34.11,33.82,1476361
34.16,34.45,34.48,34.09,1411687
34.6,33.68,34.64,33.458,3143164
33.7,34.33,34.37,33.67,1995318
34.36,34.66,34.77,34.17,2090819
34.55,34.41,34.61,34.03,1390495
34.46,34.48,34.67,34.28,1854170
34.46,34.67,34.775,34.21,2105494
34.79,34.92,34.96,34.6,1798676
34.81,35.34,35.37,34.76,1579831
35.28,35.19,35.34,34.92,1165873
35.34,35.6,35.84,35.305,3828178
35.66,36.43,36.44,35.66,2048317
36.36,36.24,36.5,36.09,3221670
36.38,36.77,36.79,36.205,5691741
36.8,36.5,36.88,36.25,7635866
36.55,37.04,37.06,36.33,3564682
37.08,37,37.17,36.82,4636934
36.98,36.79,37.34,36.74,3211365
36.8,36.72,37.06,36.71,2594954
36.86,36.67,36.94,36.56,3475200
36.62,36.5,36.75,36.29,2294294
36.48,35.98,36.66,35.94,2396760
36.11,36.11,36.44,35.93,2385153
36.25,36.46,36.82,36.11,1875301
36.34,36.29,36.5,35.99,1601393
36.355,36.32,36.68,36.32,1534652
36.49,36.31,36.52,36.265,1493878
36.61,36.88,36.92,36.42,2041198
36.88,36.59,37.1,36.56,1982882
36.68,36.75,37.2,36.22,2762730
36.67,37.29,37.49,36.67,2150534
36.93,37.3,37.37,36.8,2066312
37.33,37.33,37.34,37.04,2044475
37.16,36.82,37.28,36.55,1508972
36.92,37.3,37.34,36.72,2226531
37.35,37.15,37.64,37.06,2899770
37.02,37.1,37.58,36.94,3009219
37.17,35.66,37.27,35.59,3498537
35.57,34.95,36.115,34.95,4081425
34.52,32.77,34.97,32.77,3830398
32.2,31.6,32.26,30.51,5471817
31.87,32.83,32.85,31.33,4473687
32.87,33.21,34.3,32.59,4441001
33.93,34.57,34.75,33.76,3018213
33.91,34.62,34.75,33.77,5378581
33.83,33.71,34,32.395,7766678
32.08,31.23,32.17,30.9,9827456
31.94,32.12,32.12,29.92,13680574
31.35,29.04,31.39,28.965,13980794
27.06,25.12,27.06,23.23,16288292
26.84,28.86,28.93,24.22,17047880
26.27,22.38,26.27,22.31,9850422
22.65,23.32,24.22,20.04,12000150
21.46,20.85,22.66,18.63,7280996
20.65,20.07,22.81,19.71,12008208
20.55,20.95,23.2192,20.14,15448498
20.58,19.91,21.66,19.46,9641380
20.54,21.13,22.34,19.83,13122540
21.03,21.94,23.06,20.41,14994006
22.26,24.3,24.38,21.48,9222910
23.5,25.07,25.99,22.72,11009472
25.3,24.29,25.3,23.02,7789702
24.01,23.83,24.5,22.88,7890264
22.13,21.28,22.44,20.51,7378756
21.02,20.41,21.645,19.9,6524084
19.74,20.3,20.76,19.67,5603582
21.58,23.1,23.32,21.18,7181898
24.3,23.9,25.29,23.72,5988592
23.87,26.66,26.955,23.66,7766362
27.55,28.35,28.62,27.33,11225068
27.86,26.84,28.3,26.73,5939720
27.55,27.33,27.94,27.08,6391546
25.59,25.48,26.29,24.87,7820428
25.71,24.72,25.95,24.6,7280866
25.48,26.25,26.35,25.2,5066102
25.85,25.41,26.03,25.24,4897564
24.25,24.47,25.0899,24.05,10016134
24.64,24.955,25.08,24.5,4474536
24.61,24.35,25.22,24.27,7092540
24.32,24.24,24.74,24.09,6067934
24.46,25.32,25.46,24.35,3758916
26.25,26.52,26.82,25.96,6893500
26.81,27.31,27.76,26.6,10483828
26.8,26.12,26.8,25.75,6863458
25.57,25.16,25.7,24.84,6261263
24.41,25.13,25.17,24.25,4243876
25.11,25.2,25.63,25.08,3874286
25.12,24.03,25.26,23.88,7603138
24.04,23.43,24.93,23.26,9084047
23.69,24.23,24.43,23.38,4393524
23.91,23.73,24.4,23.4,4189458
23.71,21.94,23.975,21.92,5272234
21.85,21.56,22.08,21.39,6043576
21.19,22.23,22.3,20.56,8135686
22.1,21.96,22.455,21.515,8101525
22.96,24.06,24.375,22.52,8894415
23.91,24.06,24.395,23.61,7956871
23.91,23.94,24.14,23.57,8232305
23.87,24.22,24.4,23.68,7417877
24.27,24.55,24.64,24.12,8024494
26,25.54,26,25.06,5676309
26.25,25.72,26.43,25.16,7250765
26,25.59,26,25.22,6596727
25.19,24.61,25.2,24.4,13937726
24.67,25.52,25.67,24.53,13187507
26.06,26.07,26.42,25.58,6887594
26.5,27.6,27.745,26.09,7994474
27.39,27.79,28.05,26.97,8215402
29.13,29.35,29.61,28.4,11250701
29.84,29.82,30.51,29.44,7211390
28.98,29.26,29.5389,28.6,5035720
29,28.16,29.05,27.91,9101824
26.54,26.25,27.265,26.105,9573710
