Open, Close, High, Low, Volume
43.47,42.4,43.5,42.04,24825645
42.83,41.97,42.99,41.56,30307929
41.71,41.96,42.41,41.53,26909733
41.64,41.95,42.87,41.45,34505684
41.81,40.56,41.96,40.52,15854080
40.66,42.19,42.2,40.42,20197579
41.81,42.85,42.85,41.26,19627666
43.02,42.965,43.535,41.3479,18334470
43.21,43.375,43.7299,43.1,13160568
43.12,43.2399,43.5,42.635,18955059
43.24,42.12,43.34,42.05,21019824
42.44,43.035,43.345,42.255,19239018
43.07,43.305,43.62,42.86,15177806
43.56,43.41,43.7,43.15,15293321
43.46,43.315,43.67,43.2,13644946
43.22,42.27,43.23,42.03,33033539
42.33,42.78,42.855,42.15,15852062
42.55,42.36,42.63,42.195,11833428
42.6,42.665,43.24,42.43,21572363
42.59,42.045,42.7921,42.04,24487224
41.95,42.455,42.66,41.83,19505835
42.86,42.44,42.88,42.26,28769779
42.41,42.12,42.69,41.93,20122044
41.99,42.12,42.2,41.55,18714576
41.78,40.955,41.79,40.62,28416440
41.1,40.58,41.25,40.505,26740349
40.5,39.5189,40.53,39.48,33374423
39.5,40.8,40.85,39.47,42745471
40.77,41.52,41.75,40.73,27193746
41.38,42.535,42.62,41.35,27762849
42.87,42.855,43.12,40.9856,21024022
42.84,42.37,42.84,41.96,14607778
42.43,42.125,42.73,42.09,16162098
41.92,42.325,42.37,41.79,12707137
42.11,41.655,42.15,41.2075,18755385
41.53,42.125,42.14,41.49,19805022
42.28,41.68,42.31,41.51,14559104
41.71,41.78,42.01,41.39,22287825
41.92,41.61,42.06,41.39,16757430
41.7,42.01,42.12,41.5153,16421678
42.38,42.41,42.51,41.4745,13322017
42.24,42.57,42.86,42.185,16371212
42.53,42.2111,42.56,41.93,16007572
42.02,42.15,42.32,41.86,12917920
42.3,42.965,43.125,42.22,17914446
43.04,43.06,43.365,42.94,16914326
42.96,43,43.23,42.8,11288912
42.98,42.93,43.22,42.81,11789271
42.95,43.33,43.78,42.2,21564763
43.61,43.37,43.79,43.29,20600119
43.44,43.09,43.59,42.88,16952881
43.09,42.89,43.25,42.85,17692184
42.82,41.87,42.87,41.62,17832163
41.86,41.4,41.8919,41.25,21094241
41.33,40.8899,41.44,40.34,25323079
41.1,41.5,41.52,40.8,21748039
41.7,41.75,41.92,41.3747,18040858
41.87,42.01,42.13,41.55,17132561
42,41.2,42.08,41.13,23836808
40.945,41.78,41.88,40.88,24070026
41.77,41.82,42.065,41.65,14221816
41.965,42.32,42.43,41.9238,15584555
42.2,42.17,42.395,41.78,17047931
41.93,42.36,42.64,41.87,16482501
42.2,41.855,42.62,41.825,15823397
41.81,41.89,42.15,41.67,14762257
42.2,42.41,42.7,42.13,16057078
42.34,42.03,42.64,41.92,14331319
42.18,42.29,42.3651,42.06,13383001
42.4,42.47,42.58,42.1929,14259325
42.58,42.84,42.93,42.55,6746561
42.95,42.91,43.18,42.74,14366688
42.99,42.83,43.07,42.55,12955896
42.79,42.75,42.92,42.5,10814890
42.98,42.99,43.28,42.89,12303262
43.07,43.13,43.28,42.91,10736379
42.98,42.84,43,42.58,13959640
42.92,42.75,42.92,42.6467,10000332
42.79,42.26,42.83,41.99,14092656
42.34,41.715,42.34,41.58,17737698
41.86,42.09,42.12,41.47,12795814
42.22,40.91,42.3,40.83,23214415
40.9,39.87,41,39.39,36813228
39.93,39.38,39.93,38.42,44456368
39.03,38.97,39.5,38.81,24807861
39.09,39.42,39.64,38.88,19984482
39.5,39.385,39.64,39.16,13277122
39.25,39.62,39.825,39.165,13847031
39.67,39.96,39.99,39.445,15240201
39.97,39.61,40.02,39.27,17639688
40.4,40.58,41.18,39.8,25569997
40.59,40.76,40.9199,40.17,14500134
40.81,41.01,41.02,40.575,14917227
41.22,41.37,41.495,41.03,14606978
40.91,41.65,41.77,40.84,19314031
41.39,40.82,41.71,40.5,21753507
40.8,40.96,41.03,40.44,18202025
40.3,40.64,40.84,40.23,16530815
40.63,40.73,40.8187,39.865,13876483
40.23,40.6,40.65,40.15,22155234
40.59,40.66,40.87,40.56,22546263
40.86,41.16,41.29,40.7,28511588
41.15,41.65,41.98,40.72,21256793
41.3,41.46,41.81,41.25,22548073
41.4,41.58,41.71,41.28,18774384
41.71,41.66,41.81,41.485,23648077
41.69,41.99,42.21,41.55,20216219
41.84,41.92,41.98,41.645,18618254
42.06,41.97,42.305,41.865,12263983
42.15,41.9,42.48,41.89,18987399
41.7,41.71,41.84,41.28,18942344
41.68,41.9,41.95,41.58,14891150
41.69,41.52,41.98,41.45,15783376
41.63,41.93,42.19,41.57,16628367
42.48,42.23,42.75,42.04,13447226
42.6,42.51,42.84,42.405,15707634
42.8,42.76,43.085,42.48,17604218
42.98,42.92,43.245,42.86,14793655
43.24,43.05,43.24,42.67,12260207
43.2,42.67,43.3,42.55,15207500
42.47,43.1,43.17,42.46,13780520
43.07,42.51,43.14,42.365,11191839
42.52,42.76,42.87,42.48,9826672
42.7,42.87,42.9,42.35,9735624
42.82,43.08,43.33,42.82,15183252
43.17,43.49,43.585,43.09,14780966
43.83,43.61,44.11,43.505,14880261
43.55,43.69,44,43.31,19309064
43.69,43.77,43.9,43.47,15164522
43.85,43.78,44.29,43.7234,18454847
43.68,42.99,43.8,42.5,32818808
43.02,43.42,43.56,43.01,14323173
43.44,43.33,43.715,42.975,21216304
43.51,43.77,43.88,43.335,13954039
43.68,44.22,44.22,43.66,12223717
44.37,44.4,44.5613,43.98,7844924
44.31,43.925,44.345,43.78,13745483
43.8,43.3,43.87,42.98,18285790
43.42,43.37,43.8,43.3,10781055
43.65,44.055,44.105,43.435,11822885
43.32,42.98,43.56,42.38,28237086
42.91,42.4,42.99,42.01,27349051
42.27,42.76,42.77,42.24,15896043
42.79,42.855,42.965,42.48,13795354
43.09,42.74,43.19,42.73,12252210
42.86,43.06,43.06,42.55,9786145
43.19,42.79,43.21,42.77,10500165
42.83,42.82,43.02,42.55,7674543
42.85,43.1,43.23,42.75,12533289
43,42.89,43,42.37,14156001
42.83,42.69,43,42.5315,12406687
42.66,43.1,43.17,42.43,16749475
42.17,41.45,43,41.34,53012601
39.83,38.8137,40.24,38.6,83035231
38.6,38.86,39.67,38.51,45508911
38.31,38.25,38.62,37.68,43761994
38.25,38,38.54,37.75,21347117
37.76,36.95,37.83,36.41,36294731
37.19,36.95,37.31,36.47,24685083
36.65,36.58,36.785,35.86,24096049
36.7,36.89,36.95,36.6,17265922
36.7,36.35,36.83,36.11,16907286
36.31,35.39,36.32,34.78,34827389
35.43,35.2,35.805,35.15,33788216
34.93,34.23,34.98,34.2,28359871
34.3,34.48,34.58,33.97,24288932
34.72,34.66,35.01,34.49,20260717
34.88,35.18,35.32,34.83,15477681
35.1,34.62,35.16,34.57,15485557
34.94,34.87,35.12,34.82,14514811
34.96,35.1,35.23,34.8,12789886
35.21,34.36,35.35,34.17,19471224
34.62,34.86,34.86,34.48,13865885
35.01,34.32,35.09,34.31,17857382
34.36,35.08,35.15,34.275,19665934
35.79,35.34,35.79,35.225,15595521
35.62,35.51,35.72,35.28,12573747
35.61,36.12,36.285,35.51,21621138
36.3,35.82,36.4,35.7,16856971
36.11,36.33,36.4799,35.885,15404964
36.36,36.49,36.565,36.11,15358703
36.59,36.83,36.84,36.13,17792689
36.59,37.37,37.37,36.02,26960007
37.74,37.4,37.76,36.9,13230534
37.57,37.3,37.62,37.055,12914141
37.39,36.9,37.595,36.61,17761573
36.46,36.82,37.015,36.35,13512255
36.79,36.51,36.8,36.345,17216776
36.57,36.38,36.72,36.26,13356207
36.42,36.51,36.765,36.34,12978443
36.89,36.69,37.25,36.48,36418808
36.58,36.24,36.58,36.235,11581484
36.27,36.02,36.58,35.98,18521533
35.91,35.9,36.35,35.8,14835120
36.07,35.79,36.24,35.565,12482033
35.86,36.23,36.34,35.72,12418408
36.28,35.925,36.31,35.92,11921241
35.93,35.44,36.02,35.43,18108672
35.26,34.7,35.27,34.655,17881077
34.71,35.46,35.47,34.6,15677214
35.49,35.935,35.98,35.445,14147114
35.82,35.83,36.26,35.8,9171993
35.65,35.435,35.8755,35.42,11426298
35.65,35.7,35.89,35.53,10716795
35.67,35.8,36.0142,35.6,9557389
