Open, Close, High, Low, Volume
43.51,43.78,44.96,43.3,2110579
43.94,43.65,44.88,43.39,1645024
43.49,43.26,45.05,43.05,1993267
42.99,43.15,44.39,42.82,1983442
43.07,41.6,44.02,41.6,3389673
41.36,41.08,42.29,41.0361,755575
41.4,43.36,43.37,40.42,1518175
42.64,43.97,43.97,42.32,1715388
44.17,43.53,44.5,43.31,1550567
43.68,43.96,44.26,43.48,1308048
43.29,44.28,44.68,43.25,1293456
44.03,43.51,44.37,43.4,1132796
44.23,45.33,45.39,44.23,1352399
45.06,45.67,46.05,44.69,1084755
45.75,45.14,45.95,44.34,1673697
45.16,45.575,45.78,44.78,1828799
45.45,45.91,46.02,45.29,1157676
45.7,45.99,46.17,45.07,1465076
45.59,46.89,46.99,45.52,1085131
46.7,47.4,47.45,46.41,1282377
47.7,48.28,48.62,47.545,1184398
47.97,49.015,49.15,47.55,1149268
49.5,50.03,50.25,49.01,1644567
49.75,49.39,49.97,49.19,1248703
49.86,48.895,49.94,48.38,1325025
48.89,49.18,49.565,48.74,1071742
49.7,50.0701,50.3,49.47,1368162
49.74,49.795,50.15,49.46,1439178
49.96,49.62,50.05,49.26,1432528
47.1,48.09,48.46,46.75,3357134
47.89,50.1,50.17,47.071,3579848
50.17,49.595,50.43,49.29,1784427
49.54,49.68,49.76,49.34,1713469
49.4,48.815,49.55,48.58,1676799
48.62,48.79,49.2,48.4,1221466
48.63,47.9,48.73,47.44,1470849
47.58,47.755,48.1,46.56,1343981
48.06,48.4,48.51,47.6,1016120
48.82,48.76,49.4138,48.6,1389636
49.09,49.22,49.63,49,1422911
48.8,48.905,49.21,48.31,1157095
49.39,50.7401,50.78,49.17,1842238
50.6,51.43,51.56,50.21,1431313
51.32,52.21,52.215,51.315,1127038
52.34,52.05,52.75,51.83,1399920
52.34,52.87,53.115,52.27,1640948
53.23,53.09,53.43,53,1076177
52.93,52.58,53.4824,52.57,1211727
52.47,52.42,52.63,52.04,1472744
52.34,52.64,52.73,52.15,1195911
52.38,51.39,52.79,51.24,2086878
51.44,51.36,52.08,50.74,1949011
51.5,51.58,51.82,50.6,1259929
51.44,50.95,51.7,50.93,784637
50.64,49.99,50.79,49.82,1575644
49.46,49.93,50.15,49.05,1454017
50.19,50.59,50.8367,49.91,1575202
50.81,50.76,51.315,50.67,1467624
50.94,51.11,51.4,50.56,1901664
51.03,51.69,51.9,50.5457,1957417
51.96,52.18,52.43,51.92,1189901
52.42,52.79,52.94,52.235,1413687
53.06,51.95,53.24,51.8,1251266
51.92,50.7,52.05,50.58,1944085
50.46,51.43,51.57,49.78,1720381
50.92,49.45,50.98,49.08,1717495
49.5,49.01,50.04,48.84,1251381
49.4,50.14,50.26,49.4,1097137
50.14,49.91,50.36,49.6892,1075159
49.91,50.01,50.33,49.65,814554
50.5,50.19,50.61,49.89,1128783
50.74,51.98,52.06,50.68,783687
51.94,51.73,52.57,51.63,989357
52.24,52.26,52.66,51.21,988469
52.23,52.615,52.94,52.23,710096
52.61,53.19,53.52,52.3932,1501149
53.1,53.31,53.4,52.9,633673
53.1,51.82,53.1,51.63,1659176
51.84,52.76,52.83,51.6,908531
53.03,53.46,53.72,52.75,915449
54.32,54.86,55.06,54.26,1060468
54.84,54.3,55.17,54.14,717035
54.38,55.42,55.53,54.2901,988155
55.67,55.68,55.92,55.38,1240903
55.62,55.24,55.78,55.07,1004021
55.03,55.04,55.41,54.78,996951
55.22,55.56,55.71,54.86,924642
55.25,55.09,55.39,54.86,969142
54.81,55.75,55.92,54.61,1477325
56.24,57.39,57.465,56.22,1512654
57.51,57.43,57.94,57.19,826419
57.48,57.17,57.48,56.75,1118819
57.25,56.87,57.67,56.43,1427193
56.73,56.53,57.48,56.04,1459672
56.82,57.57,57.61,56.76,808217
56.54,57.29,57.5,56.15,608869
56.6,56.45,56.98,56.04,902543
56.28,56.04,56.74,55.8503,740009
55.33,55.88,55.93,54.97,841472
55.62,56.48,56.54,54.85,641295
55.22,54.24,56.18,53.9,922647
54.4,55.27,55.82,54.01,714174
54.61,54.78,55.06,54.17,999648
55.13,55.52,56.12,55.045,900868
