Open, Close, High, Low, Volume
91.57,91.86,92.27,91.48,8785522
91.98,91.89,93.14,91.81,5614571
92,91.67,92.1306,91.58,3911910
91.8,91.57,91.97,91.35,4248284
91.66,91.68,92.08,91.53,2894025
91.79,92.18,92.4318,91.72,2753244
92.35,92.49,92.77,92.15,2275654
92.49,92.07,92.75,91.93,2227317
92.49,92.0538,92.54,91.91,2125765
92.24,92.03,92.46,91.92,2382969
91.92,90.66,91.93,90.55,5257189
90.98,90.57,91.09,90.515,3976843
90.83,91.18,91.77,90.61,4316526
91.15,91.19,91.3,90.57,3848619
90.93,91.71,91.77,90.93,3298886
91.47,91.09,91.65,91.01,4768279
90.91,90.46,90.91,90.0112,4530767
90.4,90.14,90.52,89.92,4249561
90.05,89.61,90.34,89.35,6568901
90.14,90.23,90.77,89.6399,6687697
90.56,91.22,91.73,90.43,6110942
90.24,90.18,90.65,89.67,5459625
90.44,91.09,91.26,90.24,7257112
90.88,91.88,91.92,90.77,6735824
89.82,89.02,90.21,88.6,13880619
89.06,88.33,89.16,87.7,11269245
88.68,88.35,89.05,88.0114,9147955
88.17,87.7,88.17,87.23,7751383
87.69,86.81,87.72,86.69,7689825
86.82,86.96,87.44,86.63,6903593
86.81,86.38,87.41,86.075,7246937
86.15,85.85,86.5,85.56,6713402
85.56,84.24,85.61,84.21,10172281
83.99,81.04,84.37,80.1,14053004
80.53,82.38,82.45,80.35,16278489
82.3,81.83,83.39,81.82,9559018
82.14,80.17,82.22,80.15,11797283
80.98,79.95,81.03,78.59,16059195
80.61,81.31,81.665,80.58,8235149
81.15,81.5,81.83,80.91,7516320
81.06,80.69,81.26,80.27,7191957
80.97,82.41,82.41,80.5,6817152
82.21,82.58,83.25,82.13,8446889
82.19,81.32,82.22,81.07,5443922
81.31,80.21,81.81,80.19,6297707
80.47,80.84,81.28,80.17,7450705
81.01,81.07,81.12,80.48,7743222
81.45,81.62,81.69,81.05,5677845
81.89,80.51,82,80.51,6005420
80.68,78.52,80.79,78.5,11284842
78.4,78.66,79.28,77.9,10027397
78.48,79.48,79.655,78.42,6520336
79.28,80.28,80.3939,79.15,5646551
80.41,80.02,80.42,79.37,6781680
79.53,79.14,79.64,78.9,6166515
79.17,79.96,79.99,79.02,6046982
80.27,80.28,80.745,79.9,5426204
80.23,79.88,80.62,79.76,5755716
80,79.72,80.19,79.36,7763793
79.69,79.02,79.84,78.8647,7324165
79.09,78.67,79.14,78.54,5377050
78.93,78.93,79.39,78.84,8402682
78.97,78.66,79.57,78.27,5770551
78.74,78.33,79.1,77.96,5739503
78.05,77.03,78.24,76.88,8241660
76.83,76.42,77.52,76.37,8285536
76.79,75.93,77.18,75.805,8659984
76.57,76.42,76.87,76.02,7538547
76.53,77.77,78.44,76.3,9330993
77.92,78.825,79.14,77.92,10965555
79.43,79.28,80.49,79.1799,7289155
79.26,77.42,79.37,77.06,8855495
77.56,78.4672,78.8,77.175,8564971
77.82,79.07,79.5155,77.59,6556182
79.09,78.8,79.3218,78.51,5821045
78.37,78.42,79.3561,77.9,6587682
78.8,78.17,78.85,77.57,6054408
78.71,78.36,78.84,77.94,5158855
78.19,78.26,78.69,78.04,4745834
78.64,77.81,78.7,77.8,5215210
78.06,78.37,78.435,77.725,4987893
78.56,78.63,78.86,78.04,4915406
78.93,78.42,78.94,78.095,5221211
78.58,78.19,78.68,78.02,5857819
75.39,74.98,75.72,74.2,14596202
74.04,73.8,74.92,73.74,11302046
73.59,73.02,73.98,72.76,11484446
73.16,72.52,73.33,72.15,14604119
72.41,72.3,72.75,71.95,10982441
72.57,72.75,73.01,72.37,8578879
72.53,72.82,73.08,72.21,6948097
72.91,72.33,72.915,72.16,7806891
72.05,71.92,72.35,71.66,7032490
72.06,70.93,72.06,70.73,8059120
70.81,71.33,71.72,70.74,7625711
71.38,72.43,72.62,71.34,6703203
72.67,71.99,73.22,71.89,5564465
72.05,71.45,72.12,71.111,5910904
71.77,72.4,72.545,71.74,5778549
72.91,73.14,73.34,72.69,5178708
73.63,73.37,74.1,73.05,5697530
73.78,73.29,73.78,73.09,5452257
73.31,72.94,73.41,72.6,7921447
72.98,73.53,73.93,72.96,6531054
73.52,73.95,74,73.4,5976093
73.98,73.45,74.07,73.11,5337400
73.75,74.05,74.25,73.42,5104319
74.46,74.03,74.94,73.83,5871034
74.02,74.16,74.3,73.725,4570216
74.08,73.78,74.35,73.5929,4884580
73.77,74.3,74.62,73.75,5594264
74.06,74.04,74.7,73.77,6411375
74.33,74.92,75.015,74.05,6435934
74.67,73.15,74.69,72.8,7705467
73.33,73.445,73.735,72.86,5717066
73.54,74.18,74.62,73.45,6884423
74.28,73.98,74.3752,73.6,5306483
74.07,74.35,74.42,73.72,5171419
74.18,75.74,76.3939,74.1,10450798
75.85,77.18,77.21,75.74,11044146
76.97,77.54,77.69,76.88,6931619
77.82,77.24,77.89,77.11,6353436
77.4,76.47,77.4,76.2,5829300
76.56,76,76.56,75.7,6784000
76.16,77.36,77.51,75.92,9163718
76.86,75.84,77.1,75.39,5182713
75.59,76.33,76.68,75.57,4858593
76.35,75.86,76.35,75.54,4676734
75.53,76.44,77.05,75.53,7049127
76.77,77.38,77.625,76.77,6828846
77.28,77.79,77.94,77.18,9160348
77.79,78.01,78.31,77.36,7293780
78.11,77.72,78.705,77.56,6066456
77.86,78.065,78.315,77.66,4452070
77.93,78.07,78.54,77.29,5026487
77.5,78.14,78.31,77.421,4505315
78.54,77.99,78.76,77.78,4871142
78.14,79.22,79.25,78.12,5593577
79.38,79.3,79.62,78.9,5161675
78.46,77.86,78.83,77.78,7369088
78.1,79.825,79.94,77.99,8871733
79.63,79.17,79.84,79.0301,6442346
79.34,78.88,79.52,78.565,5719550
79.08,79.32,79.47,78.9,4686783
79.21,79.52,79.63,78.83,5017753
79.66,80.05,80.5,79.55,6874575
79.66,79.71,80.21,79.33,5487015
78.4,78.74,79.19,77.89,5853160
78.32,78.7,79.055,78.32,6893573
78.69,78.52,78.94,78.24,4687488
77.54,78.96,79.01,77.54,5328007
78.72,79.49,79.6,78.72,4716012
79.56,80.1,80.77,79.47,7512024
79.67,80.59,80.8253,79.46,6095838
80.07,80.25,80.5,79.84,5731928
80.39,80.88,80.98,79.43,6656857
80.42,80.65,80.82,80.11,5854138
80.8,82.02,82.22,80.59,7173334
82.14,82.34,83.1,81.92,5579915
82.2,82.52,82.925,82.15,4230400
82.41,82.64,82.68,81.73,4650935
82.1,82.34,82.799,82.1,3689303
82.44,81.4,82.44,81.3,3961885
81.3,81.42,81.76,81,3720625
81.7,81.52,82.08,81.15,3606594
81.39,81.31,81.72,81.23,3971531
81.3,82.29,82.365,80.81,6511014
82.46,83.68,84,82.31,8951454
83.73,83.71,84.2,83.6,6299468
83.89,83.645,83.95,83.31,5228840
83.57,83.88,84,83.09,6648652
83.81,83.4,83.85,83.06,3721677
83.01,83.24,83.6,82.84,3038113
83.22,83.38,83.55,83.03,2512384
83.5,83.43,83.82,83.02,2838130
83.74,83.49,83.86,83.32,3896011
