Open, Close, High, Low, Volume
62.43,62.01,62.84,61.77,2508612
61.89,61.08,62.1,60.79,2819821
61.39,61.1,61.92,60.461,3095041
61.28,60.88,62.89,60.55,3124416
60.27,59.78,60.78,59.22,3043296
59.63,59.42,61.46,59.225,5189986
58.77,57.15,59.24,57.09,1901505
57.16,59.32,59.39,56.71,2367477
58.56,60.19,60.19,57.98,1961465
60.33,59.635,60.79,59.41,2362089
60.07,60,60.29,59.68,1908229
59.28,59.13,59.74,58.77,2661225
58.96,58.28,59.51,58.21,3130968
59.05,59.59,60.04,58.82,2119237
59.4,60.04,60.62,59.2,2282924
60.73,60.8,61.38,59.959,2125295
61.48,61.27,62.08,61.19,3380964
61.18,61.93,61.965,60.735,1372193
61.57,61.62,61.81,60.84,1404388
61.31,61.56,61.96,61.13,1449929
61.47,61.945,62.2,61.4488,1377866
62.28,62.53,62.62,61.84,1489665
62.33,63.18,63.305,62.25,2452118
63.6,64.33,64.58,63.06,3173020
64.07,63.144,64.51,62.96,3629067
62.9,65.085,65.22,62.65,4186752
64.58,65.25,65.26,64.14,3394071
65.79,65.3,65.82,64.83,2882115
65.04,65.18,65.28,64.7,2500401
65.23,65.825,65.855,65.2,3179832
65.97,66.74,66.955,65.495,3712725
66.62,67.34,67.365,66.47,3944371
65.26,65.8,65.8,64.7,3378891
65.6,66.035,66.04,65.16,2143524
66.17,66.545,66.75,65.98,2635195
66.49,67.61,67.66,66.23,2499863
67.23,67.655,67.88,66.98,2618180
67.3,68.245,68.25,67.21,1955100
68.46,69.16,69.21,68.02,3142098
69.56,69.265,70.02,69.26,4086136
70,70.8101,71,69.685,3779723
70.31,70.75,71.08,69.8139,2509442
71.4,71.325,71.77,71.05,2322186
72.05,72.48,72.48,71.685,2776781
72.48,72.1,72.69,71.83,2884102
72.24,72.29,72.51,71.96,2301298
72.53,72.73,72.93,72.1,2021795
72.41,72.33,72.95,72.17,2235808
72.16,72.71,72.98,72.07,2246343
72.8,72.91,73.42,72.58,2423356
73.44,73.02,73.775,72.68,2677898
73.08,72.72,73.69,72.06,2182456
72.77,72.5,72.975,72.39,1431639
72.58,71.93,72.82,71.83,2019174
71.92,72.23,72.55,71.49,2634750
71.72,72.27,72.43,71.7,2026864
72.49,72.85,72.925,72.295,1686698
