Open, Close, High, Low, Volume
26.24,25.79,26.42,25.74,2873569
25.52,25.62,26.3,25.52,3546934
25.43,25.65,26.08,25.14,6132999
25.91,26.47,26.745,25.75,7066426
26.53,25.79,26.96,25.75,6413841
25.68,25.77,26.47,25.59,5435666
25.8,25.14,26.25,25.07,6001301
25,24.69,25.24,24.45,2237098
24.84,25.85,25.88,24.545,2895428
25.35,26,26.01,25.13,2706249
26.09,26.0301,26.46,25.64,2611150
26.14,25.9,26.3,25.2,2503487
25.6,26.27,26.495,25.44,6216535
26.07,26,26.48,25.64,5075968
26.23,27.19,27.21,26.13,4865433
27.78,28.19,28.6,27.52,8580801
28.5,28.37,28.53,27.79,5716500
28.48,28.92,29.19,28.01,8889735
28.83,28.6,28.97,28.305,3844629
28.07,28.58,28.92,28.03,4409375
28.44,27.805,28.64,27.79,3873496
27.84,28.09,28.35,27.7,3008926
28.03,27.345,28.07,27.34,4506866
26.71,26.815,27.35,26.59,5560520
26.96,26.535,26.97,26.34,7676803
26.53,26.25,26.705,26.13,4984691
26.29,26.685,26.735,26.16,3037180
26.74,26.655,27.1,26.57,5593835
26.92,26.955,27.385,26.69,6490503
26.74,27.01,27.415,26.66,4701382
25.65,27.255,27.48,25.1,8423225
27.22,27.24,27.35,26.19,7641331
27.33,27.865,28.19,27,6625890
27.84,27.35,28.265,27.325,4481913
27.32,26.765,27.43,26.58,4347781
26.78,27.33,27.37,26.74,3612076
27.17,26.495,27.29,26.415,4621429
26.29,26.91,26.95,26.28,3059326
26.38,26.6,26.83,26.29,2517413
26.7,26.49,26.8,26.42,3004975
26.66,27.295,27.54,26.585,7249228
27.31,27.235,27.41,26.72,3441891
26.68,26.95,27.12,26.56,3037313
27.01,27.13,27.34,26.855,3035781
27.03,27.14,27.26,26.865,4428250
26.99,27.62,27.66,26.935,5147362
27.76,27.99,28.2,27.49,3700970
28.09,27.57,28.11,27.54,3068980
27.4,27.44,27.7,27.06,3494973
