Open, Close, High, Low, Volume
87.31,86.81,88.74,86.43,1041503
86.84,85.71,88.83,85.27,885046
85.27,84.4,86.495,83.59,758138
84.08,80.79,86.07,80.67,1367637
80.7,78.02,81.3,77.9,686538
78.52,82.66,82.75,77.94,1224782
81.38,84.3,84.3,80.98,858465
84.51,82.22,85.11,82.11,681384
82.6,83.045,83.795,82.2,590551
81.87,84.46,85.08,81.87,637213
83.98,82.96,84.99,82.53,489956
84.36,86.23,86.855,84.35,487274
86.03,87.2,87.9,85.41,836281
87.78,89.17,89.385,87.18,813766
88.37,87.17,88.37,85.518,1030883
86.87,90.84,91.17,86.87,847340
90.47,91.1,91.44,90.23,517003
90.56,89.25,90.81,88.96,648502
89.02,89.65,90.27,89.02,374713
89.6,89.15,90.64,88.96,796974
88.57,90.12,90.75,88.53,585091
90.78,91.8299,92.62,90.77,696783
91.68,92.03,92.75,91.1,1042616
93.09,91.77,93.32,90.85,604881
91.8,92.34,92.52,91.2,536429
93.54,94.28,95.2,93.41,630780
93.5,93.22,93.96,92.39,479959
93.75,94.03,94.235,92.86,964275
91.4,92.91,94.49,89.82,1491129
92.74,94.335,95.055,91.85,1316145
94.86,95.25,95.43,93.68,845771
95.18,93.77,95.44,93.56,865720
94.49,95.96,96.05,93.93,802682
95.66,95.97,96.87,95.6562,632480
95.24,94.74,95.715,93.59,516353
94.32,95.03,95.07,93.32,590548
95.39,93.88,95.73,93.39,629121
94.7,97.29,97.45,94.5453,713128
97.6,97.72,98.7,97.6,646015
97.28,97.42,98.185,97.16,571731
98.18,98.48,98.8,97.83,486882
98.14,98.34,98.85,97.45,449251
98.26,100.73,100.94,97.935,804255
100.2,98.25,100.37,97.91,840132
98.98,98.29,99.5,97.8101,396750
99.05,99.5,100.4,98.533,650239
99.46,99.6,100.79,99.2106,611522
99.54,99.05,99.67,98.49,466968
98.91,95.58,98.93,95.43,882822
96.26,96.19,97.24,95.81,710994
96.85,98.33,98.39,96.24,1006738
98.1,99.085,99.6,98.07,992348
99.3,99.08,99.85,98.78,913477
98.78,97.64,98.975,96.44,621211
96.8,97.4,97.5,96.12,506294
97.48,97.79,98.4,97.4,1016423
97.85,99.21,99.75,97.79,1146845
99.72,101.08,101.84,99.61,959411
100.49,98.75,100.79,98.23,645744
96.47,96.195,97.415,95.83,820065
96.05,97.53,97.6,95.87,724310
99.1689,98.31,99.2566,97.78,609315
98.4,96.46,98.515,95.97,821157
96.25,98.27,98.615,95.9,627582
97.84,95.12,97.84,94.98,529770
95,95.2,95.67,93.91,493563
95.98,97.98,98.05,95.98,721383
97.78,98.55,99.22,97.65,616395
98.91,99.49,99.57,98.2,516528
100,99.39,100.47,98.13,679683
99.91,102.72,102.88,99.91,293098
102.91,101.56,103,100.8175,807037
102.28,102.76,103.06,102,656414
102.45,101.3,102.72,100.6,870993
101.27,102.22,102.97,100.78,857883
102.17,101.66,102.19,100.76,617616
101.36,100.84,101.7622,100.005,526085
100.95,101.49,101.79,100.28,540425
101.44,101.5,102.75,100.768,630004
102.39,103.33,103.8,102.37,534943
103,101.51,103.5,100.87,525525
95.95,97.94,98.47,92.62,2418562
97.97,95.35,98.29,95.03,1029990
95.75,96.41,97.31,95.52,781704
97.04,97.63,98.67,96.55,884925
97.74,98.52,99.14,96.93,866485
98.73,98.85,99.39,98.3,621972
98,97.94,99.91,94.11,1236838
97.43,99.21,99.49,96.1273,454043
99.51,98.92,99.78,98.22,515585
99.16,99.15,99.32,97.07,591403
99.15,97.5,99.49,97.02,560379
97.33,98.92,99.13,96.852,446075
99.53,100.6,101.02,99.53,384651
98.88,99.95,100.22,98.24,510323
98.84,99.09,99.33,97.9,592887
98.85,98.45,99.5,97.84,392249
97.47,97.96,98.22,96.5412,569600
97.47,97.9,98.41,96.22,525435
96.14,96.26,96.73,95.11,546375
96.72,97.22,98.08,96.66,315295
97.18,97.05,97.885,96.285,441024
97.49,97.34,98.87,97.22,404646
96.36,96.83,97.58,95.41,422683
93.61,92.4,94.8,91.72,911827
92.76,94.58,94.87,92.76,597142
94.86,92.11,96.13,92.05,896691
91.62,90.13,91.62,89.58,743373
91.04,91.05,91.76,90.04,358472
90.87,89.67,91.4,89.52,517825
89.28,88.82,89.705,87.85,1121672
89.15,89.38,89.55,88.36,508990
88.11,89.07,89.11,87.855,619217
88.68,90.77,91.85,87.87,1074530
90.59,93.6,93.62,89.82,1314650
94.34,94.53,94.82,92.645,480323
94.86,95.8,96.53,94.355,576732
96.44,95.7,97.065,94.96,578112
96.32,94.68,96.8459,94.02,807332
95.66,95.45,96.65,94.96,488163
95.4,95.55,95.93,94.82,369476
95.6,96.28,96.76,95.5,794920
96.41,95.32,96.41,94.2,411134
95.33,93.44,95.59,93.4,562881
94.15,94.97,95.93,93.85,650838
95.2,94.46,95.58,94.23,578367
95.67,94.59,95.94,93.53,741236
95.03,95.36,96.39,94.32,860931
94.1,92.22,94.68,91.84,754909
92.15,92.46,93.38,91.4,846198
92.5,92.43,93.25,92.33,937222
92.45,93.94,94.1,92.27,802080
94.45,95.35,96.28,93.98,1282943
96.91,97.66,97.76,96.3,1364346
98.98,97.6,99.7,96.66,4509519
97.39,99.99,100.1,97.3,949595
99.24,99.81,99.96,98.32,1166441
99.4,99.49,100.66,99.05,1573902
99.35,99.65,99.97,99,1433696
100.32,100.05,101.26,99.58,1223294
99.94,98.95,100.11,98.56,1914942
98.08,99.35,99.4,97.67,801300
98.33,97.12,98.33,96.32,1247396
97.78,98.46,99.35,97.39,1751187
99.52,98,99.52,96.775,829173
97.46,98.36,98.67,97.12,543714
98.75,99.9,100.32,98.16,738207
99.8688,99.44,99.8688,98.65,667863
100.1,101.28,101.77,99.92,813386
100.82,102.25,102.9,100.82,826064
102.02,101.99,104.18,101.3,1027230
101.59,102.04,102.4,100.97,728794
101.69,102.03,102.19,101.18,562266
101.3241,103.04,103.34,100.43,641231
102.97,100.96,102.97,100.32,935636
101.17,100.06,102.48,99.12,633197
99.98,101.23,101.73,98.3671,898033
99.82,99.6,100.39,99.03,1500415
100.27,100.1,100.615,99.38,773710
98.98,100.51,100.51,98.4501,516058
101,102.13,103.3125,100.98,967058
101.63,101.12,101.83,99.77,425479
100.59,99.58,100.7151,99.44,661522
100.14,101.49,102.98,99.22,755827
99.94,99.55,101.15,99.02,759670
99.85,99.99,100.345,99.01,566543
100.74,101.28,102.24,100.55,653661
102.35,102.46,102.79,101.49,416358
102.32,100.86,102.48,100.62,684397
101.34,101.29,101.85,100.91,619050
101.45,101.12,101.84,100.46,356834
100.41,98.14,100.99,97.62,530900
99,98.94,99.4616,98.13,519883
99.32,97.65,99.8,97.18,780360
97.23,98.49,99,96.66,477129
99.58,100.09,100.4802,99.35,454278
100.8,100.55,101.83,100.2,416904
99.44,98.5,99.63,97.99,412305
99.49,100.14,100.16,98.975,550813
100.96,100.54,101.3664,100.28,674223
100.78,100.62,101.08,99.79,675977
101.34,100.52,102.01,100.185,772424
100.57,104.22,104.33,100.57,846062
104.24,108.08,108.63,104.24,1211884
107.88,107.06,108.05,106.07,711781
107.7,108.4,109.365,107.335,697896
107.54,105.87,107.54,105.65,522150
104.49,105,105.29,102.985,652010
104.73,104.67,105.33,103.57,499103
104.86,103.33,105.14,103.06,601799
103.59,102.82,104.26,102.43,718417
102.25,103.72,104.115,101.38,425180
104.38,103.31,104.5475,102.9,498038
103.33,105.34,105.53,103.04,549013
105.45,104.54,105.45,103.56,376931
105.05,105.66,106.1,104.79,416629
105.26,106.1,106.42,105.26,442518
107,102.78,107.0224,102.67,443976
102.29,102.36,103.18,101.64,1099155
101.97,102.47,102.75,100.54,595741
102.42,103.33,103.88,102.42,488920
103.01,103.71,104.48,102.94,514865
102.66,102.15,103.015,101.82,677942
103.32,103.61,104.17,103.08,454244
103.92,106,106.29,103.92,629350
107.43,109.34,110.35,107.37,911086
108.945,107.27,109.02,107.22,683740
107.5,107.13,107.95,107.04,378621
107.18,106.81,108.15,106.6,507749
106.99,106.4,107.65,106.005,586920
106.11,108.21,108.59,106.11,584496
109.22,108.52,109.87,108.3,551705
108.43,108.56,109.47,107.91,515862
108.5,110.01,111.23,108.5,1106922
109.43,108.52,110.26,105.52,1163286
108.46,110.93,111.16,108.46,490745
111.36,112.5,112.72,111.36,768632
111.76,111.56,112.7,111.04,480924
111.35,110.44,111.39,109.36,597500
108.9467,109.45,109.61,108.63,345862
110.4,111.31,111.36,109.67,485147
111.98,112.05,112.5526,110.79,811128
112.23,113.25,113.68,111.93,839069
113.13,112.36,113.13,111.4,470109
112.86,112.91,113.44,111.75,570377
112.81,113.91,113.95,112.25,624821
113.27,113.66,114.12,113.01,287770
113.67,113.73,114.78,112.88,369947
