Open, Close, High, Low, Volume
86.64,87,88.38,86.34,397739
87.32,86.06,87.7,85.721,528715
85.14,83.73,85.22,83,612238
83.26,80.86,83.96,80.22,615138
81.4,80.61,82.165,79.405,703431
80.53,78.2,81.95,77.6,730875
77.71,76.39,78.19,75.67,889904
76.61,73.87,77.62,73.66,732749
73.43,71.97,73.7,71.91,313984
72.27,75.7,75.74,71.8323,405030
74.45,77.45,77.48,73.95,443078
78.2,77.27,78.4779,76.44,438670
77.93,78.07,78.61,77.47,323917
77.41,76.82,77.735,75.83,381699
76.43,72.91,76.925,72.16,696331
73.92,75.98,76.79,73.92,475174
75.89,76.79,77.78,75.71,472309
77.83,78.79,78.9,77.02,333615
79,80.84,81.23,78.68,649829
80.45,82.52,82.58,80.11,554613
81.79,83.49,83.61,81.45,820016
82.45,81.81,83.15,81.38,504100
81.89,82.28,83.17,81.01,422593
82.11,83.03,83.32,81.98,565664
82.65,84.32,84.72,82.65,287311
84.84,86.24,86.3,84.16,665218
85.56,84.32,85.825,83.54,409140
85.58,84.92,86.425,83.65,405714
84.91,85.305,85.515,84.65,277537
85.81,86.5,87,85.57,424897
85.41,86.6,86.62,85.26,372575
87.18,87.675,87.97,86.6,426076
87.92,90.27,91.25,87.92,805918
90.08,90.48,91.155,89.31,737218
91.23,90.84,94.88,90.18,1459539
91.01,91.21,91.6,88.28,694095
91.06,92.93,93.12,91.06,479602
92.8,93.62,94.19,92.58,457872
92.7,91.52,92.82,90.67,796459
90.85,91.71,91.71,90.61,574847
91.79,92.09,92.46,91.7077,288189
92.63,93.57,93.91,92.505,358519
94,93.81,94.4091,93.23,333022
93.55,93.3601,94.13,93,258224
94.28,94.03,94.64,93.5,560005
94.04,93.51,94.04,92.82,333082
93.07,93.19,93.25,92.47,267778
93.54,93.58,93.985,93.24,338798
94.1,94.13,95.7,93.985,449973
93.69,92.58,94.285,92.4,471704
92.07,93.85,94.1,92.07,370633
93.4,94.15,94.42,92.875,328059
94.7,96.46,97.2,94.28,586673
97.27,95.72,97.89,94.77,667603
95.73,94.9,95.76,94.56,487296
94.75,93.37,95.15,93.11,328202
93.27,93.26,93.29,92.15,348343
92.5,91.86,92.82,91.44,509274
92.06,92.92,93.24,92,432188
93.32,93.52,93.9,92.93,275234
93.92,93.67,94,92.81,486428
93.6,93.12,93.66,92.8,404396
93.95,94.04,94.36,93.62,303058
94.4,94.04,94.5887,93.31,397124
94.515,95.1,95.37,94.05,363725
95.13,95.06,95.895,94.14,350438
94.31,97.51,97.64,94.31,369798
96.89,93.72,97.04,93.65,463428
93.78,94.55,94.97,93.2794,318407
95.38,95.99,96.16,95,349612
96,94.39,96.31,93.7,314041
94.79,95.24,95.4,94.1,308660
96.1,96.36,96.52,95.31,343207
97.3,97.585,97.99,96.975,341774
97.28,97.4,97.67,97,321571
97.92,98.59,98.82,97.47,712958
98.87,97.81,99.04,96.9,451350
97.94,99,99.42,97.94,390987
99.13,99.69,99.76,98.03,397011
102.38,101.15,103,100.21,964602
101.1,101.1,102.23,100.87,548481
100.98,100.36,101.28,100.12,535687
101.06,100,101.84,99.72,797722
100.15,99.19,100.5189,98.84,730730
99.99,96.97,100.09,96.38,656601
97.35,93.6,97.35,92.33,821339
93.77,94.15,95.27,92.86,657345
93.7,94.51,95.53,93.35,444136
92.5,94.78,95.3876,91.56,1179897
95.18,94.51,95.43,94.13,731547
93.98,95.07,95.31,93.02,841601
93,94.08,95,91.15,1723907
94.46,94.96,95.635,93.995,930274
95.16,95.8,96.31,95.16,931828
95.92,94.11,96.27,93.76,851338
93.87,94.88,94.9853,92.87,643825
95.38,96.58,96.64,95.38,551260
95.52,96.71,96.96,93.8701,646778
95.64,93.56,96.15,92.33,781781
93.57,93.29,94.375,92.71,461605
91.98,92.645,92.89,91.19,501931
92.19,92.42,92.81,90.23,660527
90.42,88.09,90.42,87.84,1233884
88.58,89.05,89.98,88.44,974741
88.56,87.91,88.945,85.59,1198542
88.58,87.98,88.93,87.65,693290
86.79,85.93,87.685,85.83,678638
85.3,84.04,85.75,83.45,1015416
84.65,85.51,85.84,84.33,881420
85.53,86.3,86.56,85.09,702444
85.32,86.13,86.17,84.9,987499
86.55,86.39,88.28,86.31,752420
86.56,84.58,87.65,84.41,1095140
83.96,84.87,85.32,83.45,970684
85.07,85.9,86.2,85.07,739254
84.82,86.33,86.8,84.455,1223935
86.83,88.09,88.15,86.365,668666
89,90.06,90.33,88.56,705121
90.23,91.35,91.63,89.79,619885
92.08,92.93,93.27,91.87,594972
93.6,93.71,94.49,93.03,614673
94.38,93.13,94.9865,92.42,689946
93.13,93.32,94.06,91.77,925625
93.49,93.11,93.67,92.32,404525
93.17,92.94,93.97,92.76,540968
93.07,93.39,93.99,92.69,493619
93.97,94.49,94.7,93.55,478551
94.52,95.79,95.9,94.24,507038
96.77,96.05,97.39,95.315,726546
95.92,95.35,96.12,94.4,661006
95.43,95.48,96.18,95.07,373097
95.64,94.51,96.54,94.49,367871
94.7,93.91,95.29,93.88,261254
94.5,95,95.39,94.21,405775
95.25,96.34,96.72,94.66,1194638
97.73,97.65,98.07,96.535,888683
97.84,98.44,98.585,97.245,561031
98.81,99.11,99.57,98.4,443706
98.63,98.47,98.63,96.86,371106
97.8,96.45,97.95,96.06,358237
95.75,96.2,96.95,95.51,458277
96.55,95.82,96.93,95.8,392781
96.13,95.82,96.4,95.01,577156
94.98,95.18,95.21,94.041,526536
95.28,95.02,95.51,94.01,330711
94.9,95.28,95.61,94.57,334838
95.49,95.08,95.71,94.97,358706
95.03,95.35,96.03,94.89,392650
95.69,93.82,95.69,93.77,413482
93.96,94.22,94.825,93.6,477332
94.47,94.52,94.87,93.81,440693
93.64,95.04,95.07,93.27,425826
94.91,94.59,95.23,94.28,350624
95.18,95.02,95.6,94.1,378666
95.17,95.34,96.09,95.03,553440
87.25,87.54,90.15,86.57,2469011
87.7,86.09,87.7,84.67,1091170
86.21,86.21,87.41,85.1,1142520
85.91,84.6,86.2,83.56,702673
82.94,81.31,83.38,80.84,859498
82.02,82.81,83,81.67,581141
81.76,82.62,83.16,80.56,678854
83.43,84.08,84.23,83.13,408527
83.71,82.23,83.98,82.01,464383
81.67,80.82,81.86,80.21,468706
80.76,82.16,83.15,80.35,456054
80.98,79.45,81.07,79.45,535122
80.03,80.67,81.11,79.36,625373
81.4,82.35,82.665,81.18,523702
83.33,82.65,83.5,82.56,330775
82.52,82.05,82.64,81.98,387125
82.83,83.48,83.7,82.355,470271
82.71,82.61,84.14,82.21,367244
82.31,80.77,82.93,80.13,614434
81.39,80.31,81.7,79.62,569842
80.82,80.19,81.01,79.79,769074
79.8,81.81,82.05,79.51,519447
82.89,83.08,83.48,82.44,342541
83.71,82.67,83.71,82.28,368411
82.24,81.48,82.68,80.985,944038
82.26,81.94,82.44,81.52,454530
82.65,83.71,83.87,82.65,353325
84.09,83.74,84.41,83.53,370123
84.13,83.78,84.52,83.1,493655
83.43,85.49,86.12,82.96,884488
85.92,86.9,86.94,85.355,656005
87.4,86.13,87.72,86.08,383148
86.08,86.68,87.17,86.08,399966
86.18,86.21,86.52,85.97,297629
86.16,86.21,86.62,85.82,461140
86.19,86.05,86.5325,85.27,234532
86.05,86.07,86.8,85.895,402619
86.33,86.55,87.6299,86.23,385345
86.06,85.17,86.21,85.12,382223
85.83,84.785,85.92,83.685,499590
84.78,84.48,84.78,83.59,302251
85.95,85.3,86.45,84.66,784806
85.74,85.16,86.17,84.46,343721
85.42,85.12,85.88,84.99,308843
85.32,83.49,86.01,83.3,615722
82.71,83.44,83.69,82.11,650421
83.72,83.34,83.72,82.25,708011
83.51,85.45,85.53,83.51,643498
84.94,84.35,85.45,84.32,423228
82.57,79.08,82.97,78.35,1742114
79.755,80.7,81.18,79.43,796358
80.66,80.5,81.4295,80.36,386616
81.5,82,83.4,81.5,628849
82.18,81.86,82.96,81.25,639660
82.4,82.15,82.745,82,771144
81.7,81.66,81.97,81.03,797539
82.02,83.03,83.61,82.02,525501
82.64,83.1,83.56,82.4,349850
83.76,84.1,84.72,83.4477,340366
84,83.97,84.395,83.34,515201
84.39,84.85,85.1,83.99,569117
84.83,84.85,85.2,84.085,320258
84.47,86.23,86.58,83.93,372181
86.44,87.39,87.52,86.44,521084
86.53,87.98,88.12,86.27,574144
87.82,87.75,88.035,87.14,1136531
84.11,85.97,86.15,83.95,955862
86.79,88.08,89.16,86.79,1330989
88.9,87.64,89.25,87.4,616781
87.94,87.09,88.13,87.05,568191
87.08,86.05,87.08,85.47,558137
86.66,87.13,87.31,86.25,465745
86.89,87.29,87.42,86.74,318677
86.63,87.49,87.55,86.47,253269
87.64,87.91,88.35,87.28,508175
87.42,87.28,87.9,86.91,463450
87.45,88.12,88.23,86.78,558867
88.54,90.95,91.16,88.31,746074
91.1,89.53,91.1,89.37,558272
89.99,91.16,91.71,89.6101,640149
90.75,90.52,91.147,89.97,463040
90.74,90.68,90.89,89.86,318022
91.32,91.52,91.57,90.49,385795
92,92.09,92.2,91.52,255063
91.9,92.59,93.1,91.9,363765
92.93,93.53,93.75,92.6,413579
93.48,92.9,93.81,92.735,150619
92.54,92.16,93.06,91.96,589330
91.07,91.48,91.86,90.3,590241
90.87,92.38,92.59,90.87,402489
92.75,92.85,93.21,91.9,397502
93.68,94.1,94.35,93.27,324946
93.92,93.66,94.23,93.44,199016
94.2,94.38,94.77,93.4198,299236
94.25,94.31,94.48,93.84,219111
94.39,95.84,96.38,93.995,474037
95.89,94.38,96.17,94.18,510537
95.33,95.67,95.92,94.67,263683
96.11,95.21,96.3,94.91,226912
95.08,94.66,95.25,94.4,229535
94.84,95.7,96.19,94.68,241195
96.22,96.57,96.77,95.48,531928
96.9,97.21,97.27,96.4,167768
97.41,97.44,97.53,96.75,79236
97.59,97.17,97.65,96.86,226698
97.3,97.05,97.3,96.61,241529
97.09,96.66,97.1,96.305,178934
96.64,97.09,97.32,96.5294,226844
98.25,98.86,98.86,97.6827,598693
96.71,96.99,97.68,95.77,417100
96.37,97.98,98.05,96.05,294239
97.73,98.8,98.99,97.275,378063
98.84,98.6,99.74,97.26,436064
99.22,99.86,99.91,98.62,339797
100,100.34,101.16,99.71,306243
100.38,100.62,100.95,99.92,344268
100.21,101.7,102.06,100.21,364246
