Open, Close, High, Low, Volume
66.62,65.98,66.87,65.25,2937574
65.97,65.87,66.67,65.67,1599131
65.78,63.38,65.99,63.3,2437966
63.61,63.05,64.1598,63,1805131
63.24,63.02,63.63,62.99,1350478
63.25,63.84,63.9444,63.02,1042336
63.94,63.815,63.98,63.48,691149
64.09,64.28,64.4,63.79,798655
64.25,64.74,64.795,64.05,755015
64.89,64.53,64.94,64.4,953455
64.59,64.01,64.84,63.9,953328
63.96,63.86,64.15,63.61,1146023
63.8,62.63,63.96,62.62,1398724
62.92,62.56,63.02,62.48,1744092
62.44,63.29,63.32,62.32,1514395
63.49,62.66,63.97,62.53,1688543
62.4,61.47,62.4,61.42,2128206
61.63,61.66,61.93,61.11,1534316
61.71,61.86,62.06,61.37,1589588
62.24,62.14,63.24,62,1632362
62.43,62.84,62.99,62.06,1662097
62.76,61.45,62.76,61.4,2528717
61.52,61.77,61.78,61.09,2605729
61.9,63.1,63.16,61.89,2435347
63.39,64.96,64.98,63.13,2840730
64.96,64.51,64.99,64.15,2510321
64.76,64.2,64.76,63.76,1154381
64.35,64.38,64.5,63.83,1083280
64.25,63.38,64.25,63.34,967675
63.18,62.91,63.41,62.42,1872531
63.06,65.09,65.17,62.941,2379352
65.01,63.75,65.19,63.58,1812463
63.26,63.71,64.2,62.9,1803067
63.51,61.11,64.22,61.09,2090912
60.15,60.73,61.21,59.165,3549590
60.55,60.01,61.91,59.97,2979184
60.07,58.31,61.05,58.3,3171188
58.7,60.33,60.88,58.28,2629706
60.63,60.13,60.79,58.44,2128922
60.05,61.17,61.43,59.84,1723184
60.79,60.56,60.79,59.89,2024001
60.76,61.4,61.44,60.34,2404673
61.46,61.99,62.48,61.42,2319942
61.72,61.21,62.5,61.15,2220044
61.15,59.9,61.51,59.86,2071183
60.17,59.92,60.58,59.74,2656857
60.34,61.25,61.49,60.16,2697450
61.53,61.28,61.56,60.9,1972074
61.5,60.33,61.51,59.83,1849601
60.73,60.67,61.43,60.58,2231879
60.51,60.71,61.37,60.23,1632951
60.55,60.2,60.63,59.25,1739001
59.77,61.08,61.46,59.74,1166492
61.02,61.595,61.7,60.68,1437164
61.6,61.91,61.94,61.1,1296081
62.11,62.38,62.45,61.73,990946
62.58,63.68,63.7,62,1755542
63.54,63.57,63.87,63.15,1791126
63.86,63.35,64.02,63.05,1377921
63.05,63.21,63.4,62.85,1118127
63.35,63.43,63.649,63.08,1372457
63.49,63.82,63.98,63.03,1596308
63.83,63.34,63.83,62.935,990261
63.49,63.56,63.94,63.13,1023678
63.47,62.62,63.74,62.22,1144060
62.37,61.72,63.12,61.59,1414827
61.76,60.09,61.89,59.91,1553861
60.9,61.24,61.41,60.34,1351165
61.84,62.04,63.07,61.4,2140940
62.38,62.53,62.95,62.31,1550872
62.86,63,63.36,62.64,1345379
63.17,61.39,63.18,60.82,1832892
61.41,61.73,62,60.96,1494007
61.25,62.14,62.24,60.97,1908309
62.28,61.77,62.36,61.27,1383762
61.89,61.22,62.5346,61.01,1451018
61.47,61.33,62.25,61.295,1201797
61.68,61.59,62.09,61.45,1479511
61.37,61.62,62.2,61.32,945078
62.79,61.63,62.87,61.47,1277455
61.85,62.26,62.31,61.46,1447722
62.3,62.58,62.87,61.825,1682474
63.43,65.29,65.75,63.35,2849320
65.62,65.65,66.15,65.27,2118670
65.66,65.22,65.79,64.88,1537596
65.22,65.01,65.45,64.77,1465558
65.08,64.87,65.36,64.51,1149320
65.17,65.22,65.88,64.74,1567047
64.94,64.63,65.04,64.21,1274197
65.22,65.89,66.34,64.89,866663
65.76,66.59,66.995,65.72,1244704
64.4,64.9,65.79,63.9,7430314
65.11,65.1,65.45,64.91,3209363
64.89,64.73,65.33,64.41,2981166
64.55,64.79,65.06,64.39,1819317
64.64,65.25,65.5575,64.59,1800723
65.52,65.47,65.65,65.21,2464207
65.29,65.19,65.75,65.09,2179859
65.19,65.23,65.41,64.9,1769943
65.41,65.57,65.67,65.29,2190548
65.7,65.33,65.73,65.24,1345031
65.5,65.14,65.57,64.73,1846308
64.78,64.24,64.78,63.9,2491239
64.44,63.44,64.44,63.28,2212889
63.53,63.28,63.71,63.09,1970122
63.3,63.24,63.5,62.76,1699664
63.49,63.81,64,62.74,1802863
63.76,63.76,63.96,63.49,1875081
63.78,64.76,64.84,63.68,1796399
64.76,64.47,64.95,64.05,1610764
64.54,64.39,64.78,64.26,1250377
64.04,64.31,64.69,63.87,1991731
64.45,64.81,65.25,64.19,2169063
64.63,64.36,64.79,64.12,2757652
64.64,65.09,65.22,63.99,2388904
65.37,66.24,66.3,64.72,1979552
66.25,66.09,66.36,65.745,1649472
65.95,65.94,66.5,65.57,1941752
66.03,66.02,66.3,65.48,1583564
66,65.94,66.18,65.46,1230502
65.95,65.49,66.11,65.32,1323438
65.35,65.51,66.005,65.14,1628022
65.14,64.22,65.66,63.905,1786911
64.45,64.42,64.8,64.25,1255900
64.42,63.96,64.53,63.86,2443890
63.9,64.16,64.315,63.43,1805772
64,63.52,64.31,63.395,1622068
63.61,64.11,64.44,63.55,1646210
64.12,63.94,64.4966,63.59,2088276
64.12,64.43,64.76,63.71,2658119
64.42,64.15,64.65,63.63,2420553
64.4,64.03,64.47,63.93,2194600
64.15,64.42,64.81,63.94,2515179
64.41,65.16,65.23,64.41,2410076
65.12,65.7,66.23,64.57,2980224
65.59,64.5,65.78,63.77,2571205
64.77,65.09,65.8005,64.68,1179118
65.57,65.98,66.02,65.17,1576947
66.12,66.19,66.35,65.5,1473694
66.24,65.81,66.43,65.49,1760545
65.71,65.81,66.06,65.45,1985066
65.75,65.39,65.97,65.31,1845684
65.42,65.68,65.76,65.26,1441744
65.83,65.53,66.07,65.29,1309003
65.4,65.02,65.57,64.49,2190518
66.19,63.43,66.26,63,4804536
62.9,62.97,63.69,62.3,3640841
62.72,63.49,63.795,62.55,2104159
63.14,62.44,63.28,62.355,2606250
62.49,62.56,62.72,62.165,1896544
62.48,62.34,62.48,61.88,2029276
62.58,63.75,63.79,62.49,3058536
63.85,65.14,65.21,63.06,3996932
65.38,64.99,65.61,64.94,4022303
65.14,65,65.29,64.805,2765076
65.24,65.62,66.05,65.06,2244011
65.24,66.11,66.15,64.97,2169120
66.02,65.87,66.3378,65.64,1780177
