Open, Close, High, Low, Volume
108.43,109.62,110.27,108.43,6366759
109.76,107.99,110.13,107.8,3548870
108.44,108.11,108.82,108.03,3367270
106,104.36,106,103.57,5279074
104.5,104.78,105.31,104.47,2222707
104.83,104.66,105.45,104.52,1567911
104.78,104.1,104.83,103.77,1511248
104.55,104.7,105.005,104.25,1292456
104.9,104.81,104.9,104.08,1493335
105.08,105.66,106.52,105,2372542
105.82,104.45,106.1697,104.16,3586691
104.36,104.25,104.855,103.8546,2414592
104.24,103.48,104.49,103.47,2772681
103.27,104.32,104.6,103.27,3039287
103.98,104.14,104.67,103.85,2375081
104.75,104.89,105.44,104.24,2806418
105.02,105.65,106.04,103.88,2566094
106.32,104.85,106.62,104.405,3256637
105.57,104.5,105.64,103.91,4248994
104.55,104.87,104.98,103.77,4345605
105.08,105.81,106.25,105.08,2819639
105.46,105.09,105.7,104.8,2525117
105.5,108.95,109.11,105.5,4645913
109.15,108.86,109.68,108.46,3578361
108.5,109.63,109.775,108.4,2616639
109.56,110.63,110.89,109.56,3109918
110.43,107.5,111.25,103.02,9926917
107.36,110.14,110.46,107.31,3684207
109.63,108.57,109.7,108.41,2807521
108.2,107.94,109.37,107.754,3016805
108.23,107.23,108.47,106.74,3121464
107.04,105.19,107.58,104.9348,5536237
105,103.35,105.53,103.19,4906850
102.93,98.62,103.48,98.51,6019263
97.31,100.33,100.64,96.66,7564627
99.9,98.86,101.61,98.5,4391642
99.94,100.39,102.37,99,7835524
100.9,99.91,101.6,98.55,8240414
100.27,102.36,103.07,99.79,4847349
101.74,103.04,103.16,100.975,3832149
102.75,102.57,103.5,101.74,3069398
102.56,103.69,103.71,102.06,2744942
103.31,104.31,105.13,103.05,3498796
103.7,102.83,103.89,102.33,2536513
103.1,103.76,105.05,102.98,4146938
103.66,102.99,105.51,102.89,3119978
103.65,106.15,106.36,103.43,3663468
106.23,106.67,106.79,105.18,3666717
106.39,104.08,106.47,104.08,3140558
105.4,103.54,105.63,103.5,3470232
103.67,104.61,105.045,102.93,4966520
104.31,106.76,107.08,104.31,4438717
106.04,107.7,107.84,105.77,3405752
107.69,107.95,108,106.62,2785974
106.97,106.9,107.85,106.3325,1994758
107.16,109,109.06,106.94,2453423
109.46,108.29,109.9,107.98,2501620
107.99,107.23,108.57,107.17,2814720
107.58,107.21,107.75,106.83,2556604
107.51,105.63,107.75,105.36,2209961
105.29,104.97,105.79,104.775,2620673
105,103.27,105.8,103.17,4222967
103.13,101.74,103.45,101.7,3487298
101.88,100.28,102.18,100.12,3790684
99.08,97.7,99.46,97.06,4324634
97.56,97.65,99.25,97.3,5020205
98.3,95.63,98.72,95.51,3837860
96.49,96.35,97.1134,95.98,3683477
96.36,96.72,97.6699,95.97,5148259
97.34,99.76,100.18,97.22,6056791
100.28,99.42,101.01,99.22,2292584
99.59,97.59,99.93,97.305,3315381
98.29,99.85,100.07,97.5,3611584
99.19,100.95,101.36,98.9,3487800
101.39,101.72,102.21,100.21,3064454
101.62,100.99,102.41,100.54,3673969
101.48,100.73,102.04,100.43,2528649
101.25,101.08,101.78,100.52,2137549
100.91,100.72,102.29,100.63,2788405
101.33,100.22,101.93,100.03,2404479
100.79,101.85,102.33,100.245,2769034
102.26,102.94,103.35,101.73,3170099
103.2,103.22,103.55,102.26,2254321
102.89,101.41,103.105,100.6,4166848
93.52,85.63,94.26,83.5,41142818
85.71,84.27,86.3,83.8189,14777018
84.11,83.68,84.59,83.09,9954097
83.15,82.49,83.59,80.6403,11557876
82.6,81.82,82.94,81.43,5465149
82.22,81.49,82.3,80.475,7350314
81.56,82.57,83.55,81.35,5686282
82.75,82,83.31,81.87,4339841
81.4,81.2,81.7,80.79,3560194
81.02,80.1,81.18,79.83,4884635
80.12,80.46,81.34,79.71,4630538
80.54,81.88,82.505,80.5,4714850
81.9,81.5,82.08,81.16,3626734
81.4,80.81,81.4,80.32,3907073
81,81.99,82.79,80.97,4098829
81.94,83,83.04,81.9,3827991
82.71,81.21,83.02,81.02,5167514
81.25,80.87,81.72,80.73,3650959
80.4,79.91,80.57,79.4028,6291728
80.37,80.89,81.33,80.24,4610844
80.89,81.03,81.43,80.62,4375378
81.26,80.76,81.3,80.44,4857000
81,80.17,81.1,79.98,4446860
80.25,79.9,80.3,79.62,4762186
79.93,81.7,81.92,79.55,6466344
81.6,81.6,81.78,80.85,4399679
81.75,80.34,81.89,80.1,3687064
79.8,79.26,80.18,78.87,6548713
79.73,80.33,80.48,79.12,5073447
80.29,79.52,80.32,78.61,6419954
79.45,78.17,79.75,78.05,6255812
78.08,78.41,78.93,77.78,4501558
78.51,77.53,78.6,77.235,6604451
77.55,76.85,77.61,76.21,7685794
76.85,77.37,78.47,76.33,4842045
78.27,79.42,79.66,78.27,5828307
80.27,80.46,80.76,79.715,3955407
80.26,80.32,80.49,79.36,4274548
80.67,80.1,80.74,79.77,4279886
80.21,80.84,81.09,79.91,4267622
80.54,81.88,82.14,80.38,7552891
81.5,80.03,81.5,79.21,5056194
80.03,80.85,81.62,80.03,5135873
80.83,81.74,81.91,80.6,4943547
79.6,79.47,80.03,79.27,4894093
79.9,80.19,80.47,79.8,3954262
79.48,79.97,80.17,79.37,3297001
80.2,79.77,80.3237,79.28,4670668
79.8,79.91,80.82,79.2,5773462
80.49,81.66,81.8,80.27,5047957
81.93,80.75,82.05,80.66,3077215
80.62,80.24,81.22,79.5,3160908
80.85,81.15,81.24,80.23,2583563
81.15,82.03,82.03,80.71,3154278
82.25,82.25,83.2399,82.01,3259272
82.3,82.2,82.6,81.45,3451940
82.44,82.66,82.72,81.83,2774580
82.93,82.89,83.27,82.33,5281225
