Open, Close, High, Low, Volume
118.3,118.29,120.435,117.64,2145856
118.54,116.57,119.62,115.9,2154585
116.73,114.03,118.22,113.35,2654910
113.35,113.54,115.45,112.66,2990454
113.13,111.49,115.7,111.325,5354916
111,109.76,112.67,109.6,1555961
110.27,114.83,114.85,108.4508,2478973
113.34,115.72,115.72,111.62,1878735
116.21,115.31,117.115,114.85,1530769
115.88,116.3,117.23,115.15,1452336
115.15,118.68,119.12,114.85,1458035
118.06,118.44,120,117.29,1888546
120.48,121.12,121.74,119.73,1790946
120.25,121.03,121.942,119.8,1684503
121.26,120.95,121.8025,119.31,2580979
121.11,120.77,121.67,119.45,3364808
120.37,119.62,120.8,118.37,2662633
118.82,119.8,120.52,117.94,1985211
119.28,120.58,121.47,118.81,2411144
120.01,121.1,121.1,118.305,3747489
120.42,121.23,121.92,117.17,5681331
121.11,121.97,122.43,119.795,3748852
122.51,125.01,125.2,121.92,2419502
124.31,124.2,125.84,123.67,2219770
124.93,124.36,125.5,123.41,1678537
123.56,123.86,124.9,122.8,2309531
124.45,124.89,125.6,123.64,1513218
124.26,124.77,125.22,123.4,1386649
124.64,124.25,125.69,124.21,1060156
124.27,123.36,125.035,123.2,1546527
122.83,122.75,123.41,120.5,1626968
123.12,122.865,123.93,122.38,1471199
123.35,124.57,124.61,122.83,1695948
124.63,123.19,124.88,122.33,1898138
122.63,122.67,123.94,121.81,1794894
123.06,122.7,125.29,121.7,1996702
122.3,121.09,123.23,119.69,1194883
121.74,121.51,122.5,120.995,1068299
122.53,122.995,123.69,122.37,1134606
123.46,121.425,123.77,121.4,2048281
120.49,120.78,121.26,119.37,1911198
122.03,124.11,124.35,121.55,2031836
122.81,125.01,125.39,122.81,2003142
124.95,126.53,126.59,124.56,1504206
126.19,124.92,126.59,124.53,1940422
125.05,124.17,125.45,123.74,1492280
124.96,123.7,125.94,123.62,2107555
123.21,123.22,124.57,122.44,2680704
123.46,125.73,125.77,122.88,1762077
126.06,126.01,126.72,125.475,1658143
126.6,126.61,127.815,125.57,1455552
126.71,126.36,128.65,125.33,1719424
126.19,127.83,128.13,124.66,2713233
128.13,127.46,129.27,127.35,2510733
126.64,125.99,126.87,124.4575,2597804
124.67,126.68,126.78,124.52,2590755
127.15,128.56,128.94,126.96,2038589
