Open, Close, High, Low, Volume
39.46,39.1,39.9,38.94,1437964
39.08,38.31,39.21,38.07,1062540
38.48,38.55,39.02,38.22,1099849
38.82,38.15,39.35,37.75,1461810
38.14,37.54,38.53,37.24,1786324
37.42,36.73,37.85,36.68,1654014
36.66,35.84,36.76,35.78,599088
35.84,37.03,37.05,35.3,1068153
36.24,37.43,37.43,36.1216,831589
37.59,37.32,37.77,37.09,739435
37.45,37.63,37.8358,37.39,556824
37.12,37.83,37.97,36.86,713402
37.61,36.615,37.61,36.58,1139663
37.1,38.13,38.17,36.83,2830672
38.28,38.555,39.02,37.97,1361938
38.99,39.64,39.7,38.62,1195570
39.89,40.2,40.48,39.76,942290
40.05,40.48,40.73,39.82,1421954
40.12,40.425,40.51,39.87,1050735
40.15,40.4,40.525,40.02,759015
40.5,40.26,40.56,39.92,844846
40.28,40.18,40.42,40.09,937478
39.95,40.365,40.765,39.87,1651551
40.68,41.13,41.42,40.54,2148967
40.9,40.09,40.9,39.8604,1049242
40.29,40.21,40.63,39.81,1339313
40.15,40.405,40.69,40.02,2115537
40.95,41.07,41.39,40.66,1425691
40.69,40.54,40.785,40.33,1685668
42.1,40.95,42.6738,40.91,2194172
41.45,41.21,41.46,40.82,2037511
41.21,41.13,41.26,40.49,2037994
41.28,41,41.74,40.93,1370146
40.98,41.21,41.21,40.68,1226936
41.1,41.48,41.49,41.05,1288863
41.45,41.47,41.71,41.35,1074726
41.26,40.88,41.41,40.58,644297
40.78,41,41.14,40.45,840956
41.12,41.1,41.28,40.96,932204
41.38,41.74,41.98,41.37,866641
42.01,42.25,42.31,41.92,973426
42.04,41.82,42.21,41.77,745039
42.16,42.69,42.71,42.12,1116452
42.65,42.54,42.91,42.3263,1023567
42.74,43.05,43.07,42.53,683914
43.38,43.29,43.635,42.56,1152005
43.26,43,43.41,42.98,492612
43.01,43.07,43.179,42.68,524678
43.08,42.53,43.08,42.5,1052957
42.71,42.69,42.98,42.44,886222
42.88,42.87,43.1,42.44,1217047
