Open, Close, High, Low, Volume
89.41,89.32,89.94,89.01,351561
89.33,88.99,89.33,88.2,178856
89.19,89.51,89.83,89.08,426842
89.5,88.24,89.9,88.07,313031
88.22,86.58,88.54,86.57,300177
86.59,85.79,86.73,85.785,448567
85.24,85.22,85.67,84.81,463640
85.33,85.16,85.57,85.08,269660
85.14,84.29,85.56,84.26,356135
84.47,84.61,84.9376,84.29,211507
84.93,85.19,85.24,84.45,267022
85.33,85.18,85.5,84.88,326925
85.3,83.95,85.55,83.74,431244
83.08,83.12,84.26,82.79,725143
82.95,82.5,83.51,82.33,474445
82.69,82.4,82.77,82.02,636261
82.39,83.03,83.04,82.2093,343840
82.92,82.03,83.18,81.97,376362
81.67,80.58,81.81,80.525,298373
80.38,79.92,80.88,79.69,285796
79.79,79.2,80.13,79.11,463763
79.46,78.87,79.885,78.5452,548247
79.08,79.55,79.82,78.56,683544
79.62,79.21,79.775,78.76,441395
79.37,79.09,79.92,78.95,546968
79.56,78.96,79.7375,78.83,476354
78.88,79.9,80.39,78.81,530423
79.95,80.21,80.59,79.61,814013
80.13,81.07,81.19,80.084,470047
81.28,80.93,81.33,79.96,325857
80.65,79.4,80.65,79.38,354916
79.42,79.355,79.89,79.04,524507
78.86,79.96,80.05,78.31,623646
79.63,78.52,80.07,78.29,575341
77.9,77.74,78.78,77.69,418494
77.62,76.03,78.35,75.94,546582
75.27,75.17,75.71,73.81,700410
75.22,75.17,76.45,75.12,504228
74.95,74.35,76.31,74.32,570890
74.36,76.31,77.06,74.36,599445
76.29,76.7,77.11,75.61,406212
76.73,76.82,77.16,75.7746,350991
76.23,76.08,76.66,75.76,357631
76.24,78.05,78.08,76.1,359915
77.91,78.69,78.88,77.62,483923
78.2,77.21,78.705,77.01,398907
77.34,76.1,77.89,76.09,443411
76.38,76.81,77.155,75.92,649977
77.03,80.15,80.41,76.26,1590823
79.96,80.31,80.83,79.75,1381734
80.27,77.94,80.76,77.93,706942
78.02,76.94,78.39,76.93,674006
76.92,77.51,78.14,76.43,725816
77.45,76.82,78.32,76.06,498260
76.52,78.06,78.13,76.25,356068
77.91,76.3,78.31,76.02,624117
76.1,75.45,76.47,75.21,649399
76.16,75.94,76.34,75.59,554061
75.96,76.37,76.38,75.53,422615
76.42,76.34,76.72,76.08,818982
76.64,76.42,77.39,75.955,488998
76.66,76.82,77.59,76.115,571635
76.93,77.08,77.8,76.69,663175
77.11,77.9,78,76.94,694758
78.1,77.76,78.65,77.46,502423
77.75,77.99,78.22,77.4,469521
78.01,77.97,78.69,77.6,575152
78.13,78.02,80.14,77.86,851265
78.12,77.85,79.13,77.455,1082202
77.93,78.18,78.68,77.73,635808
78.16,79.39,80.11,77.79,455308
79.76,79.48,80.14,79.1955,674090
79.68,79.82,80.21,79.48,464837
79.8,78.94,80.26,78.32,587091
79.06,79.91,80.41,78.53,799285
79.96,80.05,80.18,79.13,588127
80.05,80.29,80.52,78.86,410801
80.7,79.73,80.7,79.59,562511
79.81,79.7,80.37,79.3001,414925
79.71,78.49,79.73,78.44,980875
78.4,78.5,79,78.265,537278
78.55,77.25,78.79,77.13,366324
77.47,78.13,78.38,77.47,553046
78.54,79.28,79.36,78.31,495587
79.42,80.14,80.4,78.95,478185
80.07,79.24,80.73,79.24,748275
79.14,78.69,79.23,78.21,825535
78.82,78.02,78.88,77.55,572922
78.23,78.46,78.62,77.95,590989
78.4,79.58,79.88,78.06,1030004
79.31,79.93,80.105,78.9101,832506
79.98,81.04,81.19,79.5259,632253
80.88,81.61,81.85,80.67,507698
81.36,80.51,81.61,80.34,468174
80.35,79.96,80.51,79.83,631288
80.02,79.45,80.02,78.59,922888
79.2,79.82,80.18,78.24,532514
80.3,80.19,80.73,79.84,635349
80.22,79.72,80.29,79.61,522720
80.48,78.3,80.48,78.2,685662
78.3,77.41,78.695,76.96,373011
77.85,78.14,78.21,77.55,379754
78.26,78.12,78.469,78.02,312426
78.13,78.09,78.39,77.58,378353
77.28,77.24,77.82,76.8,367030
77.39,76.98,77.91,76.6,464388
77.09,76.37,77.25,76.25,457069
76.53,76.54,76.91,75.97,431079
76.48,76.25,76.61,75.82,499028
76.52,76.675,77.07,76.23,510600
76.91,77.51,77.63,76.8,491936
77.38,78.03,78.16,77.235,296243
78.14,78.39,78.63,77.885,298507
0,78.91,80.22,0,555859
78.52,79.83,79.94,78.52,523754
79.85,79.62,80.29,79.081,422712
79.17,77.61,79.4,77.48,480603
77.59,76.45,77.8599,76.25,668953
76.46,75.71,76.53,75.57,496920
75.7,74.14,75.71,73.95,583421
74.17,74.48,75.19,73.9,529516
74.66,74.4,74.79,74.1,246604
74.39,73.57,74.71,73.4136,397706
73.5,74.58,74.655,73.4754,614266
74.56,74.35,74.8,74.1,542901
74.47,75.42,75.485,74.46,824856
75.15,76.11,76.21,74.75,929176
76.16,76.355,76.648,75.69,751563
76.73,77.69,77.93,76.68,561429
77.63,77.58,77.86,77.14,337817
77.56,77.52,78.18,77.2,300569
77.72,78.28,78.445,77.35,418750
78.68,80.02,80.1588,78.24,585172
80.01,80.32,80.98,80.01,569884
80.24,80.91,81.05,79.88,393064
80.98,80.58,81.25,80.43,457714
80.3,80.56,81.07,79.84,421129
80.79,81.42,81.51,80.57,545963
81.42,81.85,82.35,81.03,176542
81.92,82.38,82.41,81.3,299866
82.41,82.72,83.05,82.33,706095
82.87,79.48,83.04,78.89,1062146
79.24,79.9,80.2,78.661,972072
80.09,80.83,80.98,79.93,470318
80.84,80.35,81.02,80,660834
80.4,80.14,80.7,79.81,474970
80.21,80.31,80.64,79.75,509006
80.34,80.26,80.64,80.17,303567
80.34,79.99,80.52,79.58,521954
80.2,80.78,81.17,79.92,645568
80.54,79.95,80.74,79.24,459961
80,79.16,80,78.8,453974
78.89,78.97,79.22,77.56,498229
78.96,79.75,79.86,77.88,515770
80.28,80.97,81.03,80.265,424510
80.94,80.67,81.28,80.3074,316320
80.5,80.24,80.89,79.92,403283
80.02,80.43,80.47,79.54,573306
80.13,79.58,80.37,79.095,456137
79.46,80.08,80.31,79.16,504574
80.1,80.32,80.76,78.95,604940
81.56,81.13,81.7,81,803552
81.15,80.9,81.41,80.41,528330
80.57,80.88,81.25,80.29,441761
80.87,81.31,81.44,80.6,291905
81.56,81.31,82.38,81.205,366977
