Open, Close, High, Low, Volume
146.27,145.4,147.59,143.72,163938
145.84,145.4,147.55,145.01,186409
145.41,144.2,149.86,143.23,236251
143.68,144.61,146.575,142.23,303876
144.26,139.55,146.16,139.23,445154
138.3,138.51,140.48,137.6961,150520
139.99,143.95,144.17,137.02,210847
142.86,145.609,145.62,141.12,205492
146.48,147.95,149.46,145.03,223117
148.86,148.23,149.45,147.53,189250
146.65,145.51,148,145,200813
146.99,144.11,146.99,141.825,181805
145.82,149.15,149.8851,145.09,130880
149.68,150.33,151.4268,148.605,115657
151.01,149.82,151.0605,149.02,130354
150.17,153.6,154.87,149.75,123277
152.68,152.76,153.6,150.81,105565
152.8,151.67,153.37,151.55,132014
151.37,151.47,153.12,150.99,111251
150.98,149.54,152.05,148.18,158573
149.73,148.35,150.12,147.95,215432
147.61,150.74,152.66,147.61,198862
151.03,152.54,154.38,150.27,235438
151.71,151.49,153.18,149.78,215847
152.79,152.17,154.6,150.53,153789
152.35,152.75,153.82,150.86,112791
153.78,150.5,153.96,150.2,125583
149.67,151.45,152.52,149.67,101418
151.99,151.31,152.03,149.91,92960
151.38,150.74,152.635,149.76,293844
150.71,149.94,151.655,148.89,163168
149.57,151.58,151.76,147.76,258153
151.75,154.93,154.93,150.895,133651
154.84,156.95,157.81,151.2102,161843
157.06,155.66,159.9899,154.89,97523
154.64,156.4,156.48,154.45,105568
155.81,156.25,157.23,155.29,132465
157.24,155.28,157.32,152.9,335645
156.56,158.77,158.82,154.64,134776
158.99,157.925,159.85,155.55,174074
151.51,150.57,153.61,148.36,686631
150.62,151.905,151.92,148.9,373365
154.51,152.71,154.51,151.81,209869
152.27,155.39,155.82,150.15,162109
159.83,158.73,159.83,157.445,245563
158.31,160.11,160.29,158.02,218699
159.73,161.39,161.83,158.792,248591
160.87,160.66,161.9999,160,187142
160.14,159.67,161.315,158.845,158277
160.53,159.22,161.26,158.2958,155240
159.67,159.13,160.95,157.4,112197
159.24,159.81,161.09,158.34,227817
159.32,157.86,161.72,157.59,192754
157.53,156.86,158.78,156.1,212293
155.8,156,156.23,154.1625,146219
156.26,158.63,158.8,155.72,223269
158.57,159.03,159.7,157.32,134620
158.47,160.5,161.22,158.27,178033
159.85,158.86,160.16,158.595,171117
159.42,156.94,159.9025,156.5,272674
157.28,158.83,159.02,156.68,325625
159.81,157.99,160.4499,157.675,145746
157.96,157.19,158.29,156.58,129104
