Open, Close, High, Low, Volume
115.74,115.87,116.25,115.34,1772803
116.08,116.27,116.96,116.02,975054
116.31,113.83,116.62,113.26,1299419
114.7,115.08,115.49,114.31,1855032
115.62,116.14,116.53,115.36,810637
116.68,116.3,116.93,116,809243
116.38,116.16,117.19,116.11,561809
116.33,116.17,116.89,116.04,376612
116.42,116.19,116.5799,115.9,375773
116.4,116.27,116.459,116.08,340329
116.46,116.46,116.63,116.02,348011
116.69,117.15,117.17,116.23,369446
117.34,116.83,117.68,116.82,494108
116.98,117.99,118,116.81,644263
118,118.18,118.81,117.14,667681
118.66,117.46,119.76,117.32,803713
117.74,118.9,119.05,117.49,698121
119,118.65,119.185,118.49,843517
119.05,118.23,119.175,118.15,650770
117.97,116.59,118.33,116.31,906797
116.69,117.55,117.86,116.12,957064
118.01,118.14,118.595,117.67,984285
118.56,116.6,118.99,116.17,1769031
116.6,114.51,117.04,114.28,3236636
115.75,118.42,122.0697,115.155,2911294
118.05,118.44,119.13,116.53,2154813
118.26,116.76,118.66,116.36,1205682
116.51,117.27,118.11,116.51,1280573
117.54,119,119.12,117.35,1462144
119.76,120.24,120.775,118.97,1924645
120.5,121.47,121.5,119.62,1137345
120.91,119.58,121.65,119.38,905909
119.2,118.36,119.66,117.78,798023
118.87,118.75,119.07,118.2,805575
118.16,117.64,118.77,115.57,1028734
117.28,115.58,117.455,115.51,1036879
115.29,112.01,117.12,111.62,1723947
110.33,113.98,114.2,109.6,1638861
113.86,114.14,116.74,113.48,1399901
113.84,110.33,114.2,110.27,1521769
111.76,112.42,113.2,108.74,1232069
113,113.98,114.73,112.86,874208
113.44,114.56,114.82,112.6,996602
113.85,116.36,116.82,113.47,934497
116.24,116.22,116.55,114.81,979830
115.86,116.18,117.23,115.37,718501
115.35,115.41,116.12,114.745,664233
115.48,115.61,117.73,115.32,726346
116.27,115.87,117.095,115.59,611661
116.68,117.48,117.6,115.88,510347
117.55,117.54,117.75,116.24,754131
117.75,115.27,117.88,115.27,806694
113.64,112.4,114.72,112.29,2025701
111.95,111.07,113.13,110.3,1117721
110.23,110.26,110.89,109.59,884577
109.5,112.76,113.085,109.5,1306947
113.09,115.03,116.14,112.7,1200041
113.78,115.02,115.32,113.7,978397
115.41,115.42,115.64,114.84,701011
116.21,117.64,117.74,115.95,1075348
117.65,116.46,118.62,115.6,881749
117.2,116.09,117.83,115.48,920641
116.48,115.04,116.75,114.68,732604
115.21,114.3,115.84,113.965,860591
114.29,114.91,115.21,113.85,1339555
114.42,113.2,114.86,112.62,758060
115,113.82,115.58,113.7,1082844
114,113.96,115.45,113.715,938945
113.12,111.3,113.76,111.12,898898
111.44,109.46,112.49,109.39,873606
110.62,111.91,112.1,110.01,763148
112.59,111.91,113.92,111.47,1160213
112.18,110,112.84,109.935,1518836
110.36,111.63,112.53,110.04,872946
111.55,108.24,111.58,107.04,1048026
108.5,110.17,110.43,107.79,1741582
108.26,110.79,110.89,107.95,932616
111.7,111.66,112.3,111.09,1024591
110.6,109.38,111.86,108.4,1251766
110.3,109.66,111.37,109.37,840822
110.62,110.38,111.25,109.9,997982
109.38,109.29,109.85,108.57,969374
109.75,110.03,110.43,108.63,1562590
110.65,109.98,110.93,109.56,816964
110.88,111.77,112,110.455,1372776
112.2,113.07,113.49,111.665,1167318
113.31,113.2,113.83,112.775,1570815
113.75,109.65,113.895,108.38,1929160
109.46,108.87,110.167,108.24,1406741
108.8,108.88,109.8,108.7,1057459
108.97,105.75,109.45,104.39,1891313
107.46,107.88,109.47,105.92,2042052
107.97,107.7,108.09,106.44,759626
107.31,107.98,108.34,107.2,752085
108.51,105.88,108.9,105.75,924613
105.1,106.9,106.94,104.015,1028811
107.05,105.66,107.27,105.4,1379072
105.55,104.96,106.2578,104.28,867248
104.48,106.4,107.035,104.14,863947
106.48,106.19,106.98,105.64,653039
106.07,106.67,107.16,105.95,631623
106.2,107.03,107.41,106.11,819724
107.26,106.13,107.7,105.94,1511870
105.85,100.42,106.29,100.36,6467488
101.04,102.97,102.97,100.97,2904532
102.78,103.02,103.2438,101.785,1283376
101.89,103.5,103.98,101.21,1260471
103.26,104.39,104.715,103.25,892650
104.16,104.91,105.3,104.03,971416
105.5,104.96,105.86,104.84,756539
105.03,102.86,105.2325,102.72,1269757
102.24,102.68,102.98,101.7,1019833
102.36,102.51,102.93,101.5,735490
102.5,103.4,103.51,101.67,833619
102.44,101.03,103.11,100.61,1197849
101.53,101.44,101.842,100.36,1028137
101.68,100.92,101.77,100.82,1030578
101.57,102.01,102.945,100.87,1085472
102.45,102.43,102.86,101.97,691902
102.46,102.51,102.936,101.97,512364
102.53,103.94,104.1,101.86,743751
104.19,103.06,104.2,102.41,868701
102.99,104.14,104.38,102.53,857267
103.89,103.93,104.39,103.46,775909
104,103.53,104.31,102.72,1497923
103.62,103.3,104.05,103.03,1940250
103.62,103.96,104.17,102.7,1313761
104.09,105.37,105.42,103.9,1951461
104.44,104.98,105.01,103.76,1498422
104.05,104.11,104.29,103,2131724
104.01,105.15,105.26,104.01,1429756
104.81,104.25,104.81,103.59,2405229
104.65,105.46,105.86,104.5,1216610
105.11,105.09,105.18,104.5,2283271
105.51,105.85,106.73,105.29,1538056
106.27,105.16,106.34,104.99,1785233
105.5,105.72,106.94,103.9,1981471
105.69,103.74,106.03,103.67,2271288
102.72,102.7,103.3799,101.17,1836730
102.88,102.09,103.83,101.87,560883
101.95,102.82,102.89,101.615,980680
102.36,102.97,103.34,101.88,695295
103.22,103.93,104.165,103.09,915261
104.12,104.79,104.87,103.71,1040960
103.91,103.76,104.79,103.34,1293618
104.44,103.83,104.44,103.3,1061494
103.41,103.99,104.145,102.9,1312360
103.85,102.36,104.03,101.91,1692893
102.35,105.42,105.66,102.08,1722956
106.33,106.81,107.46,105.6201,2403458
106.75,106.39,107.02,103.34,1957256
105.88,105.01,105.94,104.8,1046441
104.38,104.4,105.05,103.85,1405538
104.78,106.04,106.53,104.38,842911
108.01,109.28,109.61,107.39,1563696
109.36,110.66,111,109.14,1118903
110.27,109.45,110.485,108.53,883067
109.57,109.75,111.04,109.05,1129472
109.87,110.65,110.84,109.425,707227
110.25,109.73,111.16,109.68,818031
109.32,109.33,109.86,108.64,737542
109.93,110.95,111.06,109.661,657146
110.37,110.31,110.84,109.71,511015
110.55,109.97,110.83,109.84,391797
110.16,109.24,110.16,108.58,484464
108.81,109.21,110.02,108.1,765929
108.68,107.46,108.99,107.37,375375
107.29,106.07,107.635,105.59,891984
106.06,106.84,107.21,106.06,453238
106.52,107.03,107.2,105.44,869178
107.85,107.9,108.47,107.37,930034
108.02,108.42,108.75,107.4754,413847
108.85,109.76,110.49,108.49,996264
109.98,111.07,111.81,109.6951,1230781
111.04,110.61,111.33,110.27,989133
110.26,109.77,110.802,109.65,933097
110.24,110.62,110.83,109.74,599136
110.78,111.13,111.45,110.56,775347
111.36,109.86,111.36,109.62,874932
109.99,111.68,111.82,109.38,923438
111.34,110.65,111.34,110.21,627028
110.37,110.55,111.27,109.85,593369
110.5,109.9,110.57,109.07,648790
109.34,110.6,110.99,108.76,1252513
110.95,112.01,112.21,110.53,768159
111.42,111.52,111.87,110.57,601621
112.12,112.1,112.53,111.435,715289
111.65,112.59,113.1,111.34,888789
112.4,112.04,112.574,111.52,789053
112.91,112.94,113.79,112.34,699106
112.82,112.15,113.25,111.52,901095
112.28,112.99,113.41,111.895,1044424
113.48,113.27,113.75,112.52,661955
113.66,115.06,115.22,113.28,1092613
115.6,115.93,116.5,115.21,890440
116.51,115.91,116.7299,115.72,1522033
113,112.69,114,110.25,1829271
113.02,111.54,113.14,110.96,1160907
111.51,110.4,112.16,110.19,1003732
110.39,108.97,110.39,108.92,1313559
108.79,109.12,109.16,107.12,1619251
109.66,109.75,110.33,109.33,980626
109.88,110.2,110.72,109.85,857412
110.65,108.74,111.39,108.59,1710229
108.2,108.45,108.9,107.43,930871
108.37,108.0203,108.895,107.68,539763
108.02,109.58,109.76,107.81,795392
100.07,98.56,101.92,98.31,9059334
101.18,99.6,101.54,97.59,3943755
99.66,96.39,99.81,96.11,1835578
97.24,95.11,97.99,94.4,1638157
94.84,96.15,96.67,94.37,1389305
96.62,98.16,98.335,95.97,1303928
97.97,98.12,98.56,97.31,1531682
99.23,99.03,100.62,97.4,2520997
100.36,101.39,101.82,99.77,2614431
101.61,101.66,101.83,99.82,1798974
100.11,100.63,101.12,98.29,1884297
99.9,97.75,100.58,97.54,1634004
102.94,103.71,104.13,100.34,3271950
102.58,102.84,103.95,101.07,1911546
105.05,102.87,105.91,101.41,1593165
102.98,104.22,104.6083,102.115,2140592
105,105.15,106.48,104.24,1487086
105.09,106.74,107.38,105.09,1011135
106.87,106.9,107.98,105.61,778968
106.85,106.33,107.22,105.95,996592
106.66,107.36,107.43,106.28,535713
108,109.54,109.57,106.61,821026
108.52,108.68,108.95,105.72,611220
108.2,107.71,108.59,106.36,605692
107.7,105.42,107.92,105.23,1588557
105.64,104.32,105.98,104,2376767
105.2,105.37,106.68,104.68,1058836
104.69,107,107.73,104.01,1122985
106.62,107.22,108.02,105.8486,1195905
107.36,107.7,108.71,106.85,1106084
106.34,105.91,106.68,104.86,1167323
106.6,106.76,108.39,106.34,550359
106.07,107.27,108.08,105.99,330428
108,107.36,108.14,106.83,762285
106.72,105.8,107.29,105.44,795718
106.05,107.68,107.72,104.51,804817
108.28,108.52,109.42,107.755,978014
108.24,109.34,109.99,108.24,1129446
110.38,110.56,111.42,109.32,824515
110.42,106.71,110.73,106.54,1080587
105.44,105.79,105.82,103.2001,1232577
106.17,103.23,107.54,102.6,1026900
103.13,103.45,103.83,101.12,790482
105.15,103.08,105.75,102.6,733668
104.02,103.5,104.8,103.42,647525
103.65,100.865,104.15,100.48,1270528
99.94,100.16,100.83,97.5801,2085380
100.03,97.11,100.49,96.57,1244890
97.8,96.71,98.67,96.27,1314173
97.93,96.44,99.67,95.82,1513109
97.48,97.05,98.94,96.05,1444156
97.36,96.32,99.52,96.28,1647105
96.04,95.57,98.09,95.35,870946
95.84,99.25,99.2999,94.41,934223
98.29,101.39,101.43,98,1118374
101.69,101.22,102.75,100.63,936826
101.82,101.65,102.91,101.23,696139
101.03,101.62,102.2,100.45,851565
101.29,98.07,101.39,97.59,949074
97.5,99.88,100.74,96.82,1308308
99.87,100.33,101.71,99.04,1016741
100.74,101.1,101.635,99.515,1382552
101.34,101.51,101.79,100.245,871387
101.25,102.66,102.71,100.605,799401
101.91,101.79,102.38,101.5,903390
101.29,101.92,102.6,100.94,734721
100.06,100.93,101.82,99.41,2345828
101.38,102.45,103.5,100.8722,2257279
103.37,107.12,107.48,103.29,3324288
106.21,105.46,107.2,104.36,2035620
104.87,103.91,105.35,103.4,1132822
104.31,102.02,104.82,100.9,2037081
101.77,102.09,102.64,101.36,897775
103.35,103.63,104.03,103.14,973807
102.89,103.65,103.83,102.5097,675431
103.76,104.49,104.53,103,996118
105.07,105.09,105.92,104.07,841421
104.33,105.65,105.88,103.97,809438
105.64,105.72,106.45,105.03,783342
105.66,106.285,106.45,104.73,848897
106.74,106.92,107,105.59,872006
106.51,106.06,106.76,105.6,756381
105.64,104.85,106.06,104.42,770296
104.46,104.55,104.85,103.3601,641751
105.09,104.85,105.41,104.53,461312
105.48,107.645,107.65,105.15,938937
108,107.98,108.9199,107.31,812310
107.2,107.38,108.1,106.035,719696
108.4,109.19,109.21,107.68,878610
109.53,110.14,110.29,108.93,613072
110.85,111.43,111.6,110.43,717188
112,112.32,112.7,111.28,879059
112.01,111.45,112.31,111.44,666114
111.25,112.17,112.5,110.91,510034
112.19,111.96,112.19,111.3,520082
112.73,112.78,113.3095,112.07,671687
113,111.36,113.03,109.97,833060
111.32,110.77,111.78,110.71,498984
110.83,110.56,111.44,110.1924,528663
110.4,109.89,110.5,108.59,882896
109.01,109.63,109.66,107.83,844007
110.03,111.29,111.31,109.73,710475
110.3,111.15,112.045,110.3,841717
111.59,111.32,111.92,110.41,1303542
111.04,109.68,111.12,108.99,1110792
109.62,110.02,110.06,109.14,795952
110.28,110.95,111.045,109.65,1086697
111.73,110.91,111.75,110.4,1079981
110.85,110.86,111.48,110.26,1127741
110.61,112.64,113.22,110.5111,745416
110.4,106.685,110.76,106.48,2380573
107.04,107.05,108.03,106.55,1385442
107.7,108.37,108.52,107.37,1023672
108.61,110.09,110.52,108.33,1517100
110.79,111.72,112.09,110.52,1363999
112,112.87,113,111.93,1093182
113.62,114.24,115.095,113.43,565930
114.43,114.25,115.26,113.52,835661
115.25,114.57,115.71,114.16,1042060
115.34,115,115.99,114.55,1197680
115.08,114.97,115.64,114.62,681444
114.78,114.38,114.89,113.77,831092
113.83,114.31,114.84,113.35,655468
114.66,114.91,115.24,114.46,696084
114.9,114.54,115.27,114.25,590988
115.4,115.6,115.775,114.59,739569
115.87,116.48,116.57,115.48,952805
116.9,118.4,118.43,116.63,1447892
118.7,117.38,118.77,117.17,1491467
119.78,119.86,121.29,119.22,3136845
118.65,117.2,119.2,116.87,1381671
117.33,117.59,118.5,116.38,1514764
117.73,116.63,118.1,116.49,832774
116.31,115.56,116.31,115.09,703043
116,117.81,118.05,115.28,776280
117.99,117.09,117.99,116.98,638467
117.14,117.5,117.72,116.29,553642
117.97,115.47,117.97,115.4,664999
115.12,116.75,116.77,114.82,674163
117.26,117.61,117.8,116.68,478026
116,116.29,116.51,115.06,586136
115.04,114.45,115.37,113.76,988024
114.08,114.01,114.64,113.45,593738
112.77,112.89,113.46,112,848744
112.55,112.27,112.95,110.3,1129190
110.55,111.25,111.865,110.045,962494
111.41,111.59,112.3,110.88,528146
111.17,111.95,112.53,110.9,954981
112.66,112.97,114.02,112.19,949099
111.96,111.76,112.53,111.37,1182959
110.87,107.7,111.28,107.45,1490004
107.43,108.99,109.17,106.68,1450721
108.29,108.48,108.68,107.6,942092
107.91,106.82,107.95,106.23,1150420
107.87,107.78,107.91,106.64,781259
107.51,107.48,108.35,107.34,757487
107.1,107.18,107.61,106.33,873535
107.16,107.24,108.11,106.96,347283
105.93,104.65,106.33,104.57,1002708
109.08,111.68,111.72,108.73,1421805
112.38,112.35,112.77,110.2,1748345
112.91,113.01,113.23,112.12,1896716
113.56,113.99,114.57,113.13,1558877
114.66,114.34,114.695,113.49,1111187
115.33,116.86,117.345,115.33,1095842
115.41,116.99,117.39,115.41,489038
117.19,116.94,117.59,116.24,468940
116.84,116.55,116.84,115.91,557990
116.82,114.94,116.82,114.78,692440
115.5,114.7,115.76,114.47,924414
115.18,115.66,116.04,114.33,1010532
117,115.21,117.35,114.5,1293230
115.43,116.04,116.09,114.54,1446744
116,116.87,117.37,115.9527,763343
117.02,116.24,117.07,115.5,593905
116.19,115.53,116.6,115.29,579857
116.21,115.91,116.53,115.73,469609
116.21,116.67,116.83,115.68,778665
117.66,118.63,118.68,117.11,589202
118.88,118.09,118.88,117.28,600162
117.81,119.05,119.1,117.81,337918
118.12,117.97,118.21,117.05,471194
