Open, Close, High, Low, Volume
199.12,203.47,204.07,198.86,1438360
203.51,199.55,204.3,199.16,1386814
200.65,204.17,205.16,200.65,1402181
203.86,203.26,205.61,202.25,1018416
202.65,202.91,205.16,201.0635,1156071
203.89,203.35,209.33,202.27,1917449
203.05,196.79,204.01,196.63,747110
196.75,200.44,200.67,195.73,908055
200.4,201.69,201.87,195.7,746168
202.86,202.14,205.09,201.07,995760
202.19,202.195,202.8,200.11,947395
200.9,194.73,201.2,193.89,1078104
195.12,198.65,200.66,195.07,972301
198.43,196.41,200.35,196.13,828791
196.4,195.93,198.425,195.13,601400
195.57,199.3,199.46,195.57,867994
200.6,198.11,200.6535,196.36,613065
198.63,200.99,202.32,198.3,737391
200.99,200.47,201.99,200.1,550000
200.83,200.95,203.11,199.76,595104
201.3,203.94,204.2,201.11,376552
203.39,204.2,204.83,201.6175,424426
203.97,204.88,205.32,202.85,356068
205,202.59,205,202.42,542667
203.37,201.21,203.495,199.91,789569
201.14,201.61,201.98,198.42,781242
202.23,202.64,204.615,201.2615,509205
202.84,205.445,205.68,202.84,719431
205.95,208.11,208.49,204.67,815737
208.54,210.24,210.29,207.53,641402
209.64,210.03,211.97,209.35,557788
210.07,212.64,212.67,209.16,621191
212.53,209.725,213.1444,207.52,513219
208.98,209.14,209.81,207.93,698035
209.18,209,209.48,207.43,991766
209.51,208.56,209.51,207.75,756035
208.54,209.67,209.98,207.5241,1175113
209.73,210.26,212.5,209.25,963700
210.04,210.2,211.14,209.49,577297
210.23,207.71,210.32,207.39,864072
207.3,207.98,208.595,206.195,495386
208.31,208.17,208.92,206.7,353384
208.98,207.68,209.04,207.18,447987
207.81,205.67,207.81,204.31,752284
203.1,200.49,203.52,199.53,1174246
200.83,201.14,202.53,199.81,703607
201.36,201.4,202.01,199.5875,871250
201.93,202.81,203.21,200.77,730069
203.2,209.63,210.45,202.68,1769965
209.51,211.43,213.05,208.65,1406639
211.04,212.03,212.75,209.25,857918
212.53,212.35,212.9,209.47,856069
211.58,213.16,213.93,211.58,514008
213.45,213.23,214.448,212.3,674187
213.84,214.17,215.07,213.42,842490
214.53,214.3,215.9895,212.97,924337
214.73,218.84,218.87,214.73,870237
217.52,218.25,218.78,216.63,1216501
218.74,219.17,220.26,217.93,699001
219.75,218.53,220.135,218.29,1343047
217.43,217.54,218.12,215.99,738746
217.32,217.74,218.32,216.55,779391
216.78,217.48,217.61,216.34,667128
217.83,218.8,220.3,216.57,1024486
218.78,222.02,222.12,218.06,676349
222.44,222.14,226.06,222.015,798790
222.63,224.24,224.95,222.14,673668
221.01,220.2,222.375,219.67,953731
220.12,219.18,220.77,217.77,1121830
219.66,219,220.35,218.65,816048
219.02,217.79,219.43,217.53,758749
217.35,218.31,218.54,216.1,422721
218.55,219.43,219.63,216.4874,623127
219.27,218.85,220.14,216.99,483278
219.49,217.69,219.49,216.95,523236
217.57,218.56,218.73,217.2,570348
218.42,218.05,218.45,216.655,436401
220.09,219.41,220.805,219.01,608326
220.38,219.5,220.38,218.47,403815
219.56,219.65,221.06,218.6,338173
219.11,221.75,221.79,217.87,458415
222.01,220.53,222.48,219.34,415073
220.64,217.44,221.23,216.19,576819
217.91,216.72,218.08,215.75,469139
217.02,217.46,218.44,216,632889
216.9,214.31,217.085,212.65,805312
215,215.96,216.31,213.97,721407
216.76,218.18,218.62,215.68,478114
217.33,216.77,217.605,215.85,688408
217.57,218.91,219.565,216.15,620814
218.68,217.16,219.93,216.74,577505
217.41,221.16,221.83,215.28,808695
220.95,221.98,224.64,220.42,746809
222.57,226.75,228.685,222.23,951687
227.5,226.76,228.41,225.51,412094
225,226.87,228.12,223.89,601561
226.89,222.64,227.08,221.19,579193
225.83,222.23,226.73,221.96,773943
222.8,222.89,224.05,221.55,873068
223.48,225.45,225.95,223.33,622637
224.87,228.7,229.04,224.76,675050
228.12,227.79,229.52,226.78,530265
227.57,228.5,229.71,226.99,521315
228.32,228.97,229.27,227.59,477110
228.57,230.08,230.38,227.72,421708
230.5,230.51,231.91,229.8,617332
229.92,230.93,231.88,229.78,352249
231.38,231.88,232.78,230.42,322674
231.78,234.44,235.54,231.61,554146
235.29,236.33,236.97,235.29,468573
237.5,233.31,237.96,233.3,374036
233.84,231.34,234.39,230.409,530927
231.67,233.26,233.83,231.67,414738
233.31,237.86,238.5437,233.31,827180
238.17,239.93,240.5,237.5,848592
239.05,237.74,239.82,235.83,1004465
238.82,244.89,244.93,237.72,1183965
244.54,244.67,245.43,242.67,576638
245.87,245.27,247.63,244.94,521109
245.4,243.69,245.4,242.06,620103
242.62,240.84,242.92,238.91,569359
242.01,241.89,244.265,241.2,347155
241.72,242.25,242.46,240.475,337966
242.15,243.31,243.87,241.1,343566
243.91,244.19,245.37,242.83,479490
244.93,241.49,246.09,240.02,574870
241.25,242.31,243.33,237.965,550246
243.35,242.48,244.82,242.21,415135
241.79,240.49,241.79,238.86,714685
241,239.85,241.8,239.27,548355
240.84,238.39,241.42,238.105,512980
238.05,234.04,238.235,232.38,581394
234.96,237,237.09,234.96,412396
237.45,238.1,239.52,237.07,563406
239.37,236.46,239.37,233.77,545723
238.5,242.58,244.15,238.5,1358199
243.61,247.58,247.92,243.04,827021
245,245.24,247.17,242.35,686183
245.57,246.665,248.09,244.85,774379
247.16,247.51,248.37,246.34,548406
248.24,249.57,249.89,246.655,581030
248.96,248.62,250.39,246.925,777713
249.22,248.68,249.375,247.39,351088
