Open, Close, High, Low, Volume
89.84,89.28,90.88,88.97,2137544
89.21,88.79,89.86,87.62,2131742
88.32,86.819,90.08,86.47,2528840
86.82,85.85,87,84.87,3804995
86.31,84.7,87.21,84.29,2130834
85.27,85.14,88.2,84.16,2901550
84.38,82.76,86.44,82.34,3557859
82.46,82.39,84,81.64,3367532
81.59,78.54,81.75,78.44,2105977
79.01,84.185,84.25,78.93,2863284
82.95,85.86,85.86,82.7,2290171
86.25,84.9,86.88,84.47,1872971
85.43,85.7099,86.26,84.61,2191452
85.32,87.99,88.44,85,2680302
88.18,87.02,88.46,85.1,2579948
88.45,90.87,91.145,87.945,2416569
90.61,91.565,92.46,89.56,2109158
92.29,91.43,92.57,90.17,1786670
92.3,91.91,92.59,90.321,2240105
91.75,92.83,92.97,90.37,1776781
92.25,92.57,93.69,91.87,1825120
91.79,92.95,93.15,91.32,1699224
93.46,92.38,93.73,91.94,1580641
92.12,92.91,93.37,91.86,1594563
92.54,93.43,94.13,92.3146,2392478
94.32,95.28,95.755,92.9,2875179
94.61,92.96,95.4,92.91,1921215
93.29,92.8,93.79,92.21,1854401
92.5,91.585,93.03,91.365,1992806
92.25,92.95,93.62,91.61,1514363
92,92.78,93.05,91.91,1398707
92.73,93.34,93.69,91.89,1462263
94.04,94.55,95.25,93.645,2018221
96.1,95.51,96.6,95.07,2723244
95.57,94.21,95.95,93.41,2213162
93.8,94.685,94.695,93.205,1658978
94.76,94.985,95.535,94.4,1731097
94.65,94.365,95.44,94.36,2042121
94.41,91.82,95.21,91.36,2325765
94.92,93.41,95.17,91.72,3781043
92.99,94.29,95.35,92.87,3445015
95.25,93.97,95.49,93.91,2117134
94.27,96.26,96.325,94.09,2138847
95.57,95.71,96.23,95.09,2300430
96,95.94,96.75,95.21,2110407
96.75,97.47,98.13,96.07,2713165
97.28,96.82,98.27,96.4,1674410
97.78,97.34,98.1,97,1688321
97.15,97.28,97.7,97.01,1283216
97.33,97.84,98.29,97.18,1855614
98.1,97.65,98.84,97.33,1630627
97.93,96.36,98.06,95.9377,1729741
96.82,97.48,97.86,96.46,2180439
98.41,97.28,98.41,95.65,1835581
97.47,97.44,97.89,96.82,1953748
97.46,97.6,98.76,97.04,2182236
97.58,96.44,97.71,95.89,2021962
95.26,94.32,95.45,93.84,2292189
95.14,96.68,96.8,94.82,1928028
97.04,97.4,98.24,96.75,2121298
98.05,98.08,98.3455,97.38,1821156
98.25,98.44,98.67,97.65,1384718
99.235,98.51,99.37,98.46,1542015
98.6,98.73,99.27,97.75,2002556
100,98.91,100.41,98.56,2224779
98.64,98.17,99.31,97.845,2313113
98.04,98.55,99.14,97.87,1707152
97.72,95.98,97.98,95.48,1543328
95.76,95.84,95.97,94.93,1192662
96.66,98.02,98.31,96.66,1859921
97.75,97.28,98.29,96.97,1465535
96.81,95.67,97.27,95.1601,2088096
96.61,95.17,96.91,94.48,1837817
96.01,95.05,96.29,94.7337,1284934
95.34,94.53,95.78,93.87,2273900
94.96,95.05,96.37,94.83,1811633
95.56,96.86,96.87,94.57,1901910
96.84,97.79,98.12,96.325,2137529
97.88,98.27,98.86,97.21,1441044
97.64,97.41,98.24,96.96,1617928
97.9,98.61,99.34,97.64,1393241
98.77,98.51,99.66,98.16,1326875
99.56,97.19,99.73,96.96,1856580
96.84,96.24,97.16,96.04,1668761
96.15,95.99,96.36,94.62,1577984
96.66,96.44,97.205,95.94,1408980
96.46,95.44,96.75,94.85,1612640
96.19,97.2,97.38,95.828,1582255
97.38,97.4,97.92,96.59,2210924
97.36,94.28,97.36,94.04,2503502
94.15,95.22,96.04,93.53,2480823
94.85,94.905,95.53,94,1763046
95.25,95.35,95.92,94.88,2346308
95.5,94.25,96.64,93.65,2751957
94.25,91.85,94.89,91.78,2668973
91.75,89.11,91.96,88.87,3110793
89.89,89.56,90.57,89.53,2133379
88.32,87.04,88.698,86.98,2824161
86.4,86.57,86.66,84.85,3083045
86.67,85.91,87,85.48,2482230
85.46,85.75,86.0643,83.72,3113137
85.76,86.65,87.12,84.55,2432071
85.6,85.8,86.605,84.73,2561352
86.14,86.94,87.4,86.05,2103571
86.71,87.31,87.65,86.15,1792752
87.5,88.29,88.765,87.495,2235770
86.56,84.81,86.74,84.72,2225157
84.63,84.5,85.67,84.3,1858977
84.7,86.18,86.6,84.68,1968359
85.73,85.6,86.29,85.3,1710340
84.3,82.29,84.35,82.01,2547351
83.01,82.96,83.72,82.24,1886353
82.93,82.49,83.26,82.36,1747870
81.76,82.73,82.79,81.55,1950660
82.42,82.06,83.015,81.325,2125317
80.74,80.8,81.77,80.24,2208229
80.92,82.19,82.27,80.6,2633909
83.17,84.12,84.24,83.13,2257462
84.67,84.82,84.88,82.8,2629948
84.77,84.92,85.95,83.92,2381895
85.35,85.51,85.94,84.48,1943938
85.8,85.88,86.77,85.67,1988399
86.56,84.71,87.1851,84.71,2165367
84.34,83.27,85.405,82.94,2677180
84.09,85.28,85.74,84.02,1806203
85.22,85.62,85.88,84.6,1414801
85.49,85.91,86.49,85.49,1594188
86.34,86.79,87.71,86.34,1813610
86.92,87.6,87.98,86.35,2379767
89.07,90.83,91.28,88.6,3266905
91.4,90.63,91.92,90,3723550
90.36,89.78,91.24,89.34,1754603
89.42,89.89,90.6,89.06,2199235
91,92.78,93.51,90.53,3168239
92.66,91.76,92.95,91.54,1720736
92.23,93.49,93.64,92.06,2011074
94.86,94.05,95.325,93.62,1955584
93.72,95.74,96.15,93.06,3690043
96,97,97.04,95.86,1545138
96.68,96.83,97.35,95.68,1591569
96.55,97,98.5425,96.55,2104218
96.99,97.71,98.34,96.59,1815810
98.22,98.12,98.96,97.51,1558915
98.66,99.61,99.65,97.96,1962430
99.25,100.33,100.645,99.25,1452135
100.35,101.02,101.15,99.39,2097795
101,101.37,101.77,99.81,2011187
101.39,100.77,102.04,100.28,1774163
100.2,101.92,101.93,99.83,2051289
102.33,101.98,102.87,101.8,2687534
102.61,102.55,103.15,101.53,1746471
103,102.31,103.255,101.98,1560430
102.04,102.43,102.82,101.36,2295532
102.71,101.53,102.84,99.98,3008106
102.35,102.35,102.64,100.47,1916138
101.91,102.8,103.22,101.33,1655176
