Open, Close, High, Low, Volume
157.68,155.83,157.99,155.47,884687
156.29,159.31,160.41,155.55,941037
160.28,160.14,161,158.8,947133
161,167.21,167.33,159.26,1443614
167.2,168.82,169.45,165.68,1014562
169.37,171.16,173.72,168.62,927747
171.75,174,174.59,170.521,1159778
174.12,172.42,174.24,171.49,643499
172.5,172.581,173.185,171.17,432735
173.46,172.85,174.11,171.774,507414
174.3,172.9,175.45,172.29,1298804
174.36,176.33,178.195,173.15,2699152
176.86,177.31,177.91,174.91,1247379
176.39,176.41,176.88,174.89,885001
176.13,178.53,179.28,176.13,1180989
178.88,177.96,179.85,177.75,1048757
178.46,178.74,180.36,177.76,1091671
179.58,184.17,187.54,178.67,2184929
184.07,186.15,187.18,183.06,930039
186.5,182.51,186.79,182.45,1016161
182.62,184.35,185.63,180.97,963900
184.5,184.38,186.755,183.2501,741107
183.86,183.15,184.34,182.2884,986402
184.42,186.26,186.51,183.394,1186894
186.79,186.04,187.27,184.41,1161123
184.88,188.39,188.89,184.66,1442517
189,188.51,189.95,186.6716,1257249
188.31,188.36,188.87,187.06,911333
186.95,187,189.5494,186.09,798410
185.01,182.57,185.69,181.65,1545002
183.04,182.96,185.18,181.97,1044769
183.3,186.55,186.61,181.57,888930
184.29,178.72,184.71,177.51,1674700
177,171.82,180.72,170.33,1766949
168.44,173.82,174.5,166.21,1992494
181.78,176.22,184.67,175.65,2911160
176.97,169.14,178.96,169,2232719
170.69,165.06,171.65,159.44,2094878
168.02,171.04,173.65,167.36,1422492
170.51,172.17,172.72,169.46,843588
170.7,179.49,180.45,169.96,1115103
179.45,179.6,179.91,174.51,1020145
179.11,178.84,180.54,178.075,717813
179.5,178.25,180.6497,177.49,703872
178.03,174.7,178.88,174.7,830361
175.96,177.43,179.76,175,780699
178.39,179.98,180.02,177.38,1039670
181.06,179.7,181.38,178.49,831622
179.33,174.62,180.07,174.4801,1018239
175.52,170.23,177.375,170.21,1404762
170.86,169.08,172.41,166.59,1480505
167.63,168.86,169.73,164.6,1441643
168.35,171.69,172.34,167.8,956882
172.73,169.96,172.795,169.55,1050072
168.4,170.16,171.5,167.08,1135876
170.87,167.71,171.85,167.31,783587
169.65,171.52,171.66,169.33,723916
171.58,171.19,172.5,169.76,453377
172.58,169.56,172.58,168.71,562068
169.84,169.04,170.36,168.53,562539
170.4,166.54,171.17,165.34,689674
166.76,169.3,170.49,166.52,729558
168.65,166.23,168.69,165.28,620252
167.68,169.87,170.42,167.09,767718
170.7,175.4,176.58,170.42,1273515
172.99,172.34,174.74,171.72,638276
174.22,172.48,176.98,172.2,1087158
173.84,175.57,176.02,172.29,839976
176.44,171.74,176.89,170.62,768951
171,167.5,171.61,167.04,1428319
168.97,171.76,172.15,168.48,1467984
170.9,166.89,171.64,163.25,966941
167.98,169.45,170.08,164.61,818471
166.55,169.28,169.35,164.94,802908
170,172.42,174.31,169.65,922796
171.02,168.13,172.135,164.61,1206763
169.06,169.37,172.65,168.51,861532
171.73,178.32,179.77,171.15,1509684
177.58,181.78,182.08,177.13,1087468
183.36,182.62,185.04,180.59,1183148
183.52,188.39,188.85,182.76,1398613
190,191.12,191.89,187.12,1168748
192,193.18,194.73,190.64,829854
195.32,194.42,196.48,192.38,1151918
194.69,195.46,196.34,192.55,984179
194.06,194.96,196.2,192.885,1360043
193.84,197.37,197.81,192.63,1149302
197.25,196.03,199.68,194.3524,1019334
196.15,198.87,199.04,194.65,697957
199.12,200.74,201.63,198.11,760373
199.16,199.26,200.99,197.84,583677
198.98,201.89,204.55,198.61,936313
200.48,198.85,200.65,196.16,1224449
197.87,196.395,200.2682,195.29,1208519
197.98,192.11,197.98,188.79,1990913
191.75,194.24,194.75,190.19,1015880
195.57,195.8,200.3,195.57,1332725
195.87,197.65,198.25,190.38,900829
200.33,201.52,205.08,200,1465387
201.7,203.19,204.85,200.35,1002983
203.19,202.17,203.78,200.81,678869
202.75,201.64,204.26,201.08,783842
200.99,203.05,203.11,199.362,568836
202.75,206.13,206.85,201.8501,695430
207.58,212.31,213.26,207.01,1000372
212.3,209.63,213.395,208.81,858569
211.55,209.84,212.91,208.595,1009828
210,202.69,210.455,201.71,1113807
201.63,199.49,201.63,197.39,1271426
196.22,193.2,197.84,192.75,1158304
189.31,190.64,191.2367,186.33,1509871
189.04,190.87,191.92,188.62,938212
192.69,196.62,198.51,192.37,1226508
195.09,193.1,198.61,192.98,997491
194.37,191.89,194.56,187.22,1924641
193.15,190.67,194.99,189.67,950991
189.95,191.17,194.44,188.91,1039230
191.48,190.97,192.27,187.201,1195223
191.5,195.41,197.42,190.97,1412901
195.17,193.23,196.38,191.89,857908
194,191.56,194.2265,190.6915,969782
191.7,192.95,194.9,191.03,780189
192.73,192.83,194.06,191.08,542852
