Open, Close, High, Low, Volume
84.7,85.51,86.37,84.62,8146331
85.63,83.98,87.8,82.93,10061405
83.78,82.48,84.87,80.82,11363236
82.81,78.14,83.77,77.69,14928926
77.48,77.02,79.3199,76.7,6131595
77.7,82.77,82.79,77.65,9242171
81.33,84.29,84.29,80.24,6727379
85,83.1699,85.23,82.34,5956588
84.24,83.58,84.48,82.55,5560027
82.38,85.611,86.2,82.24,8218119
84.36,82.22,84.75,82.1,8009719
83.71,86.22,86.91,83.37,7500221
86.42,86.98,87.55,86.02,9249110
88.11,88.67,88.895,87.69,6928762
88.81,89.435,90.315,88.5,8278728
89.1,90.671,90.79,87.918,6149148
90.11,90.6199,91.1442,90.1,6260174
89.95,90.4999,90.81,89.55,5111405
90.64,91.585,91.91,90.19,8342791
91.72,90.51,92.35,90.21,7318153
90.25,90.35,90.87,89.81,9360352
91.35,91.03,91.44,89.78,10862714
90.33,89.7,90.97,89.09,6116675
90.74,90.34,91.17,89.57,4958860
90.67,92.24,92.99,90.55,8737531
93.05,94.01,94.58,92.69,9709738
93.3,92.245,93.42,90.69,6636195
92.33,91.14,92.85,90.57,5443658
92.02,92.3669,93.34,90.9,8595790
89.02,88.865,90.09,86.62,21092303
88.36,89.9,90.5,88.25,8789225
89.88,91.52,92.12,89.71,6085935
91.91,92.21,92.35,91.36,4458905
90.8,92.19,92.29,90.19,5334139
91.11,90.73,91.71,90.01,5992133
90.02,91.72,91.75,90,5894582
92.25,92.6599,93.75,92.15,5083952
93.44,94.405,94.51,93.2,6118060
94.59,94.065,96.04,93.844,6411168
93.65,94.52,94.99,93.1,5457463
95,94.76,95.43,94.45,5167256
94.45,95.06,95.3,94.06,6407321
95.07,94.74,95.72,93.98,5970919
94.72,94.96,95.51,94.33,5181871
95.24,95.98,96,95.07,4055496
96.07,96.71,97.3038,96,6457095
96.34,96.57,96.82,95.53,5092104
96.11,97.86,98.04,95.93,4968115
97.66,98.08,98.525,97.08,4732221
98.86,98.79,99.45,98.34,4787085
98.03,96.56,98.5,95.34,7350766
96.65,96.53,97.14,96.15,4786806
96.52,96.46,97.28,95.91,2844969
96.17,96.21,96.75,95.3,4917325
95.04,95.69,95.77,94.51,3885920
96.01,97.43,97.57,95.9539,3371203
98,97.52,98.08,96.9,4708800
98.11,99.3,100.5901,98.11,7814555
99.46,99.01,99.67,98.93,4600458
99.4,100.74,101.2599,99.33,8971329
101.19,100.25,101.83,99.37,4455610
100.6,101.56,101.685,100.6,5906709
101.45,102.31,103.05,100.84,5500520
102.15,104.15,104.56,102.085,6129522
103.87,101.27,104,101.25,6136666
100.94,101.56,102.18,100.51,4668951
102.34,103.15,103.285,101.75,4032445
103.2,103.06,104.17,101.74,4881215
103.45,103.86,104.01,102.67,3922074
104.52,103.84,104.7,103.46,4276583
104.99,105.55,105.72,103.855,3152009
105.76,105.22,105.76,104.66,3489030
105.91,104.66,105.97,104.49,4402852
104.7,104.47,104.97,102.65,7334080
104.84,105.74,105.8,104.62,7473329
105.66,106.54,107,104.67,7982471
106.06,106.96,107.51,105.83,6599608
107.15,107.52,107.77,106.39,5952539
107.51,106.46,107.74,105.91,7129535
107.03,108.48,108.54,106.41,6063807
108.58,108.14,109,107.31,3768469
108.8,108.22,108.8,107.58,3272370
107.805,108.81,108.86,107.25,4280817
108.36,107.39,108.45,105.08,9120659
