Open, Close, High, Low, Volume
122.37,125.09,125.65,122.37,1159493
125.37,126.59,129.67,125.18,1436613
127.4,126.54,128.62,126.38,894059
126.24,123.47,127.12,123.35,1001643
123.96,121.75,124.44,121.341,1016057
121.43,121.04,122.19,120.406,782838
120.8,120.21,120.93,119.85,373305
120.03,121.21,121.53,120.03,393294
121.35,120.88,121.6,120.31,442895
121.13,119.29,121.47,119.21,607926
120.17,120.38,120.52,119.58,918034
121.23,123.58,124.45,121.04,1582817
124,122.45,124.29,121.86,838936
122.72,121.18,122.86,120.625,828481
120.99,121.11,121.72,120.12,708695
121.79,123.18,124.12,121.4,875957
123,123.09,124.38,123,726284
125,125.41,125.99,123.73,1009058
125.5,127.52,127.65,125.23,1105440
128.38,126.79,129.25,125.79,940216
127.56,130.23,130.61,126.98,1357239
130,129.33,130.5,128.93,896137
130.31,128.97,130.41,128.8,1086716
128.88,128.73,128.89,126.54,1181442
128.74,127.27,129.14,126.67,1666344
127.88,132.49,134.755,127.49,3801514
132.52,131.94,132.68,130.05,1632857
132.6,134.97,135.19,132.12,1134475
134.55,134.76,135.65,133.75,821747
134.22,133.29,135.1,132.82,861366
133.69,133.56,134.81,133.18,928926
133.35,133.32,134.19,132.86,943841
132.68,129.65,133.28,129.21,958896
128.89,125.37,129.94,124.55,1204768
122.89,127.67,128.03,122.55,1191660
127.69,128.51,130.09,127.16,1159706
128.62,122.46,128.68,122.42,804773
124.09,124.46,125.61,119.76,1843845
126.51,129.26,130.5,125.97,1605049
128.6,129.05,130.15,127.75,1293471
128.07,130.53,131.34,128.01,1149358
131.38,131.74,131.99,129.9,693744
131.1,131.71,132.7,130.27,759747
131,131.56,132.92,130.6,732815
132.04,130.57,133.09,130.47,985497
131.41,129.6,133.02,129.59,1273323
130.32,130.2,130.78,129.7,787593
130.96,130.4,131.27,129.94,588241
130.4,128.85,130.62,128.83,928438
129.45,126.6,130.13,126.55,1328395
126.34,123.91,127.45,123.15,1293460
123,122.57,123.1399,120.96,1538106
121.62,121.36,122.47,120.44,1336889
121.6,123.82,124.19,121.2,2138161
122.78,123.53,123.83,122.24,861285
124.3,124.79,125.2,124.06,1127802
125.69,126.62,126.67,124.43,1894487
127.24,125.26,127.24,124.77,889950
125.93,125.97,127.02,125.3901,831559
126.38,125.71,126.65,124.66,937879
125.88,124.66,126.15,124.64,528472
124.53,124.745,125.11,124.26,798007
124.84,124.41,125.59,123.48,581326
125.29,124.83,126.96,124.39,859074
124.83,123.35,125.13,123.08,812803
124.55,120.18,124.92,120.05,1190024
120.83,117.02,120.96,116.98,1228169
118.54,119.92,119.97,117.31,662341
120,118.3,121.24,117.69,691830
118.38,116.5275,118.93,115.941,894743
117.14,117.74,118.72,116.55,682791
118,116.25,118.66,114.74,852618
116.57,115.65,116.97,114.62,578228
114.22,116.85,117.1,113.92,639054
117.52,117.81,118.79,116.86,1265716
117.14,114.83,117.73,114.02,734731
115.89,115.15,117.37,115.06,802540
116.17,112.9,116.8,110.88,2134749
112.77,113.17,115.01,112.7113,1054724
113.63,114.7,115.09,113.51,883755
115.38,113.74,115.73,113.2501,861965
114.76,115.72,116.09,114.43,952546
116.31,116.97,117.305,116.25,1231326
117.7,118.29,118.955,117.22,903765
117.83,118,119.08,117.815,1096324
118.45,119.11,119.98,118.13,1792730
119.55,119.7,120.73,118.85,1053533
120.52,117.27,120.58,116.64,1024682
117.13,118.46,118.8,115.78,1202523
119.9,112.93,120.22,112.71,2540505
113.21,111.82,115.45,111.04,2190476
112.24,108.14,112.64,107.96,2485048
108.36,109.49,109.52,107.05,2463384
109.6,107.2,109.84,106.99,1635112
107.05,106.35,107.24,105.11,1204955
105.94,107.35,108.2,105.31,1062444
107.45,105.05,107.45,104.7003,1684131
105,104.08,106.615,103.76,1995432
104.4,105.16,105.33,103.87,1523257
106.23,107.26,107.95,106,1637155
107.3,107.02,107.52,106.07,1839674
107,107.1,107.52,106.06,939813
106.75,106.63,107.45,106.15,1530637
106.59,107.99,108.71,106.48,1461486
107.87,107.33,108.58,107.04,1374095
107.19,106.95,107.39,105.9,1184826
107.97,107.21,108.14,107,655141
107.2,107.51,107.77,106.64,710305
107,106.34,107.84,105.02,1686006
106.5,106.7,107.24,105.75,963666
106.78,109.8,110.42,106.51,2047693
108.8,105.81,109.78,105.02,1729828
106.88,106.05,106.9,105.05,827313
105.97,104.98,106.29,104.6,1119138
104.92,106.32,106.64,104.6,1173090
106.34,106.52,107.03,105.64,1200000
103.4,102.16,104.665,101.2,2783932
101.93,104.36,104.89,101.42,2121602
104.49,104.39,105.76,103.9408,732917
104.01,103.46,104.2,102.55,1143902
103.6,103.68,104.5,103.55,629550
104.06,105.91,108.27,103.91,2429689
106.51,107.99,109.48,106.081,1962070
111.92,113.5,115.55,110.81,4094804
113.18,114.52,114.89,112.45,2236833
113.13,114.63,114.865,111.701,1476180
113.47,112.31,114.13,111.58,1436343
113.19,111.52,114.4,111.46,1548252
111.21,110.21,111.955,110,2175753
110.5,111.55,111.67,109.55,1452280
109.12,105.36,109.35,104.57,2643106
105.29,106.3,106.8,105.04,1143546
107.35,104.69,107.51,104.67,1127947
105.08,104.31,105.14,102.92,1431699
104.51,103.62,105.16,103.5,1535461
103.05,103.95,104.21,102.64,2383884
104.44,103.45,105.255,103.18,1040045
104.01,103.91,104.5829,103.4,1006725
103.98,104.73,104.98,103.4648,1216368
106.13,108.15,108.18,105.63,1819308
108.03,109.13,109.445,107.53,1126543
107.69,109.24,109.45,107.6,1191410
109.69,108.91,110.54,108.66,1104061
109.21,107.87,110.3,107.2,1220700
108.43,109.07,109.18,107.52,1011019
108.73,109.36,110.42,108.36,754488
112.75,112.83,114.37,111.04,1986415
112.51,111.47,113,111.29,970398
111.04,110.56,111.54,110.11,659206
110.68,109.78,111.19,109.605,735733
110.01,109.17,110.25,108.57,933933
109.62,110.77,110.9,108.39,801569
110.35,111.56,112.33,110.335,978979
112.25,111.76,112.67,111.24,994349
111.83,111.04,111.94,110.12,881229
111.61,112.75,113.04,110.52,1167301
113.09,110.03,113.25,109.98,1422124
109.41,114.34,116.6225,104.24,4703349
114.8,112.42,116.41,112.39,1558794
111.91,111.71,112.22,110.41,1895186
111.88,112.21,112.72,111.54,1077681
112.41,111.09,112.85,110.815,999422
113.31,114.19,115.35,113.01,1580268
114.07,113.64,115.46,113.545,1200844
113.46,113.62,115.38,113.06,944238
113.63,116.41,116.84,113.46,1393869
115.48,114.48,115.78,113.54,953618
115.63,115.49,116.27,115.03,682649
115.3,115.74,116.27,114.79,794588
116.18,116.81,117.19,115.82,946528
117.15,118.51,119.74,117.15,1213316
118.02,118.33,119.64,117.59,1038148
117.84,118.03,118.8,117.29,913855
118.48,119.71,120.31,118.3025,844552
120.4,119.98,121.95,119.84,1662442
120.43,120.15,120.53,118.59,876581
123.49,123.96,124.63,123,1770557
123.39,122.92,123.39,122.05,721566
123.05,122.57,123.37,122.18,553187
122.24,121.15,122.97,120.04,1156962
121.14,120.86,121.61,119.97,666470
122.37,124.04,124.47,122,1856762
123.5,124.36,124.54,123.17,835581
125,123.91,125.82,123.79,1066018
122.97,122.52,123.19,122.04,959375
122.82,123.7,124.28,121.76,1080533
124.29,125.88,126.355,123.95,1321502
126.1,129.29,129.94,126.04,1972670
128.83,128.75,130.685,128.52,1332120
129,131,131.65,127.24,1776781
130.97,131.25,131.7,129.67,1008775
131.32,132.16,132.47,130.59,1093608
133.57,131.44,133.6,131.13,1517233
131.29,130.02,131.29,129.3896,1010827
130.38,129.42,130.4899,129.21,1152235
130,129.27,131.31,129.11,1336496
124.96,129.32,129.6,123.25,3536472
129.32,129.95,130.99,129.04,1027226
130.33,129.64,131.48,129.31,843347
130.05,128.4,130.2,128.2,794237
128.74,128.07,129.08,127.68,702938
127.48,125.52,127.805,123.86,1787192
125.63,123.67,126.68,122.87,1240250
123.66,124.45,124.94,122.85,832975
124.04,123.1,124.67,122.67,757486
122.67,118.76,122.945,118.67,1277848
118.8,116.84,118.96,115.8598,1560912
119.13,119.07,119.51,117,867047
118.86,117.77,120.28,117.75,1203949
118.86,121.61,121.86,118.7179,868377
121.3,120.6,121.88,119.92,649467
120.56,116.63,120.66,116.371,1227026
116.7,115.18,118.01,114.63,1927361
116.09,114.6,116.33,114.51,1676186
112.51,114.84,115.39,110.56,2045970
114.27,106.93,114.8,106.5401,2301527
108,107.94,109.51,103.06,4610423
106.05,102.99,113.27,102.38,2833620
104.26,99.48,105.34,97.48,2404778
99.51,101.81,102.07,98.25,2318358
103.76,104.74,106.42,103.76,1949073
105.01,108.43,108.79,104.68,1699807
108.95,105.78,109.17,104.76,1676960
105.81,105.87,106.5,104.77,1183741
105.38,106.11,106.33,104.67,1324542
106.8,109.01,109.29,105.45,1996653
109.1,107.66,110.69,107.05,1519654
107.31,107.14,108.49,106.57,1233864
106.68,104.69,107.11,104.45,933662
105.32,106.24,108.4,105,1354139
107.38,106.52,107.82,105.26,1339889
105.82,109.89,109.98,105.5,1995696
109.28,110.02,110.94,109.07,1356808
109.69,106.95,110.1899,106.4,852028
105,107.24,107.91,103.69,1824106
108.51,107.37,108.86,107.19,1068957
107.1,110.28,111.04,106.99,680335
111.04,111.47,112.2,110.61,1168563
110.53,110.69,111.34,109.42,831152
111.38,112.54,113.65,110.57,1385923
113.05,111.63,113.43,111.42,1529941
111.2,113.06,113.16,110.68,1296045
114.24,114.24,116.48,113.38,1923751
113.22,109.12,113.755,108.57,1450754
107.39,110.22,110.28,106.21,1349827
109.58,104.91,110.48,104.69,1286273
105.02,104.84,107.38,103.3,1418419
106.9,104.01,107.87,103.85,1222004
105.73,105.61,107.2797,104.97,843345
106.12,105.07,106.64,104.15,717034
104.42,107.09,108,103.81,1358520
106.84,106.42,108.745,105.49,1853896
107.27,105.47,108.37,104.94,1597626
105.34,101.93,106.93,101.43,2680762
98.59,97.21,101.21,95.06,3566647
97.28,92.51,98.28,92.45,2399483
91.57,89.55,92.09,89.51,1315514
91,94.45,94.51,89.51,1433406
92.9,94.76,94.76,90.86,1033901
95.19,96.03,97.2099,94.38,1511840
96.59,97.2001,97.98,96,1579473
96.4,97.713,98.51,95.95,1123292
96.7,92.57,97.31,91.88,2612283
94.8,98.84,99.92,94.5,1948171
99.67,101.89,102.705,98.81,1976541
103.74,103.9,104.81,102.53,1645738
104.62,104.2,105.08,103.05,1254131
103.4,104.84,105.4,102.21,1523872
104.1,106.3,106.39,103.95,1119017
105.03,104.88,105.97,104.25,916874
105.41,105.61,105.79,103.49,1346156
105.68,105.7,106.74,105.01,1017427
104.95,107,107.69,104.82,932432
108.07,109.245,110.16,107.61,1723650
109.01,108.34,109.78,107.84,1848813
109.01,108.285,110.4,106.89,1353507
108.84,109.7,109.78,104.46,813616
111,111.7199,111.915,110.36,1056240
110.63,112.17,112.67,110.295,1348243
112.04,112.22,112.91,111.17,2053763
116.85,121.055,121.43,116.5,4432978
120.67,120.18,121.46,119.2,2294974
120.54,118.3,121,117.84,1772650
118.31,118.94,119.5,117.88,1156051
119.36,118.25,120.26,117.7,1933292
116.95,118.15,118.51,116.91,2567469
117.4,115.59,117.4,114.4,1544438
114.33,114.67,115.77,112.81,1974811
116.11,116.1,117.1,115.6357,1384386
116.65,116.28,116.82,115.34,1667656
117.76,117.96,118.74,117.42,1139007
117,117.16,117.59,115.99,819593
117.9,117.85,118.42,117.24,1126390
117.58,119.6,120.73,117.58,1542167
119.46,120.86,121.29,119.23,955474
123.03,120.97,124.25,120.51,1848089
121.03,120.93,121.435,120.35,744286
121.79,120.55,121.79,120.47,726696
120.02,119.66,120.79,119.39,761961
119,118.44,119.92,117.21,1093408
118.21,118.49,119.43,117.29,816013
119.97,119.03,121.25,118.61,1251661
119.19,117.7,119.7,116.51,1133143
118.15,119.4,119.97,118.03,1080008
118.61,117.09,119.28,117,860305
117.03,115.71,117.1,115,1187150
115,116.54,116.67,114.56,797784
116.65,116.88,117.3,116.22,629651
117.34,116.27,117.34,115.37,787559
116.98,117.12,118.85,116.32,894952
117.04,116.45,117.28,115.465,842755
117.95,117.19,118.18,117.15,486809
117.63,118.31,118.73,117.38,1123434
119.14,117.47,119.39,116.97,631121
117.1,116.02,117.1,115.2,1001853
115.57,117.78,118.01,115.28,646866
117.28,115.58,117.45,115.13,1324286
115.17,114.48,115.6,113.86,1261982
111.8,113.1,115.81,111.3401,2472388
113.47,110.99,113.745,110.63,1691994
111.29,112.46,112.77,110.74,1142075
112.83,114.625,114.82,112.54,1338381
115.79,115.63,117.17,115.31,573290
115.61,116.25,116.51,115.17,946436
116.96,116.61,117.06,115.56,859000
117.01,115.88,117.01,115.63,695456
115.84,117.27,117.48,115.84,839885
117.28,118.42,118.95,116.9169,1746854
117.54,115.37,118.31,115.01,1093278
115.84,116.52,116.76,115.58,820326
116.87,118.92,119.02,116.86,1148731
119.78,121.94,122.06,119.57,1595955
122.38,122.44,122.52,121.54,982427
123.3,124.11,124.38,122.86,1364878
124.64,123.24,124.81,123.07,1866725
