Open, Close, High, Low, Volume
216.07,215.31,217.96,214.54,271931
215.07,217.77,219.99,213.405,330938
219.06,219.65,223.61,218.6,400913
220.47,220.13,223.68,217.815,219090
218.77,216.24,219.27,214.375,316595
216.11,213.25,220.55,212.74,256096
212.86,205.95,212.86,205.71,92829
205.1,210.16,210.31,201.09,181367
207.94,214.89,214.89,206.81,209533
215.79,216.03,218.59,214.3301,155038
216.14,217.01,217.8,215.02,147058
214.53,213.6,215.715,211.96,162759
212.21,209.07,212.2275,208.07,242521
210.19,215.12,215.39,210.19,184153
213.93,211.6,215.58,211.54,201354
210.28,213.16,213.42,204.835,368166
214.16,211.9,216.09,211.63,249569
211.92,214.28,214.41,210.8,165318
214.18,213.07,214.18,211.95,204039
211.95,213.425,214.6,211.95,235319
213.75,215.55,215.88,213.17,194382
215.43,212.59,215.75,211.75,283494
211.65,214.8,215.25,211.65,155961
215.85,216.38,217.11,214.8,181432
217.04,214.35,219.09,212.96,183918
216,217.345,217.375,214.72,221201
217.63,215.825,219.74,215.53,172343
214.78,213.34,216.895,209.92,347600
211.6,214.24,214.42,211.6,146789
214.34,214.04,215.15,213.27,124597
214.68,219.095,220.52,214.68,213445
218.56,219.12,219.28,213.46,207290
219.67,222.23,222.33,218.55,155834
222.26,219.63,222.26,218.34,198089
219.46,220.33,221.6,217.92,156889
220.4,222.18,222.625,219.46,143677
221.76,222.48,223.13,219.5,173667
221.58,221.6,222.91,217.96,166933
222.26,220.75,222.26,218.335,203913
214.75,212.31,214.75,208.005,769174
213.12,214.74,215.97,212.32,315277
213.83,214.23,215.81,211.69,237372
215.94,217.11,218.3,214.9,187188
221.62,222.81,224.02,220.83,170859
223.87,223.96,224.835,222.28,156880
224.13,223.19,225.53,222.5,260348
222.93,222.86,224.94,222.51,161304
222.65,224.38,224.95,221.95,222349
224.83,226.1,226.3,223.0898,151757
226.64,225.41,227.64,223.46,145550
225.14,224.88,226.805,222.52,163262
223.41,223.03,224.92,222.89,239238
223.75,222.11,225.41,222.09,184493
221.99,218.15,221.99,218.1,201907
216.54,216.81,218.0784,215.93,232046
217.15,217.92,219.49,216.49,235136
218.62,218.24,220.28,218.02,273954
218.5,218.42,220.4,218.15,209666
218.57,219.01,219.79,218.12,160237
219.43,219.09,221.67,218.59,374907
219.92,220.42,221.5,219.92,177011
220.415,218.93,221.7795,218.48,125080
218.5,211.98,219.02,211.65,304228
211.14,215.5,216.01,210.13,182998
214.76,215,217.4,214.72,276059
215.17,214.78,215.985,214.13,223518
215.76,215.47,216.26,214.65,188150
215.61,214.63,217.1024,214.48,171628
213.02,215.38,215.71,213.02,212659
215.75,215.96,216.31,214.64,158252
216.58,217.29,218.45,216.58,75082
217.63,214.89,217.76,214.89,200924
216.16,216.15,216.26,214.39,185565
216.14,215.32,217.46,214.94,141337
215.26,216.31,216.46,215.145,152389
216.56,217.88,219.08,215.79,182935
217.99,214.7,217.99,213.86,285727
214.55,216.81,216.85,214.18,297349
217.92,221.95,222.63,217.65,256437
223.5,226.36,227.09,223.31,268049
227.96,226.199,227.96,224.97,162253
226.3,229.29,229.9,226.3,195663
229.83,228.67,229.84,227.52,155893
228.6,229.07,230.285,228.18,187732
228.36,228.49,228.985,227.42,94931
229.21,229.78,230.7,228.06,153601
229.76,231.29,232.365,229.7,160145
230.32,228.5,230.9,226.89,237699
228.05,230.72,231.21,227.07,213932
231,231.32,233.14,231,147664
231.52,235.43,235.68,230.53,261777
235.6,236.48,238.865,235.6,259282
236.89,236.82,239.07,235.57,220999
237.52,238.68,238.96,236.33,254227
236.01,237.66,239.475,236.01,266996
239.62,247.42,249.55,239.13,537938
247.07,241.89,249.04,241.64,523933
241.33,245.66,246.58,239.5,273933
244.58,248.86,248.95,244.58,249367
245.61,246.72,247.94,244.39,297339
246.27,248.47,250,246.27,305543
247.26,248.23,249.66,246.2,257628
248.66,249.43,251.67,248.66,340585
248.05,248.18,249.74,247.2,496260
248.26,249.43,251.47,247.11,370993
250.27,249.33,252.73,247.65,352878
248.66,250.31,250.44,247.97,303399
249.41,251.54,251.7,247.96,322189
252.08,249.94,252.99,249.26,292316
248.42,244.13,249.66,243.77,338647
244.15,244.54,244.971,241.56,332611
244.92,245.4,246.115,244,239185
245.09,247.66,248.86,244.12,258696
247.44,251.91,252.17,246.7,345749
251.9,248.25,252.23,247.12,321139
248.82,253.31,253.57,247.39,251633
252.75,252.91,254.16,251.105,299589
253.63,252.6,254.57,252.235,212846
253.14,252.09,253.805,251.37,266535
253.25,249.09,253.65,246.95,281957
249.2,250.28,250.92,248.37,212013
250.51,250.12,251.83,248.51,192757
251.475,251.11,251.645,249.8,194383
251.66,250.15,252.44,249.92,161570
250.75,250.12,251.69,249.34,169817
250.73,251.97,252.245,249.84,172003
