Open, Close, High, Low, Volume
13.3,13.39,13.76,13.3,12880034
13.44,13.235,13.7252,13.09,11362706
13.21,12.85,13.45,12.75,19026564
12.75,12.91,13.12,12.73,17832230
12.88,12.86,13.145,12.81,23801000
12.73,12.58,12.8566,12.53,6916667
12.61,13.38,13.39,12.39,13006697
13.2,13.36,13.36,12.845,12173936
13.41,13.33,13.58,13.26,10536307
13.41,13.295,13.57,13.18,8937255
13.16,13.64,13.65,13.11,9842463
13.59,13.67,13.88,13.49,10649957
13.92,14.15,14.19,13.81,15462040
14.12,14.405,14.615,14.02,9767568
14.56,14.51,14.6,14.21,9785140
14.6,14.685,14.81,14.475,7897420
14.68,14.7,14.85,14.56,8500140
14.64,14.755,14.9,14.5201,7828780
14.64,14.945,15.05,14.58,7164273
14.91,15.0816,15.11,14.72,12751681
15.26,15.4,15.49,15.16,10361588
15.3,15.62,15.645,15.15,12577866
15.5,15.71,15.76,14.96,20466700
15.59,15.525,15.755,15.44,13108992
15.65,15.355,15.72,15.235,11324676
15.28,15.515,15.5872,15.25,9965628
15.68,15.635,15.7755,15.51,8554911
15.57,15.66,15.73,15.5,9054197
15.68,15.545,15.81,15.52,11628281
15.56,15.42,15.72,15.415,9846460
15.33,15.18,15.44,14.93,14097411
15.22,15.325,15.5,15.16,10673446
15.32,15.475,15.53,15.22,7763203
15.45,15.395,15.515,15.305,7050762
15.32,15.395,15.5,15.255,6574262
15.87,15.495,16.26,15.32,31572790
15.48,15.4,15.57,15.24,11567513
15.51,15.375,15.57,15.36,10462871
15.52,15.4701,15.705,15.445,13783928
15.54,15.585,15.645,15.46,7997487
15.43,15.53,15.63,15.275,7855861
15.71,16.005,16.03,15.62,8174282
16.09,16.36,16.405,16.04,7231758
16.42,16.245,16.42,16.14,7438365
16.29,16.23,16.3,16.075,9629352
16.35,16.37,16.55,16.33,10555235
16.27,16.19,16.435,16.095,10005987
16.22,16.57,16.625,16.22,19373834
16.57,16.39,16.59,16.35,10842489
16.56,16.31,16.72,16.29,12886581
16.32,16.155,16.52,16.05,10704518
16.16,16.11,16.2,15.82,11765788
16.05,15.78,16.14,15.76,12320149
15.57,15.42,15.585,15.305,10947957
15.26,15.47,15.52,15.21,7952847
15.56,15.57,15.6769,15.44,6214728
15.62,15.62,15.7758,15.515,10109722
15.64,15.81,15.9,15.59,7123923
15.82,15.8,15.96,15.77,6516568
15.78,15.74,15.93,15.73,8444785
15.88,15.97,16.06,15.81,7560918
15.975,15.63,16.025,15.6,7472228
15.55,14.95,15.63,14.95,11029742
14.9,14.43,14.9,14.4,25704070
14.29,13.53,14.29,13.42,27491243
13.64,13.53,13.85,13.38,17252549
13.64,13.93,13.95,13.61,19720241
13.89,13.975,14.06,13.78,15898194
14.02,14.18,14.19,13.88,9763531
14.36,14.15,14.4,14.08,10144649
14.33,14.67,14.72,14.32,9349210
14.66,14.84,14.94,14.55,11900267
15.05,14.87,15.275,14.85,15086166
14.82,15.105,15.165,14.14,9111059
15.15,15.14,15.24,14.975,7186966
15.05,15.24,15.33,15.04,9387962
15.11,15,15.16,14.9,7974012
15,15.13,15.13,14.8233,6929827
15.2,15.21,15.35,15.06,6952212
15.46,15.61,15.71,15.25,8238034
15.65,15.26,15.66,15.225,9858956
15.38,15.57,15.6,15.18,11382004
15.65,15.77,15.79,15.515,11974113
15.85,15.24,15.85,15.05,22647553
