Open, Close, High, Low, Volume
59.71,58.39,59.99,58.325,734529
57.75,57.74,58.735,56.72,786733
57.55,56.16,58.01,55.82,1031941
56.65,56.96,57.54,56.43,729759
57.13,56.35,58.66,55.99,1043511
56.16,55.77,56.81,55.01,933358
56.14,54.05,56.57,54,1016207
53.72,52.89,54.4,52.83,672717
53.14,55.97,56.04,52.88,568682
54.91,56.14,56.14,53.98,1010107
56.48,56.29,57.2,56,631620
56.66,56.94,57.45,56.24,493786
56.32,56.607,56.98,55.73,846953
55.55,52.96,55.6,52.87,1364771
53.92,56.07,56.5,53.92,1182422
55.91,55.89,56.4,55.16,841263
56.74,57.32,57.38,55.91,1108309
57.74,58.34,58.77,57.195,1086964
57.96,58.19,58.49,57.36,843620
57.8,58.4,58.91,57.29,719895
57.87,58.27,58.91,57.66,506885
58.41,58.57,58.85,58.05,544375
58.61,58.8,59.32,58.18,631977
58.54,60.09,60.37,58.33,897071
60.56,60.705,61.12,60.08,804705
60.5,59.54,60.55,59.17,652215
59.98,59.35,60.6,58.68,651002
59.34,60.34,60.37,59.08,721095
60.85,60.985,61.43,60.82,696332
60.49,60.73,60.83,59.87,888529
60.97,60.66,61.11,60.26,1092696
65.14,65.165,67.9,62.84,2887182
65.31,64.5,65.31,63.92,1324717
64.4,63.56,64.585,63.08,1291140
63.63,64.285,64.33,62.82,843378
64.4,63.57,64.42,63.215,1013135
63.5,63.59,64.07,63.4,516741
62.9,63.02,63.79,62.67,787874
62.48,63.44,63.45,62.34,517072
63.94,64.77,64.79,63.68,706424
65,65.51,65.87,64.9,616392
65.99,66.46,66.63,65.84,644171
65.51,66.33,66.54,65.32,645189
66.99,66.92,67.4,66.68,481108
67.45,67.75,67.89,67.06,662918
67.94,67.4,67.94,66.73,609744
67.43,68.26,68.28,67.09,583581
68.51,67.81,68.76,67.69,466410
67.73,67.58,68.25,67.52,529105
67.62,68.26,68.33,67.08,580436
68.24,68.2,69,67.85,770369
68.59,68.2,69.01,67.89,850050
68.54,67.59,68.54,66.96,655622
