Open, Close, High, Low, Volume
88.34,86.64,88.34,86.36,742372
87.14,88.23,89.065,86.86,640978
89.21,88.95,89.795,88.18,541206
89.54,88.68,89.57,88.62,496989
89.13,88.29,89.55,87.78,576355
88.98,90.35,90.37,88.5,639248
90.67,90.63,90.99,89.9,538735
90.82,89.91,90.97,89.67,321026
90.06,89.64,90.06,89.32,471770
90,89.81,90,89.175,354043
90.12,89.31,90.24,89.29,346412
89.61,88.855,89.61,88.15,726330
89.34,89.79,90.355,88.7101,716454
90,90.56,91.66,90,916953
90.96,90.94,90.98,90.15,963135
91.04,91.66,91.905,90.37,550619
91.93,93.18,93.95,91.93,857079
93.24,94.37,95.23,93.235,1204054
94.59,95.18,95.24,94.17,624466
95.81,96.78,96.79,95.07,638502
97.35,95.6,97.83,94.965,775695
96.07,96.25,96.66,94.8201,541189
96.34,95.41,96.87,95.32,573889
95.61,96.19,96.45,95.37,441200
96.2,96.56,96.58,95.2,479167
96.33,96.56,96.75,95.41,382005
97.05,96.92,97.46,95.71,742183
98,95.86,98.78,94.77,882790
96.72,98.25,98.33,95.8,651794
98.22,97.01,99.1,96.89,399315
96.44,95.72,97.33,95.52,503480
95.63,96.38,96.77,95.63,569982
96.22,97.36,97.3956,95.2223,403390
96.81,94.3,97.32,94,486131
93,89.78,94.61,89.615,644590
87.73,91.42,91.64,86.9,762888
90.78,91.02,92.79,90.78,474494
91.13,86.08,91.13,86.02,903598
86.87,87.08,87.68,84.37,953397
87.84,89,89.83,87.27,652559
88.45,88.71,89.1,87.57,481957
88.41,91,91.07,88.24,889673
91.97,91.34,92.39,90.45,553315
90.96,92.55,92.85,90.83,649387
92.22,92.23,93.17,91.83,532531
92.21,91.23,92.99,91.18,562030
91.57,90.09,92.8,89.88,295830
90.18,91.46,91.47,90.07,457247
91.93,92.59,92.64,90.96,275923
93.6,93.69,95.07,93.03,911085
94.02,92.69,94.5899,92.69,794473
92.72,91.98,93.66,91.275,1112656
91.29,91.84,92.1,89.64,460546
91.2,93.61,94.05,90.68,379713
94.25,95.84,95.87,93.1628,631605
94.77,96,96.23,94.47,438811
96.31,96.26,96.39,94.79,546404
97.11,98.73,98.76,96.875,514643
98.69,98.26,99.26,98.09,335652
98.8,97.26,99.14,96.91,383286
97.53,95.83,97.53,95.58,312267
96.09,95.4,96.58,94.94,299613
95.66,97.58,97.88,95.49,757732
97.12,96.52,97.52,94.84,594886
96.74,96.46,96.94,95.96,301524
96.33,96.85,98.07,96.08,485523
95.64,91.63,95.85,91.46,579368
91.51,87.13,92.19,86.9,1044131
88.98,89.55,89.65,87.1,567961
89.91,87.66,90.36,86.98,776550
87.76,87.77,88.43,85.93,662752
87.68,89.4,89.745,87.16,731275
89.16,86.39,89.9,85.61,743495
86.87,87.53,87.8299,86.12,463780
85.7,88.12,88.37,85.67,543248
89.06,88.37,89.24,87.75,734664
86.9,84.85,87.14,83.89,776871
85.22,84.84,87.09,84.44,461009
86.06,86.67,87.175,85.07,573864
85.89,85.81,86.55,84.9,423636
86.56,87.15,87.925,86.1601,344464
87.91,85.55,87.95,85.16,539938
86.26,86.54,87.28,85.995,459288
87.42,86.97,87.97,86.28,550089
87.54,86.6,87.95,86.37,433416
86.6,88.009,88.05,86.04,370341
88,87.8,88.44,86.95,484294
88.11,87.63,88.3,87.01,278315
88.21,86.92,88.675,85.81,419445
86.96,86.79,87.36,85.5,686036
86.82,89.84,90.71,85.921,1100953
90.04,91.3,91.455,89.01,662992
91.49,89.75,92,89.7,739548
89.61,89.95,90.01,88.38,273311
89.68,88.51,90.01,88.25,321800
88.04,87.59,88.095,85.99,462241
87.08,89.54,90.23,86.74,303536
89.98,91.19,91.6,89.36,471089
91.15,91.25,92.105,90.76,451891
91.78,92.43,92.48,90.94,546798
92.55,93.11,93.46,92.13,357303
93.33,93.76,94.14,92.98,303438
93.84,93.82,94.28,93.29,277591
93.39,93.93,94.42,93.39,921972
95,96.41,96.64,94.9,1011797
96.31,98.65,98.75,95.77,1136279
98.4,99.03,99.27,98.022,1009709
99.37,100.63,100.89,99.21,742797
100.75,101.73,102.17,100.58,900317
101.19,101.02,101.88,100.2,1005424
100.52,100.5,100.89,98.76,575586
100.03,99.49,100.47,99.11,374472
98.25,95.73,98.52,95.065,616525
96.97,97.74,98.11,96.22,521191
97.41,96.57,97.64,96.06,359954
97.58,97.93,98.62,97.3,435175
98.69,98.61,98.74,97.67,339940
98.25,98.5,98.735,97.505,413612
98.92,100.56,100.56,98.45,442309
100.65,99.57,101.19,98.91,307617
