Open, Close, High, Low, Volume
101.91,102.47,103.54,101.32,770401
102.48,101.04,104.42,100.43,793938
100.82,99.39,102.36,97.95,934704
99.7,97.53,101.765,97.49,881290
97.48,96.24,97.95,95.63,404787
97.03,101.94,101.98,97.03,693337
100.46,102.03,102.03,98.15,735574
102.64,101.79,104.32,101.05,819387
102.54,103.01,103.92,101.15,697351
101.54,105.46,106.63,101.18,714504
104.91,100.815,104.91,100.6,987792
102.55,104.77,105.75,102.49,690724
105.65,106.74,107.51,105.24,955163
108.27,108.41,109.1933,106.57,782995
109.64,109.38,110.54,108.84,709777
107.49,106.86,107.76,104.78,781069
106.73,105.48,108.79,105.33,914593
104.73,106.51,108.26,104.72,845686
106.73,106.25,107.31,104.86,585992
106.18,105.61,106.89,105.31,921537
104.81,107.865,109.32,104.78,572656
109.45,111.68,112.16,109.08,750219
111,109.14,111.99,108.81,589182
109.96,110.3,111.19,109.005,562705
110.53,111.065,111.1,108.995,520746
112.27,113.73,113.86,111.48,571767
112.63,115.21,115.23,112.15,709417
115.86,116.14,116.44,114.3,746423
117.43,116.92,117.49,115.86,505282
117.9,116.06,117.9,115.23,704984
116.3,115.75,117.26,115.35,1141303
115.76,114.52,116.16,113.89,1130541
122.66,124.06,128.65,122.1,3533045
124.81,126.1401,126.2,123.14,1449770
125.05,125.2549,126.26,123.64,1110204
124.93,125.0199,126.15,124.21,1042584
125.5,125.63,126.41,125.1663,542341
126.19,126.7357,128,125.8,718008
126.97,123.25,127.445,123.02,1057361
121.91,122.9,123.48,119.58,1388056
123.96,125.07,125.36,122.86,794773
124.87,125.64,126.19,124.17,521858
125.81,125.35,126.05,124.36,471433
125.42,126.26,128,124.66,756017
126.44,127.12,128.11,126.44,571369
128.13,127.17,128.92,126.72,670084
127.2,126.53,127.995,126.375,431100
126.39,127.22,127.45,125.36,717560
126.92,125.17,127.1,125.09,569700
127.05,126.98,129.75,125.81,787474
126.96,125.42,127.74,125,733100
125.83,124.88,126.83,124.84,468306
125.07,124.09,125.275,122.7425,752462
123.39,123.35,124.385,122.29,664438
122.15,122.04,122.62,120.345,833859
122.17,123.47,123.7,121.965,491900
123.65,122.82,124.11,121.5,484876
123.4,121.69,124,121.52,969814
121.72,121.53,122.35,120.64,883275
120.925,120.78,121.535,120.4,710088
121.49,124.14,124.44,121.14,733907
125.85,124.84,126.43,124.3699,696741
124.57,122.71,124.82,121.935,488073
122.68,124.67,124.97,122.46,476318
124.09,120.19,124.28,120.13,626708
119.71,122.58,122.69,119.29,492720
123.41,122.25,124.53,121.48,565581
125.14,125.36,126.4395,124.07,848819
127.5,129.36,131.195,127.5,1198188
130.21,129.68,130.5895,128.86,792186
130.98,128.99,131.03,128.6117,471563
128.57,127.25,128.57,126.4,617981
128.4,127.31,128.48,126.94,515160
127.39,128.37,128.53,127.02,503468
128.62,127.59,129.9,127.37,417993
127.45,127.32,127.88,126.53,730873
126.82,125.9,127.25,125.39,719282
126.3,126.35,127.32,125.79,579049
126.83,126.6,127.46,125.83,668133
126.99,128.16,128.56,126.99,887768
128.3,127.13,129.205,125.92,646782
127.26,129.56,130.75,126.81,645214
130.01,131.78,132.57,129.52,1207821
131.57,131.11,133.29,130.99,598565
130.58,130.79,132.24,129.8,633134
131.22,132.06,132.4,130.58,547568
132.35,132.03,133.6295,131.28,638973
131.76,129.73,131.76,129.14,709749
130.79,131.19,131.76,128.87,649395
130.98,132.09,132.13,130.53,502706
131.58,131.58,132.25,131.08,445446
