Open, Close, High, Low, Volume
114.25,112.94,114.25,112.17,1315617
112.56,110.76,112.715,109.79,1250027
111.07,111.65,112.24,110.48,846899
111.72,109.56,113.12,109.22,814176
109.12,107.42,109.87,106.73,748410
107.18,106.4,109.19,106.02,1022162
106.22,103.59,106.72,103.2,423002
103.78,108.88,108.95,103.78,576946
107.89,111.08,111.1,107.05,724757
111.86,111.96,113.2444,110.11,703814
112.5,113.39,114.99,112.33,694921
111.99,111.86,113.26,111.28,827254
110.93,106.62,110.93,106.41,1038395
108.19,110.1,112.38,106.6143,1087995
110.34,111.44,112.6,109.63,500289
112,113.425,113.56,111.35,455963
113.88,114.46,115.28,113,624309
113.94,115.39,115.45,112.98,238995
114.81,114.65,115.01,113.83,342171
114.24,113.59,114.41,113.28,441576
114.13,115.54,116.25,113.95,796016
116,116.8,118.13,115.96,699081
116.28,117.48,117.84,116.06,452358
118.18,117.8,118.5,116.955,920549
116.98,117.1,117.72,116.55,574437
117.71,117.08,117.71,115.37,489742
117.27,117.2899,117.31,116.13,459933
100.41,94.42,100.572,94.2369,5498761
94.17,91.368,94.17,90.68,2898359
92.815,91.96,92.96,90.64,1940535
92.3,93.61,94.09,91.66,1939418
94.48,95.165,95.38,93.82,1725934
95.09,93.56,95.83,92.73,1453331
93.5,94.26,94.63,92.91,1081031
94.81,95.3,96.24,94.76,1540422
94.89,95.61,95.92,94.81,890612
95.52,95.63,96.07,94.59,1014006
96.66,96.8,97.1953,95.67,1314413
96.84,97.21,97.74,96.63,891019
97.95,98.26,98.37,97.115,974855
98.48,99.11,99.4,97.82,880451
98.99,99.5,99.8925,98.63,796616
99.95,100.42,100.47,99.56,680396
99.43,99.77,99.815,98.46,927155
99.83,100.12,100.28,99.51,866765
100.3,101.24,101.46,100.08,473315
101.37,101.65,102.13,101.36,511630
101.73,100.81,101.73,100.34,763511
100.53,101.82,102.081,100.0802,581160
103,102.43,103.4848,102.09,1390791
102.8,103.11,103.29,102.22,567505
103.61,101.9,103.7147,101.01,759124
101.9,102.4,102.68,100.61,584376
102.45,100.61,102.45,100.57,685424
100.6,100.5,101.07,99.81,979433
100.29,101,101.34,100.08,902566
101.15,101.4,101.9,100.825,761967
101.85,102.77,103.15,101.77,850554
102.96,102.62,103.49,102.4,655977
102.57,101,102.57,100.96,834535
100.9,100.32,101.73,100.2,1573435
100.36,97.4,100.61,96.94,1749272
97.26,97.92,98.19,97.12,746807
99.13,98.83,100.8,98.45,1032535
98.47,100.98,101.23,98.47,544507
100.75,100.14,101.91,100.11,476649
99.98,101.42,101.76,99.465,474367
101.98,102.33,103.46,101.87,469963
101.78,101.5,102.33,100.46,508828
101.73,102.68,102.765,101.71,296963
102.99,103.98,104.08,102.76,633630
104.86,104.64,105.18,104.1,314249
104.43,105.02,105.25,103.85,529108
105.21,103.02,105.4,102.775,932234
101.68,101.29,102.43,100.85,624604
