Open, Close, High, Low, Volume
80.31,79.19,81.66,79.03,2663721
78.98,78.34,79.34,77.78,3081258
79.15,78.89,79.92,78.65,2480642
79.27,78.46,80.78,78.05,2508101
78.23,77.16,78.74,76.19,2278659
77.62,76.98,80.05,76.765,5635264
77.02,76.31,77.67,75.91,1388600
76.55,81.79,81.93,76.51,3369894
80.77,81.83,81.89,78.74,2707317
82.13,81.56,82.83,80.51,1888554
82.06,82.89,83.22,81.73,1705210
81.8,83.67,83.98,81.8,2133741
82.96,83.24,84.32,81.9106,2578550
84.04,85.39,86.01,83.37,2458925
84.75,89.03,90.01,84.26,3318206
89.41,91.53,91.74,88.86,3989658
91.87,90.26,91.903,89.89,2917197
88.1,90.74,90.75,87.41,2416392
90.59,91.12,92.065,90.3801,1707587
90.44,90.685,91.68,90.11,1733236
90.61,90.92,91.4,90.22,1778369
91,90.29,91.7,89.95,1828234
89.67,90.835,90.84,89.25,2141545
91.68,92.97,93.365,90.8877,2517718
92.18,91.46,92.78,90.96,1897469
91.86,91.48,91.88,90.66,1309003
91.84,91.24,91.84,90.34,2139609
92.23,92.485,92.6932,91.72,1410143
92.25,91.55,92.25,90.94,1658859
91.54,91.47,91.6,90.6,1340574
91.83,92.315,92.81,91.31,1384184
92.27,92.0525,92.63,91.65,1728552
92.45,91.74,92.54,91.06,1556396
91.75,92.27,92.31,91.03,1715520
92.3,93.09,93.39,92.02,1209493
92.92,92.62,93.08,91.71,1048442
92.16,92.5,92.71,91.57,1121290
92.33,92.81,93.19,92.07,1320627
93.25,94.14,94.65,92.97,1454750
94.63,94.76,95.13,94.035,1252955
95.13,94.67,95.14,93.91,1827948
94.13,93.32,94.15,92.36,1633205
94.32,93.9825,94.69,93.56,1787951
93.75,94,94.35,93.35,1667208
93.93,93.54,94.01,93.15,1374246
93.63,94.37,94.42,93.49,1294897
94.7,93.84,95.21,93.72,1561844
93.91,94.35,94.83,93.6305,1819313
93.82,94.77,95.22,93.54,2141293
94.86,94.83,95.42,93.97,1863863
95.78,94.85,96.21,94.5659,1728824
95.42,93.59,95.565,93.17,1591742
95.11,94.16,95.47,93.44,2825592
94,94.45,96.5,93.5,4079613
93.58,92.43,93.8038,91.12,3167504
91.48,89.05,91.69,88.645,2830063
89.32,90.73,90.94,89,2026585
90.83,91.14,91.19,90.03,1784986
91.26,90.7,91.579,90.65,1748526
90.46,89.26,90.46,88.305,3046316
89.22,89.9,90,88.71,2852956
89.65,91.13,91.33,89.65,2411188
91.2,91.75,92.38,90.865,2148082
91.7,91.51,92.02,91.15,1825288
91.35,91.51,91.92,91.03,1177979
91.07,89.51,91.46,89.46,2043890
89.24,89.83,90.6598,89.03,1474934
90.26,90.91,91.17,90.043,1452380
91,91.66,92.34,90.75,2143735
92.09,91.9,93,91.46,1700894
92.46,93.11,93.51,92.07,1532254
93.77,94.26,94.34,92.94,1149356
94.12,93.75,94.24,93.45,1590184
94.36,94.98,95.11,93.58,1543395
95.06,97.47,97.6,94.97,1801088
97.79,98.41,98.93,97.49,1838392
98.2,98.67,98.99,97.62,1178579
97.97,97.56,98.43,97.34,1046200
98.06,98.34,98.75,97.68,1344478
98.62,97.63,98.95,97.09,1690758
97.82,97.36,98.38,97,1577090
97.28,98.01,98.35,97,1236168
98.46,98.88,99.16,98.055,1137834
99.32,99.93,100.12,99.18,1134096
100.45,100.02,100.765,99.82,1545603
99.6,97.77,100.01,97.13,1304299
98.23,97.86,98.36,97.23,1726805
97.94,98.55,99.53,97.71,2016088
97.57,98.02,98.725,97.19,1329331
98.32,98.54,98.63,97.5,1274884
98.43,98.24,99.8117,98.14,1322372
