Open, Close, High, Low, Volume
51,50.19,53.3,48.05,19906214
54.48,57.48,58.9,52.64,45764036
62.42,57.65,64.49,57.22,49449948
58.35,62.53,63.8,57.9,41248416
67,64.57,68.1,63.51,43968266
64.23,61.81,64.4,60.09,27149272
63.63,65.07,65.34,62.6,27366091
65,62.33,65.105,61.23,29843774
62.46,62.34,62.72,61.3,20873834
64.75,66.03,66.5,64.1801,26026344
64.5,64.97,66.93,63.72,18613624
63.62,62.7,64.5478,62.15,17372000
64.32,63.52,64.9,63.1004,13398750
63.89,63.29,64.877,63.25,15524888
63.98,63.43,64.08,62.5,15076128
64.43,65.08,65.42,63.84,15191563
66.52,65.43,67.29,64.81,18225127
67.35,67.9,68.79,66.06,16831196
67.45,64.7,67.45,64.7,15990848
63.5,61.09,63.61,60.215,25121214
60.02,58.89,60.03,57.57,29745968
60.26,58.995,60.47,58.87,23689902
59.3,57.91,59.3927,57.75,15857823
58.63,57.02,59.24,56.44,38343104
57.72,58.63,58.75,57.35,19095160
57.72,57.34,57.9299,56.33,18576566
57.38,56.75,58.44,56.73,19134974
56.09,54.1,56.09,53.18,26618339
52.67,53.9,53.91,51.13,28790724
53.04,52.52,53.27,51.66,36385858
55.65,57.9,58.62,55.5156,26137578
57.89,57.94,60.14,57.4,26963102
58.71,57.798,59.065,57.69,17880638
58.3,60.1,60.21,58.2,19268420
60.39,60.02,60.77,59.33,11820234
62.56,64.48,65.55,62.36,28842625
67,66.65,67.989,65.17,24701493
68.78,67.29,68.78,66.14,23470336
65.6,64.47,66.6,64.14,18031038
65,64.17,66.035,64.07,20099036
63.7,63.37,64.2,62.56,28217744
64.5,67.46,67.73,64.4375,29601838
67.1,67.49,67.83,66.31,16311078
71.03,72.11,73.74,71,25563554
72.5,74.12,74.93,72.5,20443752
72.65,70.6,72.65,70.55,17536480
70.14,68.36,70.2899,68.05,17634658
63.99,62.9399,65.71,62.82,22448410
65.97,64.1162,66.0699,63.98,5364434
63,67.05,67.76,62.4365,19971130
69.62,67.85,70.1,66.045,18301990
68,66.91,68.16,66.6301,14904159
65.83,66.88,67.43,65.61,10492004
68.36,64.895,68.36,64.47,20713772
64.81,65.05,65.42,63.9333,5953582
65.46,64.54,65.78,64.16,5785011
63.99,61.72,64.01,61.07,8746484
60.92,61.03,61.38,59.96,11707414
61.02,59.1,61.42,58.94,8938947
60.19,61.92,61.92,59.8,7438674
61.05,61.57,61.86,60.08,8766889
61.78,61.65,62.9,61.23,5901193
62.67,61.83,63.4562,61.62,7452085
63.06,63.32,63.83,62.12,5634111
62.54,61.04,62.83,60.94,7940966
60.88,61.0201,61.6372,60.2,8701822
60.66,58.12,60.88,58.06,10320721
59.1,59.64,60.2,58.77,9419373
60.28,59.36,60.8,58.7383,6687911
59,60.47,60.56,58.45,6061765
62.35,62.93,63.22,62.05,8280331
62.3,62.36,62.81,61.45,5031310
62.47,62.2,62.61,61.71,6165380
61.78,61.41,62.03,60.82,5685423
62,63.06,63.48,61.83,6736732
62.6,63.61,63.73,62.1735,5321648
63.59,63.12,64.33,62.915,3813670
63.21,62.07,63.97,61.785,5489616
61.65,61.09,61.85,60.65,9372446
61.74,61,61.8151,59.77,20223804
60.7,59.4,60.99,59.06,21105982
58.62,57.48,58.65,57.27,23421072
57.36,56.65,57.38,56.11,17649881
56.47,57.51,57.52,55.73,12478228
57.72,57.51,57.91,57.12,13732472
57.85,60.03,60.05,57.7,19290192
59.5,59.88,60.41,59.3,10768854
59.87,61.24,61.29,59.3493,10831271
62.39,64.23,64.435,62.14,15545099
65.19,64.25,66.15,64.075,21911690
65.13,64.32,65.14,63.38,13411629
63.06,63.3,64.0377,62.65,6235748
62.8,63.65,64.24,62.59,3585757
63.58,62.77,63.88,62.675,9349340
62.72,62.1,63.17,62.025,8068512
62.02,61.65,62.91,61.5,8570482
61,61,61.42,60.335,7748050
60.67,60.25,61.28,60.23,10371229
60.4,61.9,62.04,60.13,8771811
61.36,60.95,61.4,59.64,24313745
60.64,60.78,60.9238,59.985,16000534
60.76,60.89,61.96,60.375,15848305
61.12,62.27,62.53,60.63,19692437
62.19,60.93,63.57,60.92,18293434
60.69,60.68,61.35,60.12,16768022
61,61.98,62.15,60.76,13579534
62.19,60.87,63.2,60.42,15261813
61.49,61.17,62.2066,59.94,11975727
60.38,59.26,60.59,58.82,19252130
59.77,59.58,60.31,58.89,14477748
61.11,59.52,61.28,59.38,12305523
59.5,60.64,60.9,59.4,11789464
61.28,61.96,62.23,61.08,11456427
61.6603,61.5,62.44,60.955,4807206
61.24,62.94,63.73,60.91,6589540
62.21,62.84,64.01,61.56,4836092
62.57,62.34,63.32,62.1,7096388
61.58,60.02,62.5688,59.63,7387777
59.83,59.79,60.78,58.9301,5220059
59.895,58.33,60.88,58.3,5675163
58.05,57.37,58.32,56.62,5728628
56.87,57.49,57.74,56.34,8527540
58.12,58.9,59.57,58.09,4533271
58.68,57.6,58.79,57.4889,11318911
57.61,57.5235,58.605,57.1,11807995
57.82,57.44,58.45,57.1,10929166
56.52,59.34,59.38,56.51,14705034
59.85,59.51,60.33,59.17,9796431
59.81,58.45,60.58,58.43,12621623
59.31,59.69,59.94,58.95,7996828
59.82,60.8,60.85,59.6816,7671067
61.22,60.185,61.33,60.05,5073620
