Open, Close, High, Low, Volume
50.62,51.25,51.6701,50.26,7358641
52,51.76,52.2,51.505,4350623
52.03,51.81,52.3,51.6,4331368
52.36,51.805,52.52,51.575,5332272
52.07,52.28,52.51,51.96,3704043
52.4,52.08,52.51,51.835,2535567
52,51.87,52.17,51.56,1588146
52.03,51.84,52.1,51.67,2187092
52.02,52.03,52.055,51.63,1517138
52.2,51.38,52.4,51.36,2709607
51.55,51.45,51.61,50.96,4896126
51.2,51.51,51.77,51.04,4628799
51.93,51.79,52.48,51.64,4152896
51.99,51.99,52.05,51.47,3722586
51.9,52.23,52.325,51.84,2998554
52.41,53.33,53.59,52.32,5366446
53.48,53.55,54.475,53.35,6103016
53.75,54.17,54.23,53.2402,4221930
54.66,55.37,55.52,54.66,5512213
55.73,55.53,56.13,54.97,6478862
55.61,56.1,56.25,54.52,6834566
55.78,55.37,56.22,55.135,4460232
55.44,55.485,55.6,55.15,5857000
55.4,55.45,55.61,54.73,5381672
55.16,55.31,55.86,55.03,5754928
55.75,55.39,55.87,54.955,5064636
55.61,54.185,55.66,53.985,5736297
54.37,54.28,54.43,53.74,6847741
54.36,54.05,54.75,53.87,5768075
53.76,53.21,54.38,53.195,7294667
53.44,53.35,53.81,53.065,4944564
53.28,54.9,54.92,53.14,5185781
54.75,53.33,55.05,53.14,7482597
52.54,51.291,54.1,50.95,9419792
50,52.85,53.16,49.15,12745562
51.79,52.02,53.02,51.64,8649350
51.99,48.91,52.17,48.9,10171827
50.21,50.12,50.52,48.04,11075447
50.72,50.93,51.5,50.43,5376549
50.63,51.15,51.22,50.291,5438821
50.95,52.42,52.61,50.9,4717492
52.92,52.33,53.133,51.66,4131222
52.04,52.17,52.59,51.72,4832068
51.95,52.33,52.72,51.95,2946816
52.28,52.31,53.13,52.21,4834509
52.69,52.04,53.09,51.85,5296657
52.2,52.75,52.76,52.025,3851399
53,53.72,53.73,52.52,4663717
53.74,53.8,55.39,53.74,6780830
54,53.01,54.51,53.01,4327442
52.9,52.01,53.49,51.49,5735203
51.56,52.62,52.76,50.47,6950520
51.96,53.61,53.84,51.8,4509624
53.7,54.72,54.74,53.3484,6071726
53.94,55.43,55.47,53.15,6207861
55.67,55.91,55.97,54.89,6391927
56.41,57.7,57.73,56.4,5900661
57.86,57.78,58.04,57.54,4298124
57.92,56.68,58.11,56.555,6001872
56.35,55.94,57.04,55.58,8406077
56.32,55.6,56.32,55.191,4343560
55.79,55.69,56.51,55.57,5143426
55.66,55.67,55.96,54.63,4800358
55.7,55.97,56.2799,55.49,4171834
55.96,55.84,56.69,55.61,4245723
55.09,53.4,55.28,53.1561,5986489
53.5,51.32,53.62,51.18,5850667
52.34,52.97,53.11,51.5738,4796060
53.1,51.53,53.49,51.02,5375526
51.66,50.9,51.82,50.02,6377238
51.14,52.02,52.39,50.62,5161122
52,50.43,52.14,49.74,6707624
50.88,51.15,51.32,50.32,6181020
50.06,51.75,51.92,49.93,6193791
52.26,52.34,52.74,51.67,5438938
51.48,50.11,51.66,49.78,6869432
50.45,50.21,51.49,50.06,3836370
51.06,51.51,51.57,50.575,5452043
50.81,50.93,51.39,50.57,4701839
51.37,51.74,52.16,51.12,3285993
52.54,51.04,52.6,50.63,5255388
52.01,53.09,53.19,51.8,7400139
53.77,53.67,53.94,53.06,5658938
53.71,52.16,53.78,52.11,6557037
52.12,53.685,53.691,52.12,7064957
53.64,55,55.6,53.4,8736114
55.24,55.375,55.83,54.825,7162971
55.77,54.49,56.27,53.99,8210144
54.11,54.58,54.895,53.37,6588154
54.81,55.64,55.78,54.26,5569782
55.5,55.98,56.1,55.37,4040134
56.2,55.67,56.43,55.67,3996266
55.52,55.59,55.61,54.93,3759244
55.34,55.63,56.22,54.95,3912114
55.14,55.01,55.27,54.06,4784211
54.62,56.075,56.46,54.28,4085590
56.35,56.97,57.2,56.11,4587217
56.89,57.31,57.61,56.79,5073337
57.74,58.73,58.82,57.46,4918141
58.47,59,59.23,58.08,5114229
59.21,59.46,59.94,58.9,5602511
59.59,58.925,59.75,58.43,4602037
58.74,58.83,59.15,58.45,5255158
58.78,58.88,59.27,58.67,6047264
59,59.33,59.78,58.72,5030190
59.29,59.14,59.48,58.88,2512144
59.54,59.45,60.22,59.34,5531402
59.67,59.6,60.0447,59.475,5680690
59.14,58.92,59.35,58.2639,3986232
58.58,58.14,58.65,57.4,5795491
57.85,57.31,58.01,56.8,5206007
56.49,55.13,56.755,54.81,6493435
56.15,56.01,56.39,55.3894,5865513
55.85,55.62,56.26,55.425,4845692
56.53,56.67,57.02,56.34,4587318
57.09,56.85,57.26,56.66,3629522
56.52,56.32,56.95,56.13,3192156
56.63,57.93,57.94,56.63,3516030
58.11,57.34,58.25,56.78,2724725
57.29,57.72,57.7725,56.96,1903460
57.85,57.43,58.04,57.26,2013254
57.7,57.32,57.755,56.98,2579923
57.4,57.36,58.22,57.02,2923946
57.59,56.6,57.83,56.01,3713009
56.34,56.1,56.6,55.37,5252213
55.45,55.475,55.7,55.02,3742527
54.72,55.27,55.505,54.51,3134820
55.47,55.54,56.15,55.39,2993776
55.31,55.31,55.58,54.58,2817866
55.79,54.89,55.84,54.85,3363016
54.5,53.4,54.5301,52.73,5130911
53.44,53.07,53.685,53.01,3710305
53.22,51.9,53.68,51.9,5585527
51.9,51.72,52.05,51.11,5565771
52.23,51.09,52.49,51.05,4926476
50.56,51.29,51.325,50.32,5426676
51.5,50.28,51.7,50.19,1947005
50.57,49.49,50.57,49.42,6429003
49.49,50.63,51.06,49.35,5443051
50.9,51.9,52.02,50.84,4323084
51.9,51.11,51.98,51.03,4244073
50.71,50.48,51.015,50.24,4491487
50.78,50.75,50.99,50.34,4184356
50.72,50.62,50.78,49.9,4130180
50.79,51.08,51.385,50.66,4973800
52.53,52.88,53.78,52.49,7304619
53.14,54.22,54.26,53.12,6024706
53.91,52.88,54.07,52.72,4905350
52.56,52.16,52.64,51.93,7121145
52.15,52.62,52.7261,52,2838354
52.95,52.85,53.61,52.41,4298440
52.83,52.93,53.11,52.46,4522760
53.08,52.65,53.235,52.54,3719461
52.75,52.55,53.01,52.14,2660606
52.7,51.31,52.75,51.25,4054524
51.7,51.06,51.74,50.87,4054548
51.49,50.88,52.61,49.67,13623829
50.2,50.15,50.49,49.74,6174626
50.39,50.28,50.68,49.96,3387003
50.25,50.39,50.47,49.91,4072420
50.7,50.79,51.87,50.55,3812927
50.79,50.5,50.79,50.42,3450700
50.41,50.74,50.96,50.3,2878129
50.18,50.62,50.71,49.79,3379401
50.68,50.11,50.97,50.065,3253299
50.25,50.53,50.7,50.22,2583835
50,50.25,50.56,49.82,3174967
50.45,51.14,51.415,50.33,2702426
50.94,50.91,51.01,50.32,2703799
51,51.43,51.53,50.94,2056703
49.79,50.16,50.77,49.32,14371178
49.97,50.94,51.5,49.9,3844110
50.95,50.17,50.99,49.9143,3867290
50.47,50.55,50.91,50.41,3003676
50.83,51.37,51.79,50.83,3841810
51.58,51.25,51.8,51.18,3807578
51.35,51.34,51.72,51.14,3643460
51.15,50.56,51.289,50.51,2798736
50.38,50.79,50.89,50.2088,3584425
50.78,51.32,51.58,50.61,3140695
51.13,50.51,51.42,50.465,3023942
50.5,49.5225,50.77,49.15,6251127
49.73,50.17,50.38,49.26,6698760
50.5,50.63,50.9,50.38,4715111
50.52,51,51.245,50.5,4575978
51,50.71,51.12,50.58,4527889
50.82,50.42,50.97,50.36,4550157
50.59,51.17,51.565,50.59,3434743
51.29,50.32,51.49,50.12,4837672
50.31,50.63,50.825,50.22,3308699
50.83,52,52.09,50.82,6177176
52.33,52.07,52.7,51.89,4065323
52.37,51.84,52.39,51.77,5500995
51.79,51.56,51.83,51.28,2624754
51.65,51.62,51.74,51.165,2346518
51.73,50.73,51.86,50.66,3792333
50.83,50.52,50.91,50.42,3436325
50.26,49.15,50.29,49.06,7322592
49.35,49.56,49.75,49.22,7117113
49.52,49.865,49.92,48.98,4047356
50.34,50.82,51.11,50.24,5257285
51.01,51.68,52.47,50.8,7338957
51.89,51.48,52.1499,51.12,4597736
51.25,51.675,51.83,51.04,3948186
51.47,52.18,52.35,51.33,4239252
52.08,49.59,52.17,49.57,8458337
49.37,48.13,50.06,47.64,9490463
49.41,49.02,49.47,47.79,7970171
49,47.65,49.4299,47.63,6412003
48.06,48.23,48.42,47.14,11009070
48.02,48.04,48.4,47.03,6732732
47.99,46.7,48.11,46.4346,7238212
46.47,46.82,47.49,46.25,8153665
46.94,45.6,47.01,45.575,6161417
44.4,44.54,45,43.76,11956676
44.51,42.57,44.565,42.45,9811974
43.07,43.19,43.4,42.31,10208610
42.63,43.19,43.48,42.01,11512719
43.92,43.7,44.69,43.18,11278784
44.37,45.58,45.67,44.19,9534979
46.16,46.25,47.0542,46.12,9796888
46.34,46.39,46.695,45.96,6109255
46.86,46.57,47.3,46.32,8464520
46.63,47.29,47.48,46.42,5779477
47.11,47.74,47.86,47.11,4262650
48,48.57,48.72,47.54,6424020
48.18,48.62,49.24,48.125,5872213
48.46,47.65,48.52,47.52,5820808
47.5,46.75,47.79,46.6,5389889
46.85,47.05,47.76,46.75,5054687
47.48,46.88,47.97,46.17,7237405
46.39,47.32,47.54,45.98,9552800
46.78,46.97,47.24,46.61,8986022
46.4,45.96,46.9,45.35,7261339
45.25,44.53,45.46,44.13,9521518
45.02,44.87,45.6259,44.69,4370079
44.46,44.035,44.67,44.01,2691191
45.03,45.1,45.78,44.75,7365677
45.04,45.34,45.75,44.91,6221275
45.42,45.67,45.71,44.8,6537951
45.2,44.17,45.57,44.12,9307186
44.07,44.78,44.81,43.92,10040911
45.79,45.47,46.365,45.37,7781293
45.23,43.02,45.31,42.735,10929545
41.87,42.6,42.7,41.13,13090036
42.5,41.48,43.25,41.315,8411527
41.15,41.09,41.379,40.08,10919205
41.9,41.26,42.225,41.08,8484537
41.9,41.89,43.13,41.725,10224611
41.78,41.42,42.37,41.125,7729010
40.72,41.2,41.905,40.43,6521682
40.89,40.69,41.725,40.445,6528359
41.04,40.44,41.45,40.2,7917125
40.39,39.72,41.14,39.4,11754731
39.38,39.61,40.085,39.23,12896109
39.25,39.17,40.13,38.92,13285870
38.81,38.27,39.23,38.25,6086692
38.25,40.55,40.56,37.83,8253062
39.83,41.05,41.05,39.495,6957609
41.41,41.016,41.68,40.76,5980556
41.36,41.28,41.77,40.91,3500054
40.7,41.48,41.85,40.58,4958488
41.35,40.79,41.7,40.495,8427556
41.53,42.425,42.63,41.51,5929662
42.22,42.815,43.07,41.43,7363374
43.37,43.295,43.63,42.655,5995081
43.55,43.79,43.92,43.3243,4559264
43.47,43.68,43.93,43.27,4102638
43.31,43.81,44.0636,43.18,3438086
43.45,43.795,44.11,43.3,4134853
43.55,44.175,44.28,43.35,6005719
45.65,46.7201,47.18,44.99,11286607
46.37,46.885,47.25,46.03,6701471
47.22,47.94,48.2,46.93,6963016
47.65,47.33,47.979,47.18,7898022
47.96,47.35,47.96,46.81,6135568
47.21,47.405,47.85,47.14,3820076
48.15,47.9,48.2331,47.55,5834370
47.46,47.49,47.87,47.26,7047734
47.44,47.73,47.81,47.07,5204559
47.81,46.85,47.81,46.76,7195940
46.72,46.77,46.945,46.43,6615389
46.88,46.99,47.52,46.77,5343120
47,47.18,47.22,46.805,4505060
47.2,46.51,47.5,46.12,10337936
46.33,46.14,46.69,45.8,5274030
45.76,45.13,46,44.765,5413526
44.84,44.67,45,43.88,5282207
45.04,44.715,45.21,44.5,3805272
45.25,45.84,46.135,45.12,6153273
46.12,46.025,46.605,45.87,5269149
45.3,45.315,45.56,44.74,5188684
45.75,46.36,46.38,45.64,6282331
46,47.11,47.2,46,4201226
46.06,46.47,46.52,45.695,7234391
46.25,45.71,46.45,45.59,4770985
45.91,46.16,46.18,45.745,2913112
46.64,46.02,46.96,45.97,4281747
45.77,46.57,46.94,45.76,3329481
46.57,46.58,46.88,46.05,3111593
46.55,46.03,46.69,45.98,4219034
46.49,46.815,47.1,46.44,6155016
47,45.64,47.06,45.14,5605671
45.75,45.87,46.03,45.22,3822449
45.84,45.26,46.16,45.225,3423443
44.96,44.01,45.0112,43.49,7069114
43.63,43.44,43.67,43.105,5880881
43.75,43.78,44.18,43.52,4136601
43.94,43.99,44.16,43.73,3892929
44.37,44.41,44.63,44.16,4446183
44.27,45.3,45.36,44.01,7142911
45.42,45.45,45.56,45.24,3696542
45.67,45.9,46,45.61,2922373
46.481,45.74,46.68,45.59,3003122
45.58,44.55,45.92,44.5,7384232
44.24,43.82,44.49,43.78,7964250
43.13,41.79,43.35,41.55,11001686
41.85,41.84,42.25,41.455,7509485
42.31,42.54,42.75,42.21,9942559
42.5,41.92,42.525,41.59,6040965
42.04,42.68,42.69,41.76,7511421
43.21,42.77,43.29,42.71,5187298
43.35,44.13,44.21,43.2,2020796
43.88,44.38,44.42,43.68,3650127
44.89,44.63,44.95,44.42,5493957
44.63,44.87,44.97,44.63,5337818
44.95,44.54,44.99,44.41,6361217
44.34,44.77,44.79,44.13,6251732
44.3,44.43,44.6253,44.08,4770245
44.47,44.28,44.47,43.97,5016842
44.48,44.26,44.74,44.05,4767964
45,45.36,45.79,44.95,6016529
46.75,45.05,46.75,44.5,5876482
45.26,45.66,45.765,45.16,5640638
45.92,46.09,46.185,45.295,4905225
45.8,45.58,46,44.92,4659908
45.49,45.45,45.55,45.18,4137889
45.32,45.57,45.86,45.08,4608496
45.34,45.06,45.34,44.0427,4354415
44.95,45.31,45.77,44.77,3546422
45.29,44.89,45.4,44.41,5715745
45.12,45.89,46.08,45.045,4788472
45.85,45.78,46.14,45.11,5692138
45.96,45.56,46.18,45.0947,6537183
45.49,45.88,46.33,45.41,3885464
46.06,46.23,46.537,45.91,3690804
45.39,46.26,46.405,45.1,3870534
45.67,45.7,46.145,45.3,4799541
