Open, Close, High, Low, Volume
103.36,101.96,104.18,101.63,806816
101.6,99,102.28,98.18,1054615
99.07,97.34,99.44,96.9589,1164754
99.18,96.9,99.9,96.41,926626
96.65,95.41,97.5,93.9806,1301051
95.53,96.11,99.05,94.88,2131733
96.36,93.2,96.36,92.2387,911972
93.35,94.78,94.79,92.54,2186411
94.37,94.38,94.38,91.32,1066411
94.61,93.97,95.78,92.95,918911
94.05,93.205,94.227,91.58,914160
93.08,93.88,94.52,91.95,828437
93.39,94.6,96.2085,93.33,1600968
94.77,95.84,96.18,94.09,1106146
95.4,97.06,97.66,94.51,694745
97.84,99.7,99.985,97.5565,1067250
99.62,99.71,99.98,98.61,847155
99.66,101.44,101.61,99.36,575968
101.71,102.15,102.42,100.955,529107
101.94,102.69,102.8,101.53,670966
102.63,103.15,103.405,102.21,540700
103.16,103.15,103.78,102.59,551237
103.32,104.21,104.54,102.77,340756
104.29,104.73,105.09,103.8,808911
104.86,104.81,105.07,102.97,643996
104.97,104.11,105.29,103.2,770401
102.71,101.7,103.29,100.91,723532
102,101.42,102.93,101.28,507029
101.59,102.77,102.77,101.01,764882
102.77,103.3064,103.6,102.76,397455
103.4,103.52,104.12,102.82,366863
103.25,104.945,105.28,102.85,597742
105.11,103.93,105.51,103.89,602233
103.86,104.84,105,103.56,738455
104.87,105.32,105.51,104.49,608984
105.13,105.3,105.75,104.5635,629610
104.13,103.77,105.29,103.12,907515
103.34,103.46,103.97,102.425,673236
103.8,103.36,104.32,102.42,571141
103.41,104.38,104.8,103.292,616163
104.36,103.605,104.4583,102.77,768581
102.39,101.7,102.4,101.15,838559
102.38,103.31,104.17,102.21,1044687
104.02,106.97,107.5,103.52,1856525
106.59,106.77,107.08,105.76,644713
102.2,101.43,102.48,99.54,1634224
102.03,101.05,102.1715,100.3805,1144601
107.21,106.09,109.3,104.71,2606158
107.72,107.56,107.745,105.74,1817756
107.77,105.9,107.85,105.63,1279714
106.21,105.42,106.91,105.36,1142791
104.36,102.54,105.53,101.24,2353985
102.38,102.06,102.58,101.535,4440841
102.09,103.39,103.49,101.05,2127984
103.4,102.63,103.84,102.37,902122
102.83,102.48,102.84,101.9,646488
102.28,103.13,103.15,101.88,661361
103.24,102.79,103.5,102.59,568715
103.11,103.26,103.47,102.55,658676
103.38,103.88,103.97,102.67,801177
104.97,105.56,105.61,104.58,1011647
105.67,107.02,107.15,105.62,1008407
107.66,106.94,107.88,106.425,675934
107.22,107.06,107.97,106.51,734617
107.24,111.61,111.67,107.0701,1192888
111.6,114.29,115.06,111.6,1816983
113.88,115.935,116.388,113.88,1326975
116.33,115.73,116.77,115.52,912528
115.82,114.93,116.035,114.86,811918
115.04,116.06,116.38,115.04,743637
115.94,116.57,116.76,115.525,1358445
116.56,115.67,116.775,115.55,491700
115.91,116.05,116.64,115.07,1137098
115.95,115.32,116.25,114.97,699003
115.42,115.7,116.04,114.97,804389
115.68,116.54,116.92,115.39,652457
117,117.99,118.76,116.69,860406
118.09,119.5,120.55,117.8,1019881
119.63,119.08,120.4,118.54,822114
119.65,119.46,119.93,118.91,503356
119.05,118.35,119.25,118.18,660921
118.5,119.17,119.31,118.11,545038
119.25,118.93,119.87,118.04,418772
119.32,119.26,119.56,118.43,394360
120.5,120.7,121.42,119.36,613997
120.82,121.22,121.74,120.73,378411
121.15,121.72,121.94,121.07,580150
121.83,122.37,122.85,120.5,502408
122.36,121.2,122.36,120.83,537494
121.43,122.77,122.84,120.94,591332
122.49,122.06,122.87,121.77,495392
122.35,122.64,123.07,121.3,599192
122.61,122.5,122.99,121.28,581170
121.98,122.93,122.94,121.45,372329
123,123.52,123.58,122.48,341966
123.33,125.15,125.5,123,494449
125.2,125.09,125.35,123.96,663227
125.13,124.62,125.51,123.8152,511762
124.46,125.94,126.23,124.1539,564509
125.85,126.93,127.04,125.41,480206
126.11,126.76,126.98,125.53,484142
126.46,126.78,127.41,126,358804
126.9,127.54,128.085,126.4,519775
126.73,125.75,128.38,125.63,730882
125.62,126.87,127.95,125.62,510526
126.83,127.4,128.43,126.32,585137
127.45,126.69,127.5,126.4,480184
126.73,127.3,127.48,125.75,439004
126.75,127.13,127.605,126.04,329920
127.45,126.71,127.9137,126.56,361652
126.63,123.68,127.148,123.68,531284
123.22,120.92,123.24,120.395,1106152
121.172,121.14,122.32,120.63,760231
120.63,121.56,121.57,119.54,650806
121.61,124.3,124.6,121.33,712018
124.71,124.6,125.87,123.91,934540
125.77,125.25,125.86,124.34,947795
119.89,122.43,125.5915,117.65,1794256
122.33,124.51,124.91,121.76,921783
124.39,122.62,125.07,122.24,647737
122.71,123.09,124.27,122.355,754442
123.54,123.86,124.58,123.24,652401
123.73,123.55,124.685,122.675,493719
123.54,123.31,124.36,123.205,411099
123.34,122.4,123.75,122.0101,550625
