Open, Close, High, Low, Volume
86.32,85.65,87.23,84.97,852961
85.36,84.11,86.5,83.18,1246758
84.17,83.71,85.07,82.5,1094721
83.92,80.9,85,80.85,1402826
80.47,79.23,81.38,79.14,458481
79.8,82.78,82.84,79.4,2772261
81.56,83.25,83.68,80.72,899291
84.04,83.59,84.65,82.44,666726
84.01,83.78,84.47,83.43,559801
82.37,83.965,84.73,82.31,736358
82.94,81.17,83.26,81.08,634760
82.32,83.93,84.71,81.97,842329
83.88,85.86,86.17,83.59,642896
86.79,86.03,87.34,85.65,856367
86.21,86.865,87.7,85.9,887332
86.54,87.81,88.07,86.2,680209
87.28,87.72,87.99,86.76,914989
87.15,87.46,87.84,86.53,771641
87.66,88.395,88.54,87.55,996868
88.22,88.93,89.33,88.22,563639
88.31,89.13,89.71,88.3,660294
90.05,91.39,91.8424,89.35,997296
90.76,89.56,91.39,89.39,753421
89.95,89.96,91.22,89.38,767439
90.02,91.45,91.46,90,998961
92.44,93.51,93.8372,92.12,1045912
92.39,91.61,92.39,90.89,534134
91.45,90.33,91.53,89.77,491505
90.69,92.44,92.5,90.26,624454
92.47,93.36,93.81,92.17,570574
93.51,94.85,94.88,92.9,650286
95,97.53,97.59,94.87,1097126
97.9,98.735,98.81,97.71,1235517
98.75,99.75,99.82,98.25,910096
98.7,98.4,99.1,97.7606,579335
97.78,99.3332,99.5,97.48,424944
99.68,98.94,99.86,98.72,577770
99.71,101.67,101.71,99.1,794074
102,100.66,102.28,100.63,725763
100.28,100.8,101.33,100.09,727440
101.57,101.59,101.74,100.82,465173
101.24,101.87,101.88,100.63,623211
102.36,103.02,103.73,102.36,1185407
104.06,101.45,104.2,98.64,2876617
101.71,102.3,102.83,101.03,1762561
103,102.92,103.68,102.67,761203
102.43,102.6,103.14,102.01,594771
102.14,102.63,102.7,101.47,436750
102.57,101.68,103.07,101.65,875219
102.17,103.19,103.39,101.85,714267
103.32,103,103.94,101.32,1013642
102.95,103.39,103.52,102.58,724344
103.38,103.7,104.18,102.81,794194
103.54,103.27,103.8,102.55,904388
100.65,103.21,103.3,100.65,943936
103.52,105.39,105.5,103.52,895490
105.82,106.92,107.26,105.79,1271781
107.35,107.625,108.33,107.35,898791
107.5,108.01,108.23,107.11,734163
109.35,109.18,110.15,109.0875,810912
109.03,109.31,109.69,108.74,1067971
109.97,109.2,110.14,108.741,872176
109.17,109.26,110.01,108.34,745601
109.13,112.91,112.93,109.045,1169068
112.4,110.31,112.5,110.29,1249020
109.94,111.36,111.38,109.11,978116
112.36,112.43,113.07,111.84,1099413
112.52,112.47,113,110.9,1247607
112.74,113.92,114.08,112.2383,771338
114.71,115.15,115.2058,114,909196
116.49,117.58,117.78,115.84,727907
117.57,117.53,117.66,115.74,1372401
118.45,117.45,119.23,116.94,1143580
117.49,115.26,117.77,114.48,1114145
115.88,116.61,116.74,115.02,799977
116.22,116.43,116.67,114.83,530324
116.12,116.7,117.01,116.06,571861
116.8,117.27,117.73,116.6901,651072
117.58,117.76,118.27,116.86,737387
118.69,118.14,119.21,117.39,549072
118.31,117.57,118.94,117.03,589997
118.08,116.7,118.51,116.12,670948
117.45,116.02,117.57,115.97,817759
116.55,115.98,116.55,113.81,1014932
115.7,116.98,117.46,115.01,421538
118.42,119.9,120.745,118.03,1236461
120.25,119.89,121.37,119.78,844748
119.95,119.69,120.43,118.41,632519
119.61,120.1,120.12,118.19,668600
120.18,119.86,120.98,119.84,492267
119.88,121.11,121.18,119.66,552251
121.32,120.1,121.45,120.05,544617
120,120.74,121,119.19,687726
120.5,121.65,122.36,120.26,601643
119.18,121.51,121.83,118.37,600963
120.27,119.7,120.89,118.59,689057
119.32,119.34,120.15,118.3,537578
117.73,118.89,119.25,116.89,621121
118.18,119.83,120.26,116.61,568964
117.06,115.85,118.47,115.66,735348
116.49,117.75,118.38,116.37,643790
117.51,120.22,120.33,117.17,561256
120.53,123.18,124.12,120.53,1938973
123.5,121.39,123.8,121.1,1287354
121.51,115.01,121.51,113.94,2043305
116.39,115.71,117.13,115.05,1570034
114.85,115.08,115.42,113.95,2269244
116.4,117,119.87,115.51,2266932
117.36,116.7,118.47,116.4,1739944
117.1,117.84,119.38,117.1,1215899
116.91,116.2,117.57,115.84,782541
116.61,117,117.99,116.605,918490
115.72,116.39,117.1962,115.5526,879807
116.55,113.4,117.03,112.7566,1056990
114.51,118.02,118.12,113.52,1399929
119.35,120.99,120.99,119.01,1054124
121.6,122.16,122.23,120.35,1142847
122.9,123.97,124.13,122.47,786889
124.86,126.25,126.87,124.52,953321
127.45,126.14,127.91,124.59,1019941
125.88,126.75,127.43,125.44,574010
127.22,125.98,127.39,125.5,1336542
126.07,124.8,126.145,123.4,1590412
124.82,124.53,125.79,124.18,924473
126.11,125.9,126.51,125.41,1053929
126.39,127.65,128,126,895208
128.58,130.06,130.36,128.3448,932647
130.4,128.83,130.51,128.75,938274
129.21,128.14,129.56,127.88,498006
128.36,124.66,128.36,124.56,937174
125.97,123.96,126.77,123.58,1294263
124.03,125.6,125.86,124.03,843133
126.42,128.83,128.84,125.67,1587076
131.4,131.43,132.09,130.14,1295671
131.99,133.49,133.5,131.6763,1027926
133.07,134.88,135.25,133.07,745346
133.78,135.42,135.54,132.37,861440
134.66,135.63,135.68,134.445,1137485
134.91,135.86,135.97,134.555,925334
136.35,137.55,137.88,136.11,895235
137.64,136.44,137.85,136.33,1018506
137.61,137.4,137.73,135.58,596654
137.64,137.46,137.69,135.81,572351
137.44,135.92,137.52,135.78,657127
136.53,135.7,137.1,135.67,493413
135.27,136.04,136.52,134.66,818997
136.69,134.97,136.86,134.86,672869
135.58,135.39,136.41,135.07,487567
135.15,136.2,136.29,134.19,803461
135.98,137.61,137.78,135.05,536085
136.93,137.56,138.25,136.43,636671
138.28,137.09,138.72,137.02,469341
137.39,136.18,137.39,133.85,543860
135.13,135.36,136.36,134.85,467936
135.65,132.79,135.65,131.07,631989
133.35,132.52,135.67,131.78,628509
132.07,129.35,132.07,128.06,804662
125,124.73,126.75,123.85,1143324
125.87,126.22,127.1974,125.04,753303
126.71,127.03,127.575,124.1,557963
127.81,132.05,132.36,127.81,783763
131.05,130.94,131.71,129.31,574326
129.88,128.17,130.5,127.32,686715
127.97,132.15,132.86,127,969030
129.18,126.71,129.81,125.99,1020861
127.42,127.27,128.04,126.18,485022
128.94,128.98,130,128.35,627352
130.58,129.94,131.37,128.68,589318
129.81,129.96,130.98,128.62,627664
131.32,131.76,132.43,130.5737,1040831
135,139,142,134.25,2638120
137.47,135.04,140.82,134.51,1391860
136.63,136.62,136.96,134.85,1158109
137.29,136.69,137.8,135.7,986047
136.21,136.71,137.22,134.79,936840
138.5,141.31,142.37,138.5,950195
142.28,141.79,142.94,140.69,631237
140.08,139.28,141.29,138.47,787305
141.17,141.51,143,140.4866,710972
