Open, Close, High, Low, Volume
51.35,51.7,51.925,51.27,3791559
51.53,51.53,51.7,51.03,3197374
51.91,51.29,52,51.22,5793257
51.26,50.56,51.49,50.47,4062354
50.54,49.8,50.5958,49.78,6171256
49.8,49.93,50.05,49.63,4820714
49.76,49.49,50.3,49.42,7927958
49.53,48.5,49.54,48.48,6797583
48.51,48.04,48.75,48.02,3345938
48.05,48.04,48.27,47.92,3333264
48.09,48.275,48.44,48.08,2268510
48.35,48.11,48.47,48.01,2669381
48.01,47.135,48.07,46.96,5510014
47.05,46.89,47.37,46.84,5049509
46.89,46.71,47.09,46.58,4425514
46.79,46.76,46.95,46.44,4876852
46.9,47.21,47.23,46.73,6016175
47.31,46.63,47.31,46.5809,4342282
46.46,45.97,46.5,45.811,6248970
45.65,45.25,45.84,45.08,5919910
45.08,44.82,45.365,44.44,7022693
44.94,44.68,45.15,44.31,8180809
44.62,45.06,45.28,44.56,9154619
44.98,44.91,45.14,44.26,8594773
44.99,44.44,45.07,44.405,6366056
44.61,44.05,44.72,43.97,6500270
43.67,44.46,44.75,43.16,8151292
44.43,44.09,44.59,44.08,6797341
44.08,44.64,44.69,44.03,5682637
44.65,44.31,44.84,43.98,7438988
44.17,43.99,44.21,43.85,4706207
43.98,44.81,44.92,43.98,7247144
44.75,45.1,45.15,44.51,7148294
45.11,44.38,45.3,44.22,7665038
44.2,44.15,44.53,44.02,5194180
44.23,43.71,44.72,43.52,8066873
43.34,43.5,43.88,42.63,12839906
43.39,43.33,43.93,43.184,8423210
43.2,43.41,44.05,43.03,7840128
43.38,44.34,44.65,43.3,9601046
44.33,44.67,44.87,43.97,5328514
44.58,44.62,44.835,44.1,5167827
44.35,43.6,44.43,43.56,6360191
43.85,44.56,44.57,43.73,6046098
43.98,43.92,44.06,43.51,6702720
43.74,43.43,43.9201,43.19,5855318
43.58,42.92,43.851,42.91,6294572
42.92,43.02,43.43,42.38,5250259
43.02,44.08,44.22,42.99,4267947
44.29,44.01,44.5,43.86,4620628
