Open, Close, High, Low, Volume
182.97,184.04,186.1,182.97,2303054
183.62,182.67,184.84,181.37,1374792
182.76,174.96,183.39,174.38,1328506
176.06,174.97,177.69,173.17,1212993
174.93,171.98,175.59,170.94,1141993
171.95,168.07,172.25,167.74,1682089
168.05,164.92,172.125,164.44,2166814
164.88,160.76,165.37,160.58,994888
160.71,166.62,166.66,159.77,1333415
165.52,167.28,167.36,162.595,1231305
168.87,168.2,170.15,165.93,1044260
168.26,167.51,168.595,164.98,894541
166.35,164.68,167.29,163.63,1006655
164.34,164.64,167.81,164.31,1199782
165.83,167.07,168.86,164.18,786470
167.84,168.7,170.65,167.57,1088265
169.8,172.91,173.59,168.65,1157405
173.67,173.27,173.93,171.795,852334
171.26,173.36,173.92,170.205,1293226
173.18,172,173.18,170.57,1133043
171.55,170.7901,172.42,170.19,855281
170.84,171.5,172.88,170.62,987312
171.22,172.86,173.06,170.5,1037931
172.51,172.87,173.88,171.35,820671
175.52,173.78,175.52,172.17,1041810
173.9,172.96,174.05,171.84,797939
173.29,173.93,174.2,172.4,948871
174,175.34,176.02,173.04,1134873
175.81,176.8,177.4,175.535,868809
176.66,178.3,178.79,175.55,1149334
178.11,178.92,179.52,177.69,1513153
179.23,181.32,182.62,178.665,2018018
181,182.14,182.25,179.59,1852537
184.58,179.47,185.22,176.6,1743673
179,181.71,181.71,178.5801,1181534
182.34,184.12,184.12,181.12,1070299
184,183.63,184.97,182.245,711007
182.57,185.79,186,181.38,1275998
184.88,184.1,186.44,183.44,991740
184,185.21,185.475,183.39,879983
185.93,184.56,186.0371,183.61,1697097
182.2,184.07,184.5,181.64,1099168
184.05,183.74,184.51,182.17,961056
184.38,183.37,184.38,181.9,1129024
178.69,182.14,182.18,178.51,1382223
182.61,183.65,185.22,182.2038,1135037
184.37,183.26,184.54,182.52,1074998
183.56,183.27,183.95,182.43,616199
182.59,181.23,182.9,180.79,1073046
181.16,181.2,183.7,180.21,1453048
181.16,175.54,181.485,173.91,2257640
177.38,175.26,177.38,173.155,1427302
175.45,176.4,177.17,174.98,1086089
176.48,176.38,178.11,176.09,1360932
176.17,175.39,177.615,174.75,1312737
175,174.18,176.22,173.38,1271839
175,175.88,176,173.11,1053887
176.28,177.98,178.25,176.01,832336
179.04,178.18,179.46,178.05,915339
178.26,179.87,179.98,177.43,1201298
176.31,176.11,176.8,175.24,1177585
176.24,174.33,176.57,173.56,1106158
174.66,173.46,174.93,172.9,902663
173.55,173.95,175.25,172.02,1122147
173.62,178.18,178.24,172.22,1119254
178.25,177.6,179.97,177.52,974758
178.19,177.98,178.77,176.67,581625
178.84,181.23,181.38,177.89,903579
180.44,181.11,181.7,179.69,1073087
181.35,183.34,183.39,180.6441,1047168
183.78,182.21,183.92,181.54,1104786
182.68,182.92,183.13,180.97,430290
182.8,183.28,183.48,179.96,1127365
183.47,182.92,184.21,181.38,708402
183.54,183.85,183.91,182.37,731229
183.86,184.82,185.42,183.2,652604
185.01,183.49,185.59,183.005,446838
183.28,182.61,183.28,182.03,501331
183.69,184.93,184.97,182.655,542867
185,184.21,186.4,183.54,782963
184.04,185.52,185.53,182.325,570578
185.99,184.48,186.24,183.67,522047
184.15,177.1,184.32,176.09,1234468
177.66,177.46,178.8,175.37,1062929
177.49,178.06,179.33,177.27,718041
177.6,173.71,177.6,171.945,1040774
174.58,176.63,177.22,173.9711,739017
177.03,178.15,179.25,176.25,625714
177.39,177.82,178.47,176.11,782806
178.43,178.58,179.67,177.49,724389
178.92,175.75,179.9,175.56,945479
174.9,173.69,175.17,168.5,1795966
173.37,177.75,178.93,172.26,2080076
178.02,177.8,179.3,177.055,1464657
177.64,179.45,180.06,176.59,954711
178.59,178.12,179.09,177.32,714213
177.66,174.08,178.705,172.62,1391708
173.82,172.74,175.5,172.62,798153
172.22,173.77,173.98,170.84,1246393
173.77,175.26,175.795,172.2,1110114
173.65,175.02,176.19,173.6,850429
174.79,176.25,176.34,173.7958,1226853
176.42,177.02,177.93,175.225,765254
175.14,175.31,176.68,174.71,695445
173.7,174.4,175.72,173.38,1059855
174.29,170.48,174.54,169.97,1094677
171.13,172.81,173.505,170.35,1577921
172.84,171.7,173.23,171.3,1325454
170.83,171.46,172.44,169.03,1391322
172.05,171.36,172.39,170.24,1023287
171.1,168.04,171.81,167.99,1199574
168.69,163.95,168.69,163.16,1842148
163.96,163.04,165.58,163.03,1281589
162.01,162.09,162.87,160.7,1906858
162.13,161.62,162.61,159.69,1169511
161.67,162.09,163.07,160.53,1288266
163.45,164.95,165.1,162.69,1003084
164.88,163.59,165.065,162.45,995176
164.89,163.39,165,163.315,658478
163.86,161.41,164.18,160.62,1160837
162.1,162.64,163.25,161.26,783763
163.29,162.55,163.73,162.02,798012
162.66,163.745,163.78,161.88,762454
163.96,162.92,164.34,162.58,952449
163.3,166.54,166.98,162.96,1571437
167.49,166.15,168.515,165.81,1089496
165.74,165.27,166.55,163.03,955360
165.43,164.85,166.19,162.81,1319120
164.81,164.11,164.81,162.11,1547366
164.41,162,165,161.62,1002366
162.38,161.45,164.13,161.08,900931
161.5,159.25,162.08,158.6287,1161232
159.7,159.89,161,158.67,936478
160.52,159.75,161.3025,159.3,855147
160.68,158.65,161.5189,157.84,1298786
159.42,161.98,162.23,158.6,1261889
162.58,164.94,165.155,162.58,959016
163.78,162.97,164.09,160.56,761921
