Open, Close, High, Low, Volume
169,167.58,170,167.34,868276
168.9,169.03,169.9899,168.46,965433
169.49,170.99,171.39,169.16,765020
171.42,171.97,172.21,170.54,668800
171.08,170.01,172.31,169.44,817251
170.43,168.72,171.25,168.58,417507
169.26,167.84,169.64,167.63,456766
168.29,167.43,168.76,166.67,267594
167.95,169.39,169.89,167.76,304094
169.49,169.83,169.93,168.6,245270
170.25,169.48,171.089,169.37,343375
170,168.16,170.3,167.99,393997
168.26,170.78,171.19,167.95,566543
171.3,173.38,174.01,171.285,480418
173.58,175.66,175.79,173.58,420926
175.52,177.03,177.44,175.1325,527554
177.33,177.21,178.5,176.53,618429
177.37,175.62,178.04,175.01,625744
175.95,176.4,176.49,174.48,492981
176.97,177.65,177.94,175.96,470305
178.11,175.85,178.62,175.08,436181
176.78,176.78,177.31,174.95,701942
176.45,178.6,179.67,176.45,598964
179.9,181.14,182.24,178.23,620212
181.28,182.14,182.17,179.78,528817
182.23,182.89,183.67,181.17,480512
183.16,183.13,184.5,181.935,431742
183.12,181.91,184.77,181.6,508180
182.81,183.9,184.21,181.6,715593
183.8,181.05,185.34,180.93,661915
180.79,180.34,182.59,180,863571
180.83,181.14,182.45,180.71,530780
180.4,182.15,182.98,179.42,732301
181.55,177.37,181.86,177.31,769514
177.04,165.9,178.415,164.99,1795844
165.78,180,181,165.78,4590105
179.79,182.8,185.38,175.02,1746314
182.8,173.31,185.17,173.15,1910208
175,177.56,178.86,170.05,1813234
180,180.36,183.38,178.14,1275703
179.4,181.88,182.42,179.4,1124097
181.2,186.03,186.39,179.98,1183089
187.3,188.96,189.24,184.71,1024150
188.8,189.32,190.99,188.015,748800
189.23,187.87,190.48,187.16,627412
188.17,187.59,191.19,187.525,565057
188.21,187.81,189.34,187.07,659841
188.3,191.64,191.91,187.85,713916
192.46,193.27,193.34,191.45,757852
193.29,193.1,195.47,192.69,801324
193.3,191.73,195.93,191.72,645030
191.14,189.41,192.99,187.65,1005518
187.86,188.95,189.57,185.58,770794
187.4,190.38,191,186.04,541327
190.7,191.04,191.4,188.29,551379
189,189.71,190.11,187.07,925169
190,192.28,192.69,189.555,986563
193.93,194.91,196.14,193.03,1054301
194.14,195.94,196.715,193.88,940016
197.25,195.9,197.76,195.33,1130015
196.47,192.39,197.44,191.95,666574
192.69,192.75,194.18,191.405,465667
193.06,192.31,194.965,191.94,856151
192.33,190.45,193.62,189.65,813001
191.79,195.65,196.39,190.68,939427
196.13,193.81,196.72,193.76,1069877
192.04,189.12,193.23,188.94,850881
189.96,186.46,191.37,186.24,795810
189.85,191.28,192.75,188.14,770716
192.38,187.89,193.2,186.6,903490
188.38,187.3,189.84,184.81,783687
188.37,190.53,191.82,187.32,760312
190.2,186.61,190.7099,183.75,869255
187.09,189.21,189.35,185.99,924509
186.86,189.46,190.19,185.8,976525
190.85,189.72,191.5,189.21,749458
187.42,187.27,189.69,185.53,562922
189.48,188.02,191.26,187.62,525711
192.07,191.45,192.74,188.78,583282
190.06,189.5,190.97,188.58,405998
191.12,192.2,193.29,190.375,477178
192.17,190.8205,193.39,189.67,655021
192.5,191.71,193.04,190.8,589145
193.42,193.98,194.85,192.92,563615
194.21,194.68,195.555,193.31,451690
194.58,193.94,195.18,193.008,451405
194.11,193,194.8699,191.91,692472
193.11,191.98,193.97,191.27,839191
193.02,189.06,193.67,187.8,1158235
189.07,189.59,190.67,186.36,1138557
185.89,190.25,192.28,184.55,1429408
190.51,187.07,190.71,186.9,979278
188.65,188.6,190.83,188.18,785130
189,190.01,190.24,188.2201,656514
189.3,188.01,190.72,187.85,886761
187.66,189.57,189.85,185.105,1256841
188.62,192.14,192.9,187.65,485560
192.79,193.33,194.07,192.41,448783
193.93,194.78,194.88,192.37,530185
194.89,197.38,198.19,193.54,684358
198.18,200.61,201.2,197.7572,800163
200.28,199.98,201.44,199.38,621209
200.63,199.08,201.19,197.67,600302
198.44,198.37,198.64,196.65,734812
0,198.21,199.16,0,725699
198.45,197.7,198.82,196.72,567848
197.67,197.97,198.86,197.02,820879
198.49,200.62,201.18,198.49,707262
200.89,200.06,201.5,198.99,621106
199.26,200.89,201.01,198.79,877038
200.94,199.79,202.75,198.0679,881441
198.78,200.29,200.61,198.19,589297
199.28,197.21,200.37,195.39,907940
198.82,199.49,200.38,197.81,530649
199.3,197.49,199.57,196.89,668513
198.93,200.4,201.55,198.71,594360
