Open, Close, High, Low, Volume
117.07,114.7,117.07,114.54,1290643
115.31,115.28,115.93,114.67,1146187
114.59,115.77,115.91,114.05,841333
116.49,116.48,117.55,115.3,1201294
116.48,115.09,116.9044,114.46,743571
115.11,112.195,115.6,112.17,824664
112.36,111.93,112.65,111.52,952966
110.81,106.93,111.25,106.7,3803786
105.86,108.33,108.77,105.03,1678514
108.36,107.94,108.86,107.665,740758
108.32,107.81,108.92,107.54,652097
107.36,107.08,107.85,106.72,934231
107.28,106.95,107.575,106.531,528884
107.24,105.5,107.48,105.28,1679754
102.99,108.18,108.5,102.99,3002176
108.09,107.43,109.69,106.85,2889205
108.84,108.44,109.74,107.6,8523661
108.45,108.46,108.53,107.62,2579516
108.56,107.67,108.7,107.52,1584506
106.85,107.19,107.5,106.73,1794129
107.27,106.72,107.55,106.39,1354280
106.34,106.9,107.44,106.13,1190737
107.78,107.06,107.81,106.5,1604529
106.96,106.59,107.09,106.03,1630400
106.21,106.03,106.58,104.93,2322690
106.13,106.01,106.53,105.68,1481453
106.06,105.07,106.96,104.83,1784069
105.14,106.22,107.1,105.08,1793825
106.23,105.7,106.455,105.46,1523665
105.28,106.44,106.47,105.28,1317363
106.72,105.5,106.74,104.62,1984077
105.1,104.45,105.42,103.66,1710240
104.54,105.82,106.18,104.4,1753604
106,107.03,107.17,105.55,1952679
107.1,106.57,109.19,105.84,2297394
105.9,105.6,106.72,105.18,1507359
105.46,104.24,107.11,103.935,2138202
103.36,103.37,103.78,100.63,2377347
103.41,104.01,105.105,103.02,1922023
104.5,103.35,104.97,102.93,2012501
103.73,106.12,106.81,102.92,2334426
106.17,106.61,107.21,105.34,1124694
106.39,106.78,107.22,105.06,837122
106.05,105.48,106.3,105.155,732053
106.08,107.98,108,105.32,890583
107.73,109.01,109.305,107.54,886514
108.61,107.51,109.205,106.71,798515
107.52,105.44,108.18,105.38,902603
105.96,106.64,107.49,105.06,1008555
106.88,109.58,109.64,106.88,1010416
109.46,109.42,110.01,108.8,1337792
104.88,110.1,111.31,104.88,2238474
110.33,109.03,110.6,108.71,1002467
109.08,107.64,110.12,107.205,1336324
107.57,107.06,108.71,105.84,754451
107.14,110.72,111.13,106.64,1102491
110.68,109.38,111.85,108.97,1011223
109.02,108.53,109.73,107.78,779243
108.71,109.79,110.2,108.57,1421534
110.02,109.1,110.38,108.29,1215699
108.87,109.83,109.95,108.34,1205119
110.28,110.7,110.945,109.5545,1019955
111.07,112.87,113.105,111.03,1338774
112.6,112.2,113.535,111.2,1215546
112.01,112.99,113.14,111.27,1318884
112.78,112.43,113.34,111.84,871059
112.51,110.62,112.87,110.56,1073841
110.92,110.42,111.7,109.96,926143
109.72,110.53,112.28,109.26,853245
110.46,108.97,111.815,108.72,736125
