Open, Close, High, Low, Volume
87.67,89.18,89.765,87.61,345396
89.42,89.06,90.61,88.99,246331
89.35,89.99,90.3,89.21,214426
90.5,89.29,90.54,89.26,213589
89.21,88.27,89.88,88.18,235742
88.39,88.13,88.48,87.53,357469
87.97,87.86,88.6499,87.8,133836
87.87,88.33,88.54,87.61,146219
88.63,88.27,88.63,87.58,122603
88.23,87.44,88.8,87.425,124265
88.23,88.29,88.55,87.71,273294
87,87.12,88.09,86.2574,350485
87.61,86.52,87.79,86.5,228561
86.59,86.98,87.18,86.44,410299
87.38,88.8,89.1,86.87,301556
89.3,90.01,90.438,88.72,409532
89.82,90.05,90.12,89.09,205263
89.98,90.43,90.66,89.875,215851
90.75,91.71,91.81,90.46,205328
91.68,91.71,93.71,91.23,248639
92.27,91.92,92.99,91.84,135014
91.89,91.44,92.07,91.01,221198
91.93,91.94,92.22,91.2001,194659
91.51,91.87,92.61,91.42,220308
91.91,91.61,92.48,91.45,135779
91.99,91.72,92.35,91.35,258933
92.38,91.84,92.98,91.435,743749
92.19,92.05,92.42,91.44,162366
92.09,92.71,93.155,92.01,148679
92.17,92.33,92.79,91.92,157192
92.58,90.94,92.93,90.89,231209
90.62,91.44,91.59,89.66,144727
91.11,90.65,91.6,90.51,192842
89.95,88.08,90.51,87.63,335657
86.81,88.4,88.65,85.52,364291
87.6,86.16,88.77,83.92,791632
86.81,84.17,87.69,84.17,506217
84.63,85.53,86.24,82.88,487875
85.8,85.89,86.57,84.86,232632
85.59,85.67,86.05,83.44,385470
85.67,88.31,88.47,85.4,360425
88.66,89.5,89.63,87.77,238703
89.49,90.11,90.91,88.98,169317
90.06,89.51,90.1294,88.81,254632
89.65,90.13,91.42,89.43,316839
90.45,90.65,91.92,90.1401,280010
90.88,91.8,91.9,90.69,154756
92.45,92.55,92.87,91.09,174756
92.21,92.05,92.69,91.802,180277
92,91.26,92.77,91.21,160115
91.1,90.12,91.43,89.03,308328
89.4,89.75,90.445,88.9101,188214
89.37,90.91,91.09,89.13,247276
91.11,93.17,93.23,90.45,384437
92.49,92.77,93.53,92.46,339211
93.37,93.42,93.885,92.55,213449
