Open, Close, High, Low, Volume
181.63,181.26,182.99,180.24,1137083
180.39,176.05,181.6,174.59,2155618
175.75,172.59,176,171.075,2882928
172.65,172.03,176.4,171.45,3345688
172.11,166.87,172.895,165.93,2175368
166.77,162.16,168.41,161.985,2788615
160.82,157.11,161.38,156.25,1430526
157.96,163.47,163.4799,157.28,1710072
161.71,163.49,163.5,158.64,1559183
164.82,162.8999,165.63,161.52,1671021
163.5,160.007,163.9999,159.52,1588574
160.06,163.92,165.51,159.3,1555392
163.1,161.79,164.32,160.92,1692201
163.02,166.47,166.62,162.16,3109238
169.45,170.11,172.33,168.08,3083717
171.65,172.49,173.4,170.11,2733383
152.61,150.85,161.26,150.37,15282563
156.5,159.84,161.48,155.56,7097480
160,158.93,160.73,157.2,2938364
158.22,161.305,161.75,158.22,2513011
161.09,160.23,161.09,158.87,1687046
160.24,159.77,161.67,158.82,1477839
159.09,160.04,160.85,157.14,1544097
161.79,163.885,166.1,161.5,2780254
165.98,164.4645,167.92,163.47,2342648
165.27,165.66,165.96,164.27,2473273
165.39,164.695,165.7499,163.71,1990426
166,166.76,167.31,165.86,2177964
166.56,167.91,168.5799,165.7,2199204
167.92,168.08,168.5,167.24,2888583
168.58,170.45,170.67,168.13,2358202
171.1,173.67,173.77,170.15,2135053
174.15,173.55,174.58,172.74,2103525
174.25,172.415,174.3,171.96,1065877
173.695,174.46,176.46,173.34,1689908
174.34,172.45,174.68,171.345,1463504
171.62,174.055,174.68,171.31,1547791
174.1,175.05,175.13,173.55,1198280
174.58,172.89,175.87,171.66,1792463
172.31,172,173.03,170.87,1805144
173.93,174.84,176.13,173.01,4517521
174.91,174.12,175,173.05,2340818
175.26,174.78,176.19,173.5635,1622088
174.98,174.65,176.39,174.05,1938014
175.41,166.97,176.78,166.36,4929076
167.35,165.73,167.75,163.99,5189847
165.72,169.06,169.365,165.5,3608391
170.3,167.14,170.75,166.85,1461162
167.08,169.39,169.7811,167.08,1293955
168.75,169.23,169.33,167.85,912004
169.94,169.15,170.435,168.69,1030688
170.2,171.95,171.95,169.95,1227357
172.57,170.65,172.785,169.0524,1693063
170.22,167.49,170.22,167.1,1759296
167.6,166.04,168.91,165.72,1147453
168.45,167.64,169.57,166.355,1314933
166.85,166.2,167.86,165.32,1006469
167.06,168.34,168.76,166.45,928163
168.54,168.8,169.45,167.85,894679
169.83,170.62,171.9,169.71,1253724
170.5,170.61,171.29,169.31,1108507
172.44,170.44,172.81,169.8,1604546
171.08,171.06,171.38,170.3,726065
169.6922,167.33,169.83,166.01,1766612
167.33,164.63,167.61,163.52,2300080
164.22,169.38,169.51,164.17,1473571
168.41,169.49,170.42,167.52,1166852
168.64,168.02,169.15,166.75,1215888
168.54,171.7,171.87,168.2771,1902666
170.23,170.11,171.89,169.44,1103187
170.25,172.51,172.52,169.89,1039697
172.97,175.34,176.46,172.755,1912165
176.91,177.54,178.59,174.52,1589759
178.25,176.74,178.61,175.5,2131921
177.26,179.62,179.77,176.81,2461279
178.51,191.43,193.19,178.12,7363892
191.5,193.17,193.71,189.16,3950754
192.5,192.29,192.66,190.56,2362313
191.34,190.97,192.33,189.56,1608315
191,190.1,191.6,188.63,1221795
190.03,191.11,191.6,189.1129,1715855
192.2,190.52,192.52,190.23,792563
190.69,190.95,191,189.32,1214141
191.01,190,191.46,189.55,1373506
190.95,191.57,192.87,189.85,955287
193.34,198.82,199.88,193.34,2731385
198.53,205.4,205.75,198.26,2048080
206.83,207.49,209.2,204.93,2082507
208.15,210.05,210.42,207.9,1277315
208.81,212.19,214.48,208.81,1617151
213,212.16,214.36,211.5,1258756
212.36,212.53,213.3448,210.68,917475
212.1,211.85,212.77,209.91,1154341
211.6,212.02,213.7,211.21,771236
211.14,209.08,211.69,207.6604,1467683
210.13,211.34,212.06,209.79,1028614
208.28,210.36,211.3048,208,789947
209.13,207.97,209.64,206.74,1096939
207.16,207.35,208.77,206.75,717345
205.16,201.93,206.58,201.82,1598034
201.06,203.25,204.01,199.27,1523972
200.08,201.17,201.67,199.02,1197597
