Open, Close, High, Low, Volume
116.14,118.37,119.11,116.05,1458125
119.2,120.01,122.355,117.2,1767857
121.11,120.31,122.82,118.81,1289804
120.55,117.46,122.08,117.11,1662340
116.7,115.58,118.6549,114.36,1131746
115.6,113.67,118.36,113.6,1374678
113.16,111.32,114.2,110.71,728409
112.22,117.02,117.11,110.54,739382
115.09,120.17,120.17,114.77,1215379
120.54,118.81,121.18,118,729838
119.25,119.105,120.7,117.97,837083
117.6,120.32,121,117,629250
119.95,117.49,120.095,116.16,646623
119.52,123.12,123.3,119.52,857201
123.6,125.64,127.035,122.1,1116094
127.46,127.9,129.33,126.62,1453508
128.79,130.93,131.91,128.54,1376152
130.15,132.24,132.28,129.285,918130
131.07,132.62,133.09,130.695,824798
131.24,130.92,132.44,130.39,967373
131.17,129,131.17,127.02,2014600
129.59,129.63,130.94,129.155,1098704
128.25,132.63,134.945,127.765,2002452
133.65,136.68,137.96,132.96,1977508
119.9,115.3,120.5,115.02,8154774
118,118.64,121.02,115.535,3819879
118.85,118.16,119.8,116.625,1643075
119.99,120.46,120.96,118.84,1487835
119.19,121.08,121.31,118.61,1192340
121.36,123.285,124.28,120.78,1191351
124.44,124.42,125,122.31,1063326
124.3465,126.61,126.79,123.04,1182880
126.5,127.71,127.9,125.75,960669
127.92,128.65,128.79,126.685,676911
128.96,130.27,130.33,127.46,1191012
130.06,130.18,130.99,129.495,964192
129.1,127.92,129.69,126.23,1130476
127.52,126.63,129.15,125.77,945488
127.62,128.39,128.87,127.36,491450
129.6,132.25,133.04,128.585,1093197
132.75,134.3,134.74,132.4757,974961
133.07,133.09,134.4,131.91,669963
134.25,136.41,136.73,133.7084,846286
136.77,136.87,137.82,136.39,738415
136.5,137.56,138.09,135.91,593133
138.2,138.93,139.34,137.68,1064367
139.8,137.4,139.9,137.09,882689
136.7,135.86,137.37,135.85,1211056
135.8,136.4,136.87,133.65,1453073
136,132.42,136,132.23,1497424
133.63,132.64,134.25,130.92,1281576
133.08,134.97,135.79,133.08,1285957
134.64,134.18,135.19,133.33,951121
134.43,133.625,134.85,133.56,723894
133.2,131.25,133.355,130.32,1746720
129.34,129.25,129.48,127.49,1430670
129.26,132.54,132.58,129.13,639161
133,132.63,133.925,132.13,986246
133.43,133.57,134.67,132.7,720958
133.24,131.99,133.35,131.61,1062312
132.52,131.51,132.67,131,707965
131.51,134.19,134.26,130.65,652207
135.24,133.37,135.38,132.59,490281
133.05,131.81,133.625,130.11,715442
131.51,134.6,135.03,130.89,625171
135.95,130.9,135.95,130.755,972918
130.9,131.67,132.71,130.57,435252
132.82,132.04,133.03,131.19,476316
132.43,132.36,133.415,131.408,516547
132.73,134.59,134.74,132.59,732905
135.83,136.13,137.24,135.27,761492
137.99,139.5,139.85,137.07,708873
139.36,139.29,139.73,137.64,501896
140,140.75,142.33,139.81,773947
140.75,142.94,143.13,140.6535,872842
143.01,142.79,144.05,142.55,792498
142.25,144.02,144.07,141.68,599255
142.61,141.88,142.77,140.27,1326303
141.97,142.47,142.71,141.11,671240
142.63,144.38,145.06,142.36,877866
145.61,146.17,146.58,144.81,750962
145.91,146.63,148.13,145.91,1246693
146.94,145.84,147.26,145.39,1166236
