Open, Close, High, Low, Volume
68.76,68.69,70,68.39,1333230
68.5,68.44,70.395,68.05,1387281
68.92,68.79,70.53,68.5701,1409678
68.37,66.35,69.33,65.7601,1703370
66,65.65,67.41,64.47,1897765
66.3,64.44,67.5,63.91,2568765
63.82,62.77,65.51,62.71,1171717
63.49,66.7,66.8,62.74,1554436
65.49,67.75,67.75,65.39,1223007
67.87,67.13,68.405,66.81,1325119
67.8,66.57,68.06,66.38,967982
65.86,67.91,68.95,65.75,1645700
64.8,60.885,65.26,60.115,4163658
61.16,63.635,64.65,61.16,3519774
63.05,64.51,65.65,62.91,1903483
64.95,65.17,65.5,63.76,1589626
65.91,67.59,68.5,65.8,3026180
67.5,68.58,69.4,67.3,1832923
68.31,69.93,70.9212,68.01,2176563
69.66,68.41,69.66,68.34,1181145
68.66,68.41,69.11,68.13,984828
68.45,68.82,69.81,68.3338,1186721
68.28,68.95,69.71,67.12,1261990
69.3,69.89,70.66,68.8,2076265
69.72,68.75,69.82,68.43,1313239
69.13,68.29,69.47,67.59,994997
69.16,70.06,70.8,68.5,1448620
71.39,72.445,73.09,70.68,1746770
71.26,72.81,72.95,70.69,1437834
72.49,71.535,72.79,71.29,1257067
72.96,73.85,74.08,71.981,1627225
73.65,73.05,73.9,72.62,1373248
73.32,73.955,74.4497,73.2,1565649
74.1,74.87,74.9,73,1452935
75.26,75.9,76.15,74.9,2225162
81.93,84.78,87.48,81.75,8236401
85.05,81.5499,85.15,81.43,3230733
80.47,81.565,81.72,79.88,2394503
81.83,81.74,82.25,80.61,1454993
82.66,83.655,84.14,82.45,1660064
83.91,83.01,84.13,82.89,1252552
82.2,83.69,83.99,82.2,2190076
84.38,83.39,84.47,83.15,1056431
83.19,82.32,83.57,82.17,1881718
82.26,81.76,82.93,81.06,1675542
82.46,82.42,82.78,81.86,2147532
83.51,82.39,84.06,82.29,1783643
82.3,82.01,82.93,82,995351
81.6,81.21,81.68,79.74,1291807
80.81,81.67,82.08,80.67,1228006
82.3,81.99,82.76,80.91,1209395
82.79,82.22,82.98,81.26,1381123
82,81.86,82.702,81.36,1290848
81.94,80.99,82.4405,80.96,1054600
80.72,79.47,80.95,79.15,1269923
78.39,80.13,80.37,78.04,976300
80.59,81.48,82.1456,80.5713,942597
81.74,82.25,82.77,81.19,1147071
82.81,81.73,82.9,81.61,1441904
81.88,81.4,82.85,81.01,1602181
82.16,83.73,85.38,82.05,2783981
83.87,82.59,84.09,81.99,1233630
83.21,83.41,84.605,83.1025,1231686
83.38,81.75,83.52,81.2,1703804
81.76,86.06,86.89,81.76,2104475
85.63,82.59,85.84,82.42,1851929
82.27,81.48,82.75,80.13,1720650
82.1,82.13,82.78,81.37,968214
82.12,80.59,82.6,79.89,1065456
80.76,80.53,81.63,79.96,783389
81.44,82.46,82.77,80.99,1338633
83.34,83.85,84.4,83.25,732018
83.94,84.16,84.54,83.75,574271
85.12,85.36,86.72,84.77,1542765
85.17,85.52,86.54,85.05,1117313
85.74,86.81,86.97,85.7322,911470
86.6,87.64,87.81,86.04,1191824
87.16,87.1,87.3904,86.47,967922
86.76,88.08,88.23,86.51,870325
88.23,88.25,89.71,87.71,1192347
89.05,90.66,90.69,88.67,1385891
90.8,90.29,91,89.34,1101206
91,93.57,93.59,90.6599,1922273
93.35,91.19,94.39,90.38,2856836
91.6,90,91.855,89.775,1310598
89.5,88.3,89.68,88.15,1048906
88.27,89.24,89.54,87.91,1349227
89.23,89.87,90.64,89.01,974391
89.61,88.53,89.725,87.15,954315
87.37,87,87.67,85.5,2045608
86.69,86.79,87.74,86.57,1453679
87.02,88.19,88.28,86.52,1500237
90.19,88.48,91.2,88.46,1993762
88.52,90.8,91.34,88.38,3082823
88.61,87.56,89.95,84.04,5677308
84.04,86.5,86.79,83.76,2162078
85.09,83.6,85.5,82.64,2367999
83.45,84.02,85.16,82.99,1587645
83,83.64,83.98,81.56,1604972
83.13,82.57,83.63,80.6,1530462
80,76.62,80.39,76.07,2630197
77.95,78.11,78.57,77.42,1460907
77.43,78.75,79.39,77.1744,1190508
76.25,73.98,76.94,73.11,4044997
72.12,70.4,73.16,69.91,3918188
67.68,68.03,69.87,67.11,3937759
70.01,69.75,71.44,68.8,3261948
68.91,68.54,69.56,68.3,1621791
67.28,68.4634,68.56,66.35,2357598
69.17,69.54,70.95,68.89,3298374
69.95,68.01,70.355,67.94,1452955
67.54,68.54,68.7197,67.13,1523951
68.51,68.26,70.13,67.79,1584714
67.23,66.6149,68.6355,66.61,1259633
67.26,66.9,68.07,66.29,1237629
67.97,69.4,69.47,67.53,1371739
69.5,67.96,70.69,66.57,2182393
68.05,69.47,69.77,67.79,2311859
69.33,70.17,70.38,68.68,1843682
70.89,73.11,73.4695,70.75,2427610
74.21,73.97,74.73,73.37,2537607
73.36,72.66,73.458,72.34,1183508
72.97,73.33,73.74,72.68,2134506
71.58,71.81,72.2711,70.31,3682356
71.65,72.44,72.59,70.94,1791094
73.18,75.73,76.42,72.79,2471055
75.95,75.53,76.38,74.8,1317386
77.22,75.87,77.51,75.12,1455932
75.5,75.22,75.79,74.7411,2102932
75.16,75.94,76.3898,75,1122204
75.96,74.33,76.16,74.24,1354704
76.14,75.83,77.16,75.73,1596167
76.58,76.94,77.84,76.3612,1230274
77.56,77.28,77.87,77.035,1193950
83.26,81.92,84.5,80.96,3678250
81.61,80.84,81.77,80.19,1510812
81.41,80.67,81.67,79.54,828127
79.95,80.35,80.7,79.79,640191
79.44,79.36,80.055,78.9,996424
78.68,79.775,79.84,78.16,1126488
80.7,79.9,81.38,79.85,995381
80.13,79.18,80.35,78.555,1075466
79.34,81.01,81.04,79.34,1018274
81.4,82.04,82.34,81.2,1098553
82,81.32,82.08,80.93,1495742
81.99,80.1,81.99,80.09,1468864
80.65,81.46,81.7767,79.88,1898313
81.85,81.34,81.85,81.03,1717581
81.78,83.27,83.41,81.73,1750319
83.92,84.54,84.83,83.47,1908210
85,86.35,86.97,84.81,2429470
86.02,85.68,86.17,85.11,1460167
86.13,85.98,86.36,85.47,871738
85.98,86.81,87.1499,85.38,1072135
86.08,87.75,87.83,85.84,1109407
88.77,85.26,88.77,84.5,1256672
85,82.77,87.7,81.4645,2846334
81.91,79.31,82,78.79,2651906
77.08,75.81,77.63,75.15,2575242
76.81,77.65,77.86,76.395,2108442
76.33,79.88,79.99,76.33,2888336
76.74,80.29,80.4,75.72,4510040
79.4,77.5,79.6,76.36,2620592
77.04,76.27,77.48,75.88,1648910
75.94,78.44,79.73,75.5412,1812216
76.51,75.99,77.685,75.7248,1691777
76.33,75.54,76.47,75.31,1295370
76.45,76.62,77.02,76,1347496
78.25,77.09,78.65,76.9,1008422
76.49,76.74,77.34,76.1,1199582
77.47,77.6,78.18,76.975,1112275
77.79,76.91,78,76.5,980676
76.16,73.54,76.545,73.33,2065425
74.39,73.76,74.49,73.505,1061096
74.23,72.84,74.68,72.81,1096005
72.33,73.37,73.56,71.51,1110837
74.51,74.93,75.53,74.03,1106774
75.48,75.27,75.63,74.31,1059824
74.86,74.18,75.24,73.625,1140171
75.45,76.03,76.28,75.33,965438
77.58,79.33,79.34,77.56,2083606
79.28,79.88,80.14,79,1315518
80.18,79.73,80.8293,79.08,1178738
79.5,80.3,80.3,78.59,1178858
81,83.5,83.5949,80.62,2023923
83.87,82.34,84,81.74,1824305
82.15,82.13,83.11,82.07,1521394
81.78,81.97,82.54,80.61,1049576
81.16,80.96,81.6099,79.62,1447056
80.7151,80.23,80.7151,78.87,1157658
80.3,79.24,81.48,79.23,1350480
79.85,79.68,80.96,79.32,1673471
79.44,79.82,80.97,79.4,756479
80.09,79.75,80.74,78.96,1323348
79.23,81,81.02,78.81,1104220
79.7,80.37,80.73,79.39,2159074
80.09,77.46,80.74,77.2,2588395
78.19,79.26,79.335,77.88,1594432
79.81,77.36,81.005,77.35,1785338
76.73,75.43,76.9833,75.03,1859969
75.75,77.3,77.44,74.42,1239670
79,80.64,80.7,78.8,3191296
80.56,80.88,81.71,80.24,2562771
80.3,79.01,80.6,78.93,3263334
80.1,80.7,81.13,79.58,2333018
83.11,84.88,85.49,83.05,5295176
86.05,85.41,86.47,83.61,4734799
85.1,84.97,85.32,84.6,2456630
85.6,86.64,87.08,84.94,2907981
86.47,85.66,86.62,85.23,2361259
86.5,87.56,87.64,85.88,3403330
87.29,87.8,88.27,86.74,3613922
88.58,89.9,90.01,88.575,1263626
89.65,88.95,89.84,88.94,1057899
