Open, Close, High, Low, Volume
23.64,23.53,23.95,23.32,8812953
23.5,23.19,24.05,23.05,6062827
22.97,22.98,23.545,22.695,5993958
23,22.49,23.39,22.32,8278351
22.33,22.19,22.94,21.985,4089777
22.16,23.14,23.16,21.775,4577476
22.8,23.42,23.43,22.56,5285058
23.54,23.49,23.81,23.15,5337253
23.52,23.38,23.67,22.95,6864226
23.15,24.19,24.27,23.12,5335967
24.45,24.115,24.53,23.9,4804611
24.55,25.245,25.345,24.4927,6408749
25.16,25.405,25.59,24.92,3367013
25.51,25.435,25.6,25.005,3456321
25.53,25.9601,26.01,25.385,3735056
25.89,25.765,25.905,25.3601,4212472
25.57,25.96,26.15,25.48,4883047
25.79,25.85,25.945,25.55,3505665
25.81,25.715,25.84,25.45,2850193
25.76,26.37,26.6,25.76,4286203
26.22,26.35,26.5,26.04,2681922
26.41,26.3102,26.58,26.03,4794449
26.5,26.49,26.74,26.3,12141632
29.96,29.45,30,28.6847,32445607
29.73,29.845,30.43,29.4,20090184
29.98,29.79,30.33,29.78,10707244
29.61,29.975,30.32,29.55,9821860
30.01,29.615,30.23,29.56,8418621
29.98,30.045,30.22,29.765,6190016
29.92,30.085,30.22,29.86,6624644
29.84,29.695,30.05,29.61,5301582
29.7,29.735,29.81,29.19,4724491
29.75,29.965,30.09,29.61,5134109
29.98,30.115,30.265,29.74,6105058
30.08,30.08,30.265,29.8,7154677
29.92,29.915,30.23,29.765,5329346
30,30.32,30.35,30,6375995
30.54,30.435,30.99,30.42,6495973
30.54,30.785,30.97,30.54,3465986
30.96,30.865,31.18,30.75,6726338
31.11,31.765,31.84,31.11,5841102
31.68,31.765,31.85,31.55,3530686
31.77,31.8,32.055,31.75,5295245
31.85,31.78,31.99,31.645,4420749
31.86,31.88,32.1668,31.82,5259579
32.12,31.84,32.305,31.82,6187807
31.71,32,32.15,31.64,6296583
32,32.03,32.2068,31.89,6353839
32.06,32.61,32.65,31.96,7738777
32.8,32.46,33.245,32.39,5155782
32.52,32.46,32.69,32.16,3804972
32.34,32.21,32.48,31.94,5403971
32.3,31.9,32.41,31.88,4670902
31.86,31.5,31.92,31.39,6562661
31.2,31.54,31.58,31.085,4752860
31.75,32.01,32.07,31.68,3693713
32.09,32.2,32.27,31.93,4399305
32.55,32.92,33.06,32.4,6910060
32.9,32.84,33.1865,32.74,4381241
33.02,33.3,33.32,32.96,5673405
33.34,33.25,33.555,33.19,3719245
33.54,33.08,33.56,33,3372654
32.96,32.43,33,32.38,3642835
32.31,32.91,33.15,32.22,4088891
32.54,31.82,32.68,31.65,6017364
31.79,31.38,32.08,31.12,5995611
31.62,31.77,31.87,31.34,4254881
31.78,31.63,31.97,29.65,4238749
31.62,31.83,32.04,31.62,3268933
