Open, Close, High, Low, Volume
153.03,153.66,154.32,152.49,700827
153.77,153.34,154.2,152.96,823336
153.21,151.31,153.65,151.22,791788
152.61,154.24,154.55,152.02,1041562
154.94,155.55,156,154.76,535530
155.8,155.25,156.53,155.12,577506
155.59,154.82,156.33,154.32,770796
155.26,154.1,155.41,153.62,582618
154.13,154.16,154.45,153.5,359020
154.23,154.2,155.14,154.1475,210717
154.64,155.58,155.86,154.16,518559
155.33,155.64,156.25,154.98,397712
156.13,154.95,156.26,154.87,428119
156.65,157.89,158.4,155.65,688846
157.88,158.72,160.32,157.41,914047
159.23,158.74,159.82,158.475,533585
159.44,161.03,161.32,159.015,570220
160.68,163.27,163.74,160.45,844937
163.54,160.81,164.2,159.26,1345901
160.4,159.51,160.9,157.71,910346
159.57,158.6,160.26,157.85,738861
159,158.2,161.75,158.03,655030
159.36,159.54,160.9,158.845,795668
160,160.25,160.46,159.05,908062
160.09,160.31,160.82,159.94,883469
161.02,161.32,161.84,160.3,718394
161.3,162.64,162.66,160.63,846810
162.58,162.02,163.65,161.74,705272
162.84,164.5,164.98,162.63,888256
165.16,165.57,165.71,164.23,720991
165.65,168.92,169.01,165.29,931081
168.78,168.76,170,168.31,1088658
167.48,168.45,168.635,166.31,1679074
168.11,164.375,168.11,163.45,2276356
163.85,164.75,165.27,163.29,1067484
163.81,162.1,164.54,162.04,820431
161.45,154.37,162.67,152.01,1805494
151.18,154.14,155.43,150.33,2044378
153.6,153.61,156.76,153.27,1134940
153.67,148.03,154.36,147.92,980365
149.27,151.21,152.482,146.8,1097583
152.5,153.61,154.77,152.02,1040081
152.61,154.59,155.01,152.3,637373
153.7,156.24,156.78,153.33,1094845
157.41,158.59,158.59,156.13,665158
158.23,159.84,161.31,158.1801,674183
159.14,158.74,159.9217,157.77,602642
158.79,157.95,160.71,157.77,762857
158.84,159,160.53,158.18,522318
159.64,161.7,161.75,158.89,620731
163.15,165.76,165.975,162.95,1301475
166.09,164.13,166.76,164.12,818580
165.17,162.13,165.87,162.1,895321
161.82,159.33,162.09,158.21,908009
158.3,160.83,161.23,158.3,748160
160,162.55,163.21,159.88,558281
163.25,162.74,163.41,161.74,559123
161.24,163.04,163.65,161.11,749294
163.44,163.35,164.62,162.66,928461
164.36,166.41,167.62,163.84,1195228
166.31,167.84,168.41,165.82,1172931
168.92,167.11,168.92,166.66,925553
167.75,166.44,168.3775,165.84,521766
166.84,166.42,167.03,165.83,537402
166.54,167.52,168.3,165.92,1105469
167.24,166,167.75,164.64,852159
166.56,166.48,167.37,165.37,540008
166.82,164.75,166.97,164.56,478352
163.6,160.79,164.04,160.53,623051
160.49,157.54,161.2514,157.44,733514
159.74,160.4,160.4,158.01,909803
160.95,158.5,161.99,157.58,638028
158.45,157.97,159.51,157.32,506359
158.94,160.92,162.36,158.28,1150145
160.92,156.21,161.3969,154.51,826597
156.54,159.07,159.19,155.12,867958
156.5,158.85,159.4,156.16,607108
160.01,160.06,161.05,158.73,496726
159.19,155.14,159.88,153.76,546295
156.44,157.06,159.08,155.585,739275
157.35,160.31,161.15,157.35,774727
158.73,157.87,159.85,157.4,667640
159.12,158.59,159.84,158.06,682966
159.83,158.33,160.08,157.36,576588
160.3,162.11,162.63,159.6,726632
162.93,163.66,164.15,160.92,753768
