Open, Close, High, Low, Volume
60.95,60.89,61.85,60.82,1465417
60.81,60.18,60.9,60.17,2074441
60.31,60.23,60.885,59.97,2910657
60.26,60.62,61.6625,60.26,1642380
60.84,60.3,61.31,60.2,1558171
61.14,60.78,61.3,60.72,1084175
61.06,60.58,61.14,60.52,1334468
60.74,60.72,60.89,60.46,1105482
60.87,60.76,61.06,60.64,739362
60.91,60.87,61,60.75,871988
60.93,61.06,61.07,60.76,533109
61.06,60.74,61.25,60.72,597396
60.69,60.53,61.34,60.46,2002041
60.8,60.65,60.97,60.31,1944254
60.24,60.84,61.08,59.93,2319934
61,61.44,61.5,60.93,1872463
61.49,61.55,61.86,61.1,1344249
61.63,61.39,61.93,61.36,1452037
60.85,61.35,61.52,60.36,2105537
61.41,61.2193,61.49,60.61,1154442
61.39,61.38,61.92,61.09,2109088
61.9,61.72,62.21,61.61,1545744
62.08,62.21,62.58,61.87,1409300
62.25,62.22,62.5,62.03,1118390
62.52,63.22,63.3,62.41,1710576
63.17,63.58,63.65,63.1,1131428
63.46,63.345,63.77,63.13,1116074
63.57,63.74,64.19,63.28,1309105
63.86,63.99,64.16,63.76,1023819
63.92,64.12,64.12,63.47,938993
64.2,63.39,64.27,63.39,1077592
63.26,63.31,64.09,63.23,1475233
63.48,62.9,64.165,62.66,2417673
62.63,61.99,62.63,61.62,1873087
61.89,61.15,62.27,61,3262515
60.57,57.82,60.58,57.7,4509400
56.42,59.64,59.9666,56.01,3529475
59.42,58.41,60.01,58.4,2640376
58.63,57.01,58.65,57,2525023
57.57,58.31,58.79,56.77,2241308
58.74,58.12,59.105,58.03,1923063
58.04,58.43,58.56,57.92,1639822
58.27,58.36,58.51,58.01,1905870
58.57,59.36,59.37,58.15,1598513
59.25,60,60.25,59.08,1513019
59.47,58.9,59.5,58.72,1658905
58.94,58.56,59.55,58.55,1269567
58.86,58.86,59.34,58.76,1176034
58.94,59.67,59.67,58.86,904973
59.79,60.26,60.29,59.73,1169168
60.28,59.86,60.97,59.86,1348504
60.05,59.66,60.7,59.64,1613551
59.59,59.47,60.371,59.12,2269014
59.27,59.67,59.97,59.27,1774809
59.56,60.02,60.16,59.09,1232361
60.04,60.87,60.88,59.89,1479707
60.27,60.13,60.41,59.93,1653463
60.24,60.47,60.485,60.09,1350166
60.69,61.27,61.29,60.475,1047693
61.39,60.52,61.44,60.42,1327392
60.8,60.7,61.24,60.58,1103040
60.63,59.88,60.7299,59.71,5497340
59.8,59.37,59.89,59.18,2040986
59.53,60.12,60.43,59.42,2548454
60.11,60.18,60.31,59.92,3557539
60.38,60.44,60.5,60.2,2590767
60.41,60.3,60.63,60.12,3866519
60.24,59.77,60.31,59.595,7716631
59.88,59.32,60.14,59.22,3044537
59.89,59.97,60.06,59.18,2364378
60.2,59.36,60.2,58.97,3428103
59.32,59.38,59.74,59.22,2687765
59.54,59.96,60.2,59.49,1834442
59.88,58.37,59.93,58.12,2635099
58.56,59.46,59.52,58.5,1583844
59.06,61.2,61.47,59.06,2570372
61.04,60.325,61.26,60.14,2994051
60.05,59.72,60.85,59.43,2741611
59.95,59.87,60.37,59.26,1457392
60.4,60.62,60.93,59.9741,1889355
60.39,60.52,60.96,60.26,1402057
60.8,60.52,61.01,60.3,1271437
60.48,60.44,60.63,60.19,2166826
60.62,61.24,61.315,60.57,1461790
61.65,62.5,62.6,61.32,2094273
62.81,61.86,63.04,61.77,2149669
61.66,61.58,61.875,61.0701,1886016
61.7,61.15,61.8,60.73,2214617
61.3,61.35,61.6,61.1,1046856
61.57,61.93,62.25,61.43,1549295
61.81,62.46,62.65,61.61,1549455
62.62,62.95,63.33,62.1284,1416890
63,63.38,63.45,62.75,1130617
63.53,62.5,63.68,62.32,1672019
62.53,63.09,63.46,62.24,3413802
62.88,62.82,63.24,62.15,3499094
62.68,62.18,62.73,61.72,3536166
61.95,62.29,62.83,61.77,7791343
62.63,63.49,64.77,61.35,4323391
63.13,62.75,63.45,62.36,3922919
62.79,63.49,63.61,62.71,2680469
63.8,62.74,63.87,62.65,1592587
62.72,62.82,63.18,62.57,1417474
63.03,62.9,63.125,62.65,1251429
62.65,62.93,63.21,62.52,1932078
63.05,63.34,63.41,62.97,1709010
63.48,63.84,63.98,63.24,1423511
63.97,63.54,64,63.42,1423876
63.72,63.64,64.07,63.56,848177
63.77,63.69,64.1,63.61,1468900
63.54,64.09,64.14,63.5,1100117
64.11,64.6,64.67,63.89,1018402
64.62,65.01,65.4,64.52,1268845
64.91,65.15,65.22,64.74,1303546
65.57,66.05,66.51,65.31,1765413
65.8,65.02,66.2099,64.96,1637582
65.27,65.41,65.805,65.15,1257521
65.45,65.74,66.13,65.33,1343156
