Open, Close, High, Low, Volume
38.14,38.21,38.29,37.93,25100022
38.5,38.49,38.89,38.385,23269360
38.46,38.05,38.6785,38.03,19995637
38.27,38.55,38.84,38.18,21970820
38.56,38.89,39.29,38.471,20528495
38.78,38.95,39.11,38.7,13530199
38.95,39.07,39.325,38.95,11528413
39.08,38.885,39.14,38.71,12080300
39,39.17,39.2,38.88,12927010
39.22,38.9,39.32,38.88,14604704
39.06,38.53,39.06,38.36,25488453
38.45,37.6499,38.49,37.53,33292970
37.75,38.0099,38.19,37.26,23450586
38.14,38.1,38.16,37.8,18461697
38.15,38.235,38.48,37.85,22418960
37.63,37.51,37.99,37.48,20339345
37.39,36.61,37.39,36.54,32806792
36.67,36.48,36.77,36.37,32783372
36.48,36.91,36.99,36.32,23623556
36.9,36.71,37.02,36.54,18428539
36.77,36.845,36.95,36.485,17094231
36.84,37.16,37.38,36.81,22035794
37.37,37.21,37.37,36.94,21680022
37.2,37.87,37.9,36.98,23415912
37.95,37.19,38.22,37.03,25313160
37.29,37.03,37.385,36.98,20092962
37.09,37.45,37.45,36.84,17509046
37.46,37.81,37.81,37.36,13613774
37.13,37.26,37.68,36.98,23320423
37.36,37.44,37.8,37.3,20956689
37.43,37.46,37.9248,37.33,25592891
38.51,39.155,39.29,37.45,52217556
39.03,38.06,39.04,37.81,39585867
37.81,36.63,38.31,36.63,38115154
36.08,36.82,37.07,35.5,52530353
36.81,36.93,37.45,36.74,29230596
36.89,35.5899,36.95,35.57,36107490
35.83,36.05,36.35,35.03,43572628
36.33,36.36,36.6,35.97,20445268
36.29,36.61,36.71,35.97,18748840
36.4,36.4,36.769,36.11,19298631
36.47,37,37,36.23,19742206
36.98,37.15,37.39,36.8601,16819797
36.88,36.76,37.09,36.67,16343232
36.77,36.3,37.0388,36.28,15520340
36.47,36.47,36.99,36.41,14846564
36.55,36.75,36.75,36.29,13226200
36.93,37.49,37.51,36.81,16120804
37.42,36.87,37.64,36.87,17520147
37.18,36.3,37.18,36.3,17295571
36.31,36.01,36.75,35.865,21135483
36,36.35,36.4,35.95,16203742
36.2,36.73,36.82,36.1,13800448
36.83,36.8748,36.9,36.5,12935209
36.59,36.92,37.025,36.56,13897252
36.91,37.09,37.11,36.56,15735332
37.17,37.045,37.22,36.82,15242796
37.05,37.36,37.565,37.04,17997176
37.55,37.38,37.81,37.26,16470142
37.59,37.02,37.59,36.96,16027550
37.09,37.04,37.29,37.01,17164254
37.09,36.97,37.34,36.9,17576997
36.98,36.58,37.095,36.47,16083062
36.68,36.34,36.82,36.18,15396434
36.34,36,36.5,36,13705521
35.95,35.3761,36.04,35.36,23226816
35.37,34.7,35.54,34.55,28121063
35.05,34.7,35.2866,34.44,25987434
34.85,34.895,35.2,34.69,26253514
35.29,35.55,35.85,35.24,22863316
35.68,35.655,35.89,35.02,20739038
35.58,35.09,35.66,34.8299,22232281
35.16,35.36,35.42,34.85,17680683
35.04,35.88,35.94,34.98,16509443
35.92,36.13,36.21,35.6834,14123888
36.01,35.62,36.2,35.42,20735313
35.24,35.17,35.7,35.06,15346279
35.32,35.81,36.39,35.05,34382790
35.66,35.25,35.73,35.18,17401562
35.42,35.17,35.47,35.06,17402991
35.21,35.14,35.37,35.02,11724119
35.37,35.65,35.82,35.215,16695083
35.69,35.35,35.765,35.31,17912852
35.48,35.21,35.54,35.16,18996469
35.24,34.82,35.27,34.81,19123709
34.86,34.67,35.06,34.15,25770031
34.71,34.89,34.89,34.59,15345697
35.15,35,35.33,34.76,18381397
34.8688,35.2,35.24,34.73,16315460
33.46,33.08,33.7,32.465,116100628
33.14,33.05,33.56,33.02,50218364
33.27,32.67,33.41,32.67,36839588
32.75,32.53,32.91,32.36,31218060
32.63,32.05,32.63,31.9,33839451
32.04,31.9361,32.15,31.61,34868650
31.94,32.15,32.27,31.8201,21625316
32.22,32.04,32.25,31.85,22722920
31.97,31.7,32,31.58,25879713
31.63,31.41,31.71,31.17,31716799
31.58,31.88,32.03,31.5,25422672
32,32.29,32.31,31.99,22328971
32.39,32.185,32.48,32.105,21856383
