Open, Close, High, Low, Volume
273.35,274.67,279.37,273.35,318299
275.72,276.42,278.419,274.61,213030
277.78,275.4,280.47,274.18,231323
275.66,270.88,277.48,270.64,208292
272.45,271.44,273.2,270.64,135903
272.29,272.91,274.54,268.84,319144
273.32,270.66,273.47,270.32,130141
270.83,273.15,274.15,270.07,142237
273.62,273.79,274.92,271.95,196913
274.32,275.83,276.11,272.855,196784
276.61,274.83,279.5,274.635,139560
275.46,275.2,276,271.4673,177448
271.99,270.22,271.99,265.29,823865
271.74,272.81,273.45,268.62,475464
274.21,274.85,275.8,271.55,137062
274.66,276,277.5,273.97,299791
277.42,282.38,282.65,276.2472,263067
282.12,281.25,282.31,279.54,230969
282.47,287.5,287.81,281.612,210965
288.72,292.46,294.32,288.1,220682
294.09,293.86,296.965,292.77,297857
295.97,294.45,296.13,293.37,253450
294.49,294.1,296.2055,292.41,205028
296,299.19,299.66,291.67,226749
297.33,296.85,299.33,294.26,165932
297,300.32,300.69,295.6,220967
300.04,303.92,306.14,299.4601,211722
304.25,306.96,307.27,302.21,262796
308.53,314.07,314.6099,306.41,218819
312.68,317.26,320.36,312.68,410908
315.62,317.4,319.98,314.61,246558
319.98,316.91,321.38,316.73,289841
315.96,315.09,318.47,313.97,276181
312.81,306.96,314.07,306.66,324302
306.39,296.96,311.73,293.46,510042
277,290.67,292.84,268.4,865749
290.61,291.88,300.9399,288.5214,367577
297,283.01,297,281.77,664369
287.16,282.5,287.5,274.28,755910
283.8,286.49,289.56,281.59,278703
285.37,285.8,287.43,281.46,257358
283.61,290.39,291.01,281.8,296505
292.77,298.44,298.53,291.76,391446
297.72,298.29,300.14,296.55,335183
297.12,298.7,301.43,296.52,196988
298.75,292.71,302.3899,292.56,266932
294.34,292.91,298.35,291.65,154724
294.54,297.82,298.06,292.48,202980
298.49,295.01,299.9221,292.19,162579
295.95,291.36,296.98,291.26,211173
292.5,288.24,294.41,288.24,320467
288.28,284.56,288.3,278.99,487997
283.41,285.18,286.28,280.26,517868
283,285.57,286.06,280.25,253834
286.98,284,287.34,280.62,1583509
282.2,286.99,288.27,280.96,698970
288.4,286,288.4,283.66,566048
287.66,292.81,293.53,287.01,808878
293.35,287.98,293.75,287.65,295843
288.72,289.81,293.25,287.75,676244
291.69,295.16,297.16,289.43,451876
295.65,296.1,296.6,291.05,381427
296.17,298.99,299.565,292.43,262456
300.84,302.56,304.14,298.25,431893
303.78,308.11,309.75,300.21,302770
307.63,309.44,311.92,306.6801,315003
307.32,302.73,310.99,302.43,446082
302.59,302.87,309.03,300.6261,400284
306.21,309.3,309.74,303.32,162196
310.88,304.98,313.93,303.33,282224
305.62,300.79,306.21,298.15,351414
303.58,306.88,307.9,303.19,445559
305.41,300.96,307.5,298.36,244227
302.95,305.47,305.73,299.97,220850
300.82,308.15,308.57,298.58,260469
308.99,310.92,312.96,307.44,375909
309.54,306.24,311.57,305.17,256654
308.21,303.27,309.73,302.98,255920
308.12,306.16,308.55,304.25,260892
305.1,306.65,310.34,303.96,141563
307.4,308.22,310.89,306.62,221176
309.62,309.2,311.7,306.53,218962
313.03,320.25,321.33,312.63,322165
321.29,323.63,325.05,319.31,310382
325.13,326.4,328.79,323.6681,155572
327,329.06,330.15,326.07,275855
330.28,327.68,331.45,326.92,181697
327.44,328.14,330.51,326.6501,197070
329.9,326.52,333.62,321.08,378737
326.12,324.32,326.65,317.52,348952
325.17,324.94,328.51,322.1901,253383
324.06,320.3,326.5,318.67,242135
322.15,320.7,326.25,320.06,501829
321.81,314.38,327.04,311.11,527056
314.51,319.06,322,313.72,287895
317.75,320.1,322.05,314.87,192828
318.86,322.97,324.6599,318.81,229281
322.93,329.01,330.5,322.34,369415
329.11,331.97,333.03,329.11,345340
333.65,334.4797,335.445,332.57,203824
336.23,335.69,338.89,334.3632,312406
335.47,333.73,336.98,332.6,136362
334,332.64,335.49,330.77,146924
328.5,325.38,328.59,323.99,311260
324.57,323.54,325.98,322.7471,212119
323.52,324.38,325.4,321.74,152631
323.74,330.12,330.57,323.74,154810
331.9,332.7,335.05,331.04,145505
332.78,327.78,334.44,326.47,174726
326.35,333.8,334.08,325.26,141695
333.43,335.75,337.09,332.72,172741
335.11,334.13,336.39,332.6323,108560
332.12,333.24,335.9599,331.0101,310173
333.65,335.88,336.99,331.15,194995
336.17,334.02,339,333.59,235935
336.39,338.21,339.8,335.51,137729
339,337.93,339.97,335.49,105198
337.66,336.44,338.17,333.99,198427
336.47,339.73,339.88,336.025,166263
339.75,340.01,343.9,338.59,208671
340.36,345.87,346.51,338.58,142228
345.5,342.17,346.33,340.4,147266
342.99,342.97,343.24,339,112619
343.25,340.28,344.69,339.88,104766
341.68,344.17,344.27,339.28,191450
342.58,340.09,343.455,339.35,309497
339.97,340.19,341.16,338.01,177684
339.16,337.23,342.0824,336.1,205072
337.1,340.94,342.23,336.76,156458
340.01,340.71,341.8,336.44,253054
342.5,342.07,344.17,341.03,333696
340.49,337.93,342.1099,336.74,724104
338.25,339.14,340.97,335.255,156046
339.72,338.36,346.42,338.27,243774
338.37,336.82,340.57,331.76,236173
337.77,345.3,347.66,334.89,236208
343.22,342.59,344.02,338.04,205702
344.4,344.53,347.28,343.56,102900
347.34,347.57,348.01,343.77,120902
347.54,347.97,350,345.9318,83373
349.83,352.96,355,349,214016
352.4,352.34,353.77,351.43,87212
352.67,351.43,353.15,349.9,160335
353.59,356.11,358.91,352.63,340094
357,360.89,362.06,357,177644
360.94,360.98,367.2934,359.26,165966
361.02,362.89,364.52,359.99,173964
362.89,360.08,364.02,359.75,206673
361.04,362.94,363.24,359.16,185300
361.86,364.89,368.34,359.16,158112
364.95,358.14,364.95,358.05,172633
360.38,363.65,364.52,358.08,249902
363.22,372.07,372.77,361.55,145764
372.07,372.93,375.54,370.09,159476
374.08,370,374.77,367.63,166953
368.54,365.97,370.715,365.36,253565
368.33,375.51,377.67,368.33,337737
374.32,368.75,376.39,367.67,176733
367.2,367.63,369.8,365.38,311408
368.37,369.78,371.04,366.32,309941
369.8,368.76,373.45,367.75,414935
354.15,356.65,359.84,348.35,617062
357.22,357.46,360,355.46,249606
357.28,359.39,362.94,356.83,409190
358.26,356.99,359.54,356.07,193837
357.45,356.01,361.15,354.23,157624
357.18,356.6,358.26,353.39,130496
355.56,351.45,355.58,347.21,240337
354.37,354.16,357.27,352.42,131724
354.45,353.59,355.28,352.48,90236
354.58,356.48,359.53,354.17,150134
356.41,359.93,361.64,356.41,245187
359.43,356.96,361.71,356.78,113077
356.57,354.77,358.54,354.4,98886
355.84,355.01,356.13,353.55,101518
356.81,359.17,360.33,355.5,346001
359.88,359.05,360.73,356.23,219383
359.96,357.52,360.52,357.36,135337
357.5,349.46,358.14,348.61,221257
348.17,349.88,350.32,346.92,205100
349.32,351.5,351.91,346.97,357940
351.27,351.66,352.24,347.92,221129
352.53,353.71,355.98,352.53,138754
353.28,351.56,355.3025,350.1101,192421
352.5,355.57,356.9,352.5,147453
354.16,356.93,357.21,354.16,248755
356.33,355.43,359.055,354.17,122165
356.79,358.37,359.5829,356.72,155291
358.87,370.09,371.24,358.78,427993
370.01,368.01,371.41,365.4,259537
368.32,372.81,373.66,367.975,184218
373.84,369.22,374.48,368.295,117203
371.12,368.63,371.12,365.43,136876
369.75,368.37,370.47,367.56,227002
369.18,365.7,369.345,364.19,75455
365.43,368.88,370.1,364.92,71367
369.7,369.88,372.52,368.47,316660
