Open, Close, High, Low, Volume
205.38,205.89,207.85,203.44,67897
206.47,204.09,207.1951,203.31,78145
202.33,205.32,208.745,201.18,158125
205.06,200.31,206.59,199.74,77679
202.41,203.33,205.66,201.52,84462
203.51,198.54,206.25,195.64,81631
197.02,196.09,198.87,192.64,179084
196.43,196.37,199.11,193.98,277798
194.96,191.24,194.96,190.71,128967
191.89,197.95,198.14,189.3499,72488
194.4,202.36,202.36,193.725,116488
203.49,202.215,205.94,200.48,66233
204.8,206.33,206.7,203.7,93222
205,205.45,206.79,202.9,102746
204.15,199.86,204.73,198.15,78488
203.33,205.76,207.55,202.65,71869
206.5,208.725,209.93,204.31,98295
211.57,211.97,213.16,209.655,95622
213.42,213.96,214.94,211.54,97570
213.72,216.61,216.63,211.5,72810
215.45,216.96,217.11,211.87,64657
214.07,216.02,217.38,213.16,49277
216.92,216.61,217.585,213.98,51264
216.65,219.05,219.44,215.22,86508
218.64,220.83,224.52,218.22,157863
223.04,224.57,225.88,219.79,101760
223.07,216.85,223.36,216.21,119632
220.2,220.71,221.21,212.37,145374
221.59,227.31,227.31,216.2,138846
227.85,221.08,227.85,220.85,204010
218.18,219.84,220.77,216.52,212172
219.99,222.05,222.68,219.2,173685
223.48,221.91,223.98,218.21,141589
221.61,223.93,225.72,221.15,125750
224.99,223.05,227.98,222.435,101488
223.7,225.5,225.5,222.01,63525
226,226.95,227.16,224.89,86289
226.46,226.84,227.9,225.685,46671
225.93,226.92,227.39,222.8,89527
225.38,228.535,229.41,225.38,111238
229.45,229.72,230.52,227.925,89625
231.24,232.33,233.38,230.8,97049
232.84,231.38,232.84,229.97,63875
229.06,232.66,233.48,229.06,68759
233.68,236.33,236.545,232.58,69206
235.28,233.29,235.28,231.82,83940
234.15,235.5,235.74,232.96,114788
237.51,235.58,237.78,233.94,96118
235.75,235.31,236.9,233.88,119343
234.89,236.94,237.63,234.61,109334
237.25,236.16,238.24,234.79,102305
237.31,235.75,237.935,234.72,97237
236.31,235.71,237.165,233.54,95473
236.08,232.39,236.08,232.22,67001
232.97,231.86,233.295,230.27,60912
231.57,230.66,231.57,228.03,54146
228.14,229.38,229.825,228.14,45226
228.91,227.2,228.91,224.87,212815
227,228.27,228.84,224.84,128751
229.04,229.5,232.165,229.03,143066
230.12,227.32,230.3,227.06,114655
227.89,228.4,230.02,227.21,120292
228.3,234.85,235,228.3,172717
234.9201,232.66,235.52,232.18,107508
231.45,233.39,236.29,231.26,109376
232.79,237.16,237.45,232.79,97337
235.85,227.61,235.85,227.37,95953
226.66,229.13,231.08,225.435,146845
231.8,231.38,234.79,228.59,98940
231.09,230.07,232.9188,227.22,89426
230.73,233.58,233.72,228.25,70416
234.93,237.05,237.645,234.09,142471
238.75,239.99,241.69,238.75,44625
242,240.78,242.41,239.13,114678
242,243.22,243.555,241.22,114471
243.95,244.33,247.25,242.56,181927
244.87,244.54,246.17,243.31,98309
243.71,247.7,248.52,241.18,154162
245.79,245.76,247.01,244.805,117987
245.83,247.02,247.65,244.17,67804
247.29,249.84,250.97,246.89,108244
251.01,251.78,252.29,250.55,98588
252.18,252.66,252.96,249.68,114852
253.72,253.33,254.84,252.71,105174
254.69,251.46,254.69,250.01,132979
255,252.67,255,250.66,126352
250.85,250.24,254.1,250.1,152445
250.79,252.86,253.78,250.79,390601
255.25,250.06,260.99,249.81,407775
249.03,247.68,249.75,245.7,260792
247,248.55,248.81,245.84,249643
249,250.93,252,247.91,246099
251.24,248.55,251.33,247.59,162428
249.39,245.4,249.685,245.4,180566
245.21,244.49,246.2,242.74,215020
247.73,249.15,249.67,245.15,138915
244.78,250.13,250.745,244.1412,178405
247.5,250.5,250.96,246.945,210701
250.17,249.63,252.37,249.29,189412
247.95,247.93,249.83,244.5422,95014
246.97,248.09,248.72,242.89,130986
243.03,241.2,244.05,239.41,212981
241.34,236.92,242.13,236.61,381749
235.44,238.96,240.465,234.2584,109723
239.85,241.24,242.44,239.235,107539
240.05,240.61,243.54,239.79,158238
239.67,241.77,242.9,239.01,193801
243.44,246.6,247.11,243.03,111250
245.97,246.02,246.56,244.51,89415
242.87,237.73,244.83,236.64,134393
239.65,239.7,241.77,238.41,72731
240.57,236.55,242.41,236.325,109693
235.06,235.61,238.02,234.29,75691
235.88,236.83,238.975,235.88,75314
234.26,235.77,236.7,232.61,89857
237.71,244.2,244.45,237.71,114507
244.78,250.59,250.92,244.01,128476
250.63,252.11,254.375,250.63,135228
253.4,251.47,256.45,250.85,158416
253.17,253.21,255.74,252.49,93256
256.29,250.89,256.29,249.34,109604
252.04,253.25,253.27,248.83,67668
254.5,254.99,255.74,249.43,104408
255.06,254.71,255.24,253.1854,75931
255,254.89,257.75,253.62,115394
255.55,257.47,259.53,255.55,104971
257.5,261.47,262.38,256.845,150220
264.37,267.59,268.12,263.605,139587
268.1,264.84,269.35,264.61,188692
265.43,266.36,268.54,264.92,129050
266.3,265.98,267.48,264.14,171535
267.37,265.63,267.62,264.83,92410
265.73,267.72,268.3,262.86,102440
267.4,273.42,273.86,267.4,188759
276.12,275.68,277.47,273.7416,227153
276.1,277.61,278.74,274.86,149417
278.35,277.95,279.1499,277.025,53471
276.55,277,278.19,274.76,120311
275.62,274.46,276.79,273.54,108265
273.79,274.72,274.81,271.09,102183
276.09,271.84,277.63,271.28,94399
272.48,272.43,273.61,270.225,128186
272.9,277.84,278.39,272.34,157753
279.61,278.47,279.96,277.48,143396
278.32,280.46,281.27,277.9,107614
278.59,276.32,280.955,276.2,117906
276.11,276.585,277.84,275.04,109195
277.46,278.11,280.545,276.77,124765
278.87,280.79,281.34,277.5705,104350
281.64,281.98,283.51,280.28,129511
294.25,299.55,306.465,292.99,377419
299.64,296.5,300.325,295.27,173225
295.47,296.32,297.105,292.245,171455
295.21,294.43,295.21,290.005,128056
292.8,295.12,295.32,291,101213
294.09,291.32,297.75,290.09,107513
291,288.99,295,286.715,125388
287.51,289.09,289.37,284.47,103163
282.34,281.88,286.54,278.685,103463
284.6,289.21,289.58,284.49,91077
287.3,293.2,295.41,284.42,150667
294.82,299.33,299.87,294.82,156867
297.5,296.51,298.49,294,82242
295.21,293.41,297.95,291.58,42616
292.97,296.77,299.16,292.97,120124
291.84,289.94,294.8,287.49,135741
291.05,294.8,296.33,289.79,151278
298.01,300.83,301.46,295.77,189633
304.86,303.36,304.9,301.97,129180
301.4,303.6,304.275,299.34,121864
304.87,305.9,307.525,304.42,174725
306.92,307.92,308.555,305.44,107823
307.04,302.97,310.43,301.67,136116
303.77,306.55,306.91,301.692,160777
308.91,305.76,309.01,301,161386
304.43,308.25,309.81,304.3,89734
312.01,310.81,313.21,309.04,130471
313.04,308.57,313.04,307.51,179758
307.03,309.31,313.19,305.04,161609
312,315.86,316.47,309.38,182274
