Open, Close, High, Low, Volume
250.36,252.09,255.14,249.84,161318
253.07,252.01,255,251.465,86578
251.2,254.27,255.5,250.53,197017
254.01,255.8,256.84,253.21,117841
255.77,249.88,257.015,249.78,154069
249.71,249.57,252.63,248.91,118959
248.94,247.82,250.67,247.291,61249
248.01,249.82,250.91,247.41,57768
250.13,251.35,251.59,247.99,81976
251.49,248.88,253.28,248.48,85158
248.96,255.05,255.69,248.96,205090
255.05,256.66,257.765,253.93,115310
257.75,254.09,259.4999,254.03,154958
255.26,258.02,258.365,253.08,112306
257.2,258.8,259.41,254.77,163078
260,262.23,262.635,258.5,101291
261.75,258.08,262.72,256.79,236834
258.54,260.64,260.77,256.75,163370
260.26,263.27,264.21,257.4,131402
263.38,262.94,266.63,261.96,248537
265.11,272.35,272.46,263.23,241664
269.7,275.39,276.67,269.59,465608
276.11,276.48,279.12,275.3,258828
276.9,274.75,277.1,274.031,150664
275.04,273.93,276.34,273.12,284194
275.04,275.18,276.29,273.47,344786
276.84,278.07,281.17,274.87,201095
278.86,284.59,287.18,276.74,255927
283.11,287.66,288.78,282.06,183928
284.87,281.67,288.81,279.7301,212806
282.62,277.7,282.93,276.89,144919
276.44,278.67,280.765,274.6,229559
276.41,272.56,278.94,272.34,128586
271,261.45,274.3,259.47,203298
256.02,261.82,263.22,253.79,339331
261.68,263.08,268.31,260.68,218516
263.3,249.11,263.52,249.11,254920
251.53,252.93,254.98,245.0905,179791
254.11,255.15,257.84,250.25,129790
253.85,255.06,257.96,252.49,112973
253.13,261.01,262.03,251.16,103402
263.03,265.88,266.58,259.01,161972
265.94,268.07,269.9199,263.805,123108
266.19,269.18,270.8,265.25,166180
268.7,270,274.74,268.7,240295
261.1,249.82,261.1,244.1257,769139
250.36,255.55,256.1,244.6,410933
255.34,256.32,257.445,251.2901,315417
255.96,253.81,258.74,253.64,320614
253.72,249.79,254.3695,249.78,344371
249.36,242.43,250.77,241.26,271884
241.65,245.58,246,240.88,270548
244.8,250.5,251.36,241.86,168882
251.23,254.41,254.71,247.99,166173
252.67,257.78,259.96,252.67,235139
258.66,261.51,262.41,257.005,257667
263.53,269.52,270.87,263.52,215296
268.53,266.48,269.7374,264.07,299104
267.21,267.5,269.65,264.33,235486
267.85,265.69,269.985,264.97,199066
265.7,266,269.17,265.15,187589
266.38,264.67,268.1499,263.19,260080
264.03,261.97,264.64,258.88,171951
262.03,265.28,266.47,255.23,215966
265.28,260.24,265.28,259.46,177278
257.14,256.98,261.84,256.4,504944
257,252.93,259.18,252.57,289907
254.53,259.28,259.59,253.04,179778
258.15,257.65,262.77,256.2901,282068
257.48,253.2,257.48,252.96,236196
254.23,255.04,257.59,251.3,162002
254.51,250.02,254.97,246.62,255538
251,251.39,252.94,246.64,150698
247.92,252.64,253.34,244.59,165746
253.77,252.06,256.04,251.98,161486
248.52,246.68,252.63,242.7878,125337
246.87,248.25,252.79,245.8601,96437
251.74,255.68,257.25,246.78,173045
253.68,255.32,255.96,252.6,140044
256.93,258.11,259.1,255.41,156147
259.34,257.58,260.4,255.61,178309
260.17,262.52,264.47,257.8,141092
264,266.45,267.49,260.22,141647
266.21,268.76,270.46,264.43,104861
267.93,269.59,270.045,265.78,96729
269.5,271.2,271.79,267.6,168863
270.66,271.675,273.55,268.38,199007
272.64,263.36,273.48,260.17,204588
262.95,264.34,267.13,260.87,247020
266.05,269.12,269.41,264.08,126536
269.47,270.66,272.06,267.36,143939
271.86,267.9,272.67,0,137566
267.03,270.22,271.28,266.37,170162
