Open, Close, High, Low, Volume
36.945,37.083,37.47,36.775,8686354
37.265,37.735,37.818,37.225,5052320
37.9,38.025,38.095,37.575,8843182
38.06,37.91,38.31,37.87,5785078
37.685,38.15,38.335,37.655,5943060
38.235,38.135,38.25,37.875,4422442
38.2,38.725,38.745,38.113,3547684
38.725,38.48,38.82,38.405,3296684
38.505,38.183,38.555,38.04,3592744
38.34,38.23,38.48,38.22,3298320
38.43,38.35,38.78,38.23,5555182
38.01,37.655,38.08,37.42,7536520
37.745,37.715,37.795,37.135,5844302
37.765,38.57,38.6,37.765,5792240
38.585,37.815,38.68,37.66,6490014
37.84,37.765,38.025,37.525,7077492
37.77,38.13,38.275,37.6,5221790
38.075,38.435,38.5,37.875,4270166
38.575,39.14,39.4,38.525,6137038
39.385,38.295,39.385,38.15,5581694
38.36,38.285,38.62,38.04,5690636
38.37,38.635,38.948,38.33,3581874
38.795,39.445,39.45,38.56,7103048
39.35,39.755,39.79,39.155,4791486
39.58,39.655,39.79,39.34,6523204
39.6,39.625,39.93,39.33,3821256
39.79,39.65,39.84,39.37,3809832
39.86,40.25,40.28,39.395,5057356
40.24,40.423,40.615,40.105,6144572
40.4,40.193,40.73,39.995,8485426
40.195,40.175,40.54,39.88,8184652
40.03,40.06,40.365,39.78,4694104
39.645,39.254,39.995,38.955,9291752
39.04,38.05,39.575,38.025,7994916
37,37.995,38.26,36.685,9063854
38.12,38.07,38.58,37.885,7373946
38.27,37.18,38.405,37.175,8285208
37.295,37.82,38.125,36.41,13727318
38.125,37.845,38.19,37.27,5694938
37.755,37.86,38.095,37.51,4719076
37.545,38.29,38.465,37.488,7110926
38.585,38.985,38.99,38.08,7665654
38.985,38.945,39.565,38.935,5908556
38.64,38.19,38.795,38.09,5585828
38.27,37.925,38.575,37.905,4598276
38.025,38.195,38.39,37.925,4541570
38.425,38.98,38.995,38.3,4863566
39.26,39.425,39.49,38.78,6999756
39.855,38.66,40.12,38.65,8138428
41.925,41.34,42.395,41.085,23850844
41.105,41.43,42.27,40.5,14508924
40.8,41.835,41.955,40.8,8971872
41.75,41.92,42.02,41.65,5751064
41.965,42.195,42.22,41.735,6267150
41.67,41.32,42.26,41.245,9023792
41.65,41.325,41.9,41.22,8389434
41.45,41.345,41.595,40.725,8978108
41.25,41.26,41.36,40.87,4429352
41.37,41.15,41.63,41.095,5394926
41.275,40.945,41.405,40.72,6873338
41.03,40.68,41.05,40.54,4572008
40.565,40.715,41.12,40.565,6005172
40.705,40.69,41.02,40.51,3751254
40.84,40.935,41.045,40.62,4866590
40.94,41.43,41.705,40.79,5103728
41.065,40.49,41.29,40.475,7542566
40.575,39.93,40.805,39.88,5657432
40.32,40.53,40.725,40.245,6155416
40.465,40.235,40.765,40.06,5266764
40.44,40.355,41.125,40.285,4305418
40.56,40.785,41.105,40.505,5118140
40.865,40.275,41.181,39.86,5805598
40.365,41.165,41.185,40.315,5150700
40.86,41.98,42.08,40.663,4306682
42.125,42.48,42.605,41.847,4688134
42.295,41.72,42.5,41.455,4328270
42.065,41.315,42.105,41.268,5746224
41.77,41.18,41.785,40.98,5463780
40.855,41.06,41.7,40.81,6931972
41.33,41.265,41.6,41.03,8969876
41.42,40.635,41.43,40.468,4591612
40.995,41.37,41.59,40.845,5274194
41.75,41.725,42.105,41.7,3642772
41.835,41.6,42.24,41.56,3811512
41.505,41.32,41.795,41.1,5100150
41.29,41.24,41.43,40.97,4700708
41.27,41.61,41.813,41.16,3338012
41.79,41.545,42.18,41.38,4901870
41.42,41.67,41.79,41.13,3523996
41.79,42.53,42.565,41.515,4574432
42.625,43.245,43.365,42.412,6748700
43.4,42.42,43.62,42.4,5060108
42.39,41.77,42.395,41.29,4997336
41.6,41.765,42.149,41.21,5058266
41.745,41.76,42.005,41.066,4558426
41.56,41.415,41.68,41.13,5132654
41.475,40.94,41.475,40.65,4106446
40.985,41.28,41.32,40.825,3741582
41.295,41.95,41.975,41.185,4618054
41.695,41.63,41.825,41.155,4414164
41.62,42.03,42.21,41.57,3778556
42.29,42.465,42.68,42.21,4401636
42.49,42.795,42.99,42.395,3853192
42.935,42.605,43.655,42.525,5224860
42.455,43.135,43.4,42.455,8086922
42.865,42.405,43.02,42.275,7431694
42.41,42.34,42.71,42.025,7974544
43.35,43.755,44.375,42.811,12966284
43.455,43.945,44.275,43.41,9673308
43.72,44.375,44.74,43.72,6387404
44.08,44.045,44.35,43.995,4812100
43.99,44.18,44.388,43.79,3752154
44.225,44.885,44.95,44.093,6566812
44.925,45.15,45.425,44.725,6758186
45.265,45.215,45.62,45.14,6516738
45.735,46.475,46.49,45.565,5410672
46.5,47.015,47.038,46.195,6735794
47.085,47.14,47.195,46.425,6217100
47.345,47.25,47.788,47.1,5826196
47.19,47.47,47.635,47.065,4319102
47.475,47.505,47.85,47.26,3954712
47.495,47.69,47.955,47.12,5133674
47.635,47.37,47.845,47.24,4260774
47.315,47.29,47.585,46.963,3573674
47.2,47.585,47.625,47.1,5137606
47.37,47.98,48.315,47.255,5934082
47.405,47.875,47.925,47.32,3895646
48.195,48.365,48.41,47.9,4376750
48.005,48.145,48.28,47.495,4841302
48.165,47.535,48.225,47.335,5349912
47.64,47.605,48.05,47.285,3777922
47.045,47.58,47.615,46.81,4052460
47.61,47.11,48.155,47.07,3500694
47.215,47.665,47.82,47.01,4196214
48.035,47.6,48.225,47.585,3435864
47.395,47.46,47.555,47.11,4243432
47.64,47.575,47.89,47.425,1674588
47.675,47.525,47.815,47.32,3314288
47.49,47.76,47.975,47.47,2942296
48,47.85,48.075,47.715,2897228
47.765,47.51,47.8,47.185,7766928
47.285,47.675,47.878,47.255,3607310
47.515,47.15,47.68,47.095,6626580
47.14,47.665,47.69,47.095,3294834
47.715,47.59,47.795,47.345,2142792
47.555,48.15,48.37,47.555,4089726
48.18,48.31,48.415,47.87,3623302
48.29,48.845,48.985,48.25,4195658
48.63,48.525,49.01,48.48,3997680
48.58,48.775,49.06,48.55,3532942
48.94,48.5,48.94,48.265,3569678
48.54,48.835,48.92,48.385,3881968
49.015,48.76,49.47,48.645,3390400
48.825,48.28,49.147,48.165,2573956
48.55,48.375,48.91,48.275,3190862
48.455,48.63,48.835,48.26,3910924
48.5,48.2,48.925,48.015,3951566
48.14,48.735,48.765,47.96,4521640
48.925,48.79,49.135,48.375,3199282
48.795,49.125,49.195,48.79,2270278
49.205,49.37,49.425,48.78,3358842
49.55,49.865,49.95,49.49,3444936
50,49.905,50.225,49.727,3357704
49.865,50.31,50.615,49.68,5878618
50.63,49.675,50.745,49.615,5229174
49.8,50.505,50.595,49.8,7603074
50.045,49.495,50.07,49.435,4658864
49.85,49.765,50.305,49.09,5691580
49.725,50.175,50.265,49.6,4351376
50.575,50.83,50.9,49.905,7503380
53.5,53.225,53.63,52.3,14133766
53.14,52.885,53.78,52.53,9036392
52.815,53.73,53.87,52.815,6301736
53.24,54.03,54.16,53.15,6076192
54.285,53.735,54.325,53.68,4699568
53.8,53.805,53.89,53.275,3064166
53.81,54.28,54.425,53.525,3591392
54.25,54.265,54.75,54.098,3738072
54.18,54.975,55.06,54.17,3512512
55.24,55.72,55.9,55.01,6134368
55.72,55.57,55.94,55.115,4715644
55.79,55.31,55.955,55.223,4887030
55.2,54.965,55.565,54.9,5549620
55.3,55.405,55.715,55.231,6039510
55.295,55.195,55.5,54.855,4519704
55.255,55.145,55.565,54.745,6758530
54.945,54.495,55.25,54.295,5727016
54.055,54.38,54.415,53.66,6060486
53.91,53.985,54.248,53.71,5407622
53.965,54.535,54.87,53.79,7304420
54.37,54.69,54.825,54.095,3052784
54.68,54.775,54.85,54.18,3674040
55.015,54.815,55.345,54.715,5977160
54.83,54.86,55.22,54.524,3356986
55.085,55.165,55.315,54.915,3367260
55.625,55.875,56.17,55.28,4829128
55.805,55.91,56.193,55.7,3088788
55.935,56.005,56.37,55.82,3398198
56.4,56.135,56.64,56.083,4338142
56.16,55.21,56.305,55.175,4483526
55.325,55.175,55.6,54.935,3219750
55.105,55.145,55.36,54.95,3583868
55.225,55.165,55.78,54.87,3207668
55.025,55.41,55.58,55.025,3750358
55.585,55.705,56.08,55.363,4407990
55.76,54.325,55.785,54.195,4810916
54.4,53.88,55.241,53.58,6042868
54.37,54.715,55.255,54.065,4804416
54.695,55.26,55.56,54.525,3131534
55.415,56.12,56.24,54.94,4008942
55.755,55.4,55.995,54.76,5269396
55.275,54.825,55.465,54.34,5105076
54.845,53.61,54.86,53.46,7224846
54.34,54.325,54.615,54.04,6700528
53.85,53.46,54.08,52.57,6549830
53.36,53.115,54.395,53.015,5751328
53.245,53.245,53.7,52.795,7024158
53.155,53.265,53.515,52.565,5744730
